;0;300;600;900;1200;1500;1800;2100;2400;2700
300,000000;0,388925;0,381440;0,377008;0,372657;0,367352;0,361676;0,357839;0,355299;0,348939;0,342495
300,500000;0,394300;0,386037;0,381369;0,377277;0,370979;0,365806;0,362535;0,357870;0,352652;0,345995
301,000000;0,398015;0,392543;0,386659;0,380666;0,375117;0,370125;0,367629;0,358022;0,353875;0,349733
301,500000;0,403618;0,399052;0,391733;0,385188;0,381476;0,375076;0,372031;0,362874;0,358194;0,356359
302,000000;0,409630;0,403300;0,395779;0,390184;0,387540;0,380280;0,375624;0,370328;0,364443;0,362366
302,500000;0,412282;0,404224;0,398797;0,393562;0,389549;0,385024;0,379080;0,373455;0,367882;0,362397
303,000000;0,414579;0,406401;0,402689;0,396846;0,392143;0,389363;0,382840;0,374907;0,370633;0,363414
303,500000;0,419388;0,412036;0,408017;0,401515;0,398176;0,393249;0,386986;0,378386;0,374977;0,369968
304,000000;0,425355;0,415783;0,411876;0,406885;0,402360;0,396203;0,391172;0,383851;0,379508;0,375109
304,500000;0,430360;0,417834;0,414603;0,411554;0,404245;0,398890;0,394952;0,388999;0,383472;0,377632
305,000000;0,432583;0,422774;0,418956;0,414158;0,407672;0,402611;0,397963;0,390779;0,387059;0,381673
305,500000;0,434047;0,427578;0,423027;0,416571;0,411649;0,406450;0,401041;0,392180;0,390758;0,385670
306,000000;0,436919;0,429134;0,424811;0,420277;0,414311;0,409378;0,404719;0,396306;0,394376;0,387439
306,500000;0,440078;0,431614;0,426622;0,422732;0,416442;0,412223;0,407621;0,400805;0,395819;0,388945
307,000000;0,442919;0,435919;0,429055;0,423606;0,418977;0,414782;0,409452;0,403950;0,395876;0,391810
307,500000;0,445735;0,438594;0,430495;0,425378;0,422360;0,415764;0,411310;0,405748;0,398172;0,396234
308,000000;0,447058;0,440149;0,432638;0,428142;0,425330;0,416874;0,413375;0,407238;0,401384;0,399494
308,500000;0,446160;0,442197;0,436953;0,430752;0,426405;0,419845;0,415257;0,409050;0,402828;0,399195
309,000000;0,447341;0,443265;0,438796;0,432000;0,426001;0,421777;0,416266;0,409089;0,403348;0,398448
309,500000;0,451277;0,443306;0,437395;0,431706;0,425348;0,421993;0,416684;0,407844;0,404083;0,399275
310,000000;0,452791;0,444726;0,438391;0,431145;0,426074;0,423757;0,418048;0,409575;0,405532;0,400835
310,500000;0,452076;0,445838;0,440642;0,431819;0,427885;0,425745;0,419990;0,413259;0,407438;0,403068
311,000000;0,452307;0,443804;0,440318;0,434597;0,429626;0,425111;0,421223;0,415349;0,409225;0,406119
311,500000;0,454038;0,442015;0,441056;0,437320;0,431582;0,425303;0,421812;0,416206;0,410868;0,408425
312,000000;0,456273;0,443377;0,444385;0,438466;0,433577;0,428061;0,422270;0,417028;0,412456;0,408948
312,500000;0,456738;0,447175;0,445193;0,439021;0,434180;0,429596;0,423244;0,418577;0,414019;0,408445
313,000000;0,456529;0,450921;0,444048;0,439397;0,434788;0,429946;0,425075;0,420452;0,415440;0,408510
313,500000;0,458558;0,451705;0,445424;0,439601;0,438063;0,431870;0,427613;0,421675;0,416596;0,410770
314,000000;0,460827;0,451060;0,448091;0,440934;0,440951;0,434369;0,429461;0,423046;0,418085;0,414164
314,500000;0,461548;0,451455;0,449894;0,443948;0,441053;0,435721;0,430296;0,425045;0,420077;0,416999
315,000000;0,462997;0,453988;0,450963;0,446546;0,441678;0,435550;0,432912;0,426134;0,421301;0,418253
315,500000;0,465046;0,457579;0,451885;0,447392;0,443762;0,435269;0,436598;0,426587;0,422258;0,418768
316,000000;0,465318;0,459547;0,453336;0,446674;0,445388;0,437423;0,437495;0,428394;0,424876;0,420761
316,500000;0,466068;0,460067;0,455417;0,447216;0,446274;0,441380;0,437170;0,431087;0,427326;0,423653
317,000000;0,469349;0,460611;0,457933;0,450743;0,446897;0,445116;0,438184;0,433389;0,427932;0,425746
317,500000;0,470962;0,462602;0,460584;0,452841;0,447772;0,446792;0,439115;0,434931;0,430143;0,425874
318,000000;0,470086;0,465233;0,462376;0,452372;0,449576;0,446562;0,439757;0,436261;0,433810;0,424859
318,500000;0,470855;0,465346;0,461827;0,453108;0,452778;0,446832;0,441850;0,438549;0,433863;0,425537
319,000000;0,472307;0,464142;0,461035;0,454470;0,454214;0,448562;0,443648;0,440319;0,431917;0,427966
319,500000;0,471913;0,464669;0,462361;0,454457;0,451229;0,451087;0,442681;0,439582;0,432089;0,430457
320,000000;0,471991;0,467730;0,462208;0,454990;0,449897;0,450997;0,440986;0,437761;0,433772;0,430732
320,500000;0,473033;0,471134;0,459369;0,456493;0,452436;0,447806;0,440757;0,436578;0,434727;0,428717
321,000000;0,471483;0,469390;0,457948;0,456038;0,452810;0,446089;0,442637;0,436861;0,432242;0,427691
321,500000;0,468204;0,463717;0,458011;0,453789;0,450777;0,446517;0,444110;0,437403;0,428508;0,428422
322,000000;0,466427;0,459340;0,457160;0,451742;0,449711;0,446900;0,442104;0,436259;0,427872;0,429497
322,500000;0,465755;0,458474;0,455312;0,449908;0,449492;0,445089;0,440502;0,434207;0,429739;0,428064
323,000000;0,464600;0,459976;0,453158;0,447745;0,448615;0,441629;0,441135;0,432230;0,431848;0,424351
323,500000;0,461255;0,458235;0,451512;0,444817;0,445083;0,441494;0,438801;0,430247;0,431571;0,424428
324,000000;0,457105;0,452761;0,450211;0,442568;0,440268;0,442935;0,434582;0,428438;0,428802;0,426350
324,500000;0,455190;0,447529;0,448505;0,442858;0,437606;0,439816;0,433742;0,427157;0,425555;0,423123
325,000000;0,453739;0,445538;0,446797;0,441301;0,436570;0,434917;0,432835;0,425971;0,423633;0,419699
325,500000;0,450758;0,446687;0,444886;0,435854;0,435679;0,432231;0,429202;0,424588;0,423725;0,420366
326,000000;0,447624;0,444958;0,440533;0,434343;0,434477;0,431427;0,428668;0,423633;0,424246;0,418790
326,500000;0,446266;0,440305;0,436130;0,437438;0,433394;0,431229;0,431125;0,423062;0,423774;0,414882
327,000000;0,447999;0,438529;0,437373;0,438185;0,433469;0,430262;0,430394;0,422263;0,421743;0,415007
327,500000;0,449081;0,439128;0,439686;0,435734;0,434776;0,429216;0,427825;0,422254;0,420091;0,417023
328,000000;0,446185;0,439589;0,437424;0,432599;0,435963;0,428938;0,426580;0,423431;0,420334;0,416835
328,500000;0,443421;0,439643;0,434898;0,432495;0,433100;0,428220;0,425420;0,422527;0,419925;0,415672
329,000000;0,443837;0,439404;0,434956;0,434810;0,428417;0,426660;0,424360;0,419565;0,418066;0,415004
329,500000;0,447282;0,439070;0,436473;0,434115;0,430517;0,425392;0,425414;0,418907;0,416843;0,415309
330,000000;0,449953;0,439666;0,436919;0,431486;0,435420;0,426716;0,426978;0,421496;0,417424;0,415674
330,500000;0,448452;0,441857;0,434892;0,430720;0,435167;0,431580;0,426632;0,425647;0,419797;0,415364
331,000000;0,447444;0,443560;0,434955;0,432447;0,432588;0,434201;0,426112;0,427277;0,421844;0,416624
331,500000;0,448221;0,442741;0,438126;0,434749;0,430814;0,431619;0,426441;0,424865;0,422072;0,418598
332,000000;0,445342;0,438643;0,438792;0,433367;0,429902;0,427289;0,426378;0,421396;0,420661;0,415718
332,500000;0,440656;0,433882;0,435910;0,429209;0,428948;0,424530;0,425415;0,419293;0,418449;0,411363
333,000000;0,438850;0,431871;0,431538;0,425793;0,426754;0,424644;0,423570;0,419301;0,416088;0,411845
333,500000;0,435528;0,430687;0,426465;0,422923;0,422908;0,422159;0,420528;0,417493;0,412012;0,410735
334,000000;0,428403;0,427690;0,421410;0,419850;0,417409;0,415049;0,415990;0,411909;0,406611;0,404008
334,500000;0,422443;0,421679;0,417389;0,416442;0,410648;0,409776;0,409897;0,405898;0,404031;0,397407
335,000000;0,416695;0,414201;0,412453;0,410437;0,403747;0,406187;0,402764;0,399761;0,400647;0,392599
335,500000;0,406849;0,407483;0,403379;0,399467;0,397644;0,399655;0,395181;0,391881;0,389601;0,387664
336,000000;0,396300;0,397601;0,391741;0,388532;0,389802;0,390902;0,386094;0,384326;0,378635;0,381376
336,500000;0,388222;0,383275;0,380107;0,381024;0,379153;0,381009;0,375499;0,377807;0,373601;0,373601
337,000000;0,380735;0,371840;0,370051;0,372996;0,369618;0,368629;0,366375;0,368332;0,368090;0,365848
337,500000;0,370650;0,363081;0,360421;0,361373;0,361464;0,356085;0,357654;0,356710;0,357756;0,357247
338,000000;0,355167;0,350501;0,348321;0,345487;0,351397;0,347221;0,345474;0,346971;0,342448;0,345241
338,500000;0,338158;0,334787;0,335076;0,330724;0,337937;0,336936;0,333176;0,336271;0,328523;0,331696
339,000000;0,323696;0,319450;0,322512;0,320425;0,321953;0,321479;0,323637;0,322002;0,319906;0,319113
339,500000;0,310378;0,307406;0,309417;0,307934;0,307303;0,307421;0,311960;0,307598;0,309323;0,307116
340,000000;0,297298;0,296575;0,295109;0,292365;0,295150;0,296222;0,297553;0,294807;0,295593;0,295562
340,500000;0,284808;0,281411;0,280341;0,279421;0,283934;0,283797;0,284853;0,283169;0,284577;0,285041
341,000000;0,270216;0,264654;0,266420;0,267174;0,271578;0,270885;0,272176;0,271911;0,273335;0,274092
341,500000;0,252093;0,250470;0,253828;0,252449;0,256870;0,258672;0,257102;0,260206;0,258229;0,261307
342,000000;0,237400;0,238572;0,241649;0,239504;0,242573;0,244588;0,244186;0,248467;0,246071;0,249092
342,500000;0,228133;0,227342;0,229069;0,229247;0,230101;0,230172;0,234794;0,237182;0,238327;0,238621
343,000000;0,218517;0,214420;0,215503;0,217155;0,218148;0,221104;0,224871;0,226248;0,228110;0,228443
343,500000;0,205729;0,201275;0,202862;0,204709;0,207376;0,213534;0,213650;0,215691;0,215948;0,218277
344,000000;0,190213;0,190252;0,192937;0,194937;0,198550;0,201398;0,202167;0,205372;0,205483;0,208462
344,500000;0,177182;0,179864;0,182750;0,184705;0,188778;0,189153;0,190992;0,194295;0,196496;0,199029
345,000000;0,168323;0,169141;0,171248;0,172885;0,177288;0,179612;0,180889;0,182886;0,187757;0,190352
345,500000;0,159064;0,158905;0,161303;0,162835;0,167237;0,169982;0,172768;0,173534;0,177915;0,183138
346,000000;0,148621;0,149446;0,152595;0,154487;0,159026;0,160249;0,165293;0,165638;0,168344;0,176022
346,500000;0,138751;0,140452;0,143171;0,145850;0,151101;0,151809;0,156432;0,157209;0,161174;0,167040
347,000000;0,130566;0,131214;0,133979;0,137360;0,142151;0,143479;0,147692;0,149209;0,154634;0,157758
347,500000;0,123649;0,121985;0,126242;0,129659;0,132484;0,135006;0,140538;0,142750;0,147407;0,150157
348,000000;0,115287;0,114559;0,120025;0,122436;0,124740;0,128672;0,134456;0,137543;0,140652;0,144956
348,500000;0,106453;0,108214;0,113926;0,115874;0,118764;0,123413;0,127872;0,131876;0,134062;0,140102
