wavelength;0.00 sec;10.00 sec;20.00 sec;30.00 sec;40.00 sec;50.00 sec;60.00 sec;70.00 sec;80.00 sec;90.00 sec;100.00 sec;110.00 sec;120.00 sec;130.00 sec;140.00 sec;150.00 sec;160.00 sec;170.00 sec;180.00 sec;190.00 sec;200.00 sec;210.00 sec;220.00 sec;230.00 sec;240.00 sec;250.00 sec;260.00 sec;270.00 sec;280.00 sec;290.00 sec;300.00 sec;310.00 sec;320.00 sec;330.00 sec;340.00 sec;350.00 sec;360.00 sec;370.00 sec;380.00 sec;390.00 sec;400.00 sec;410.00 sec;420.00 sec;430.00 sec;440.00 sec;450.00 sec;460.00 sec;470.00 sec;480.00 sec;490.00 sec;500.00 sec;510.00 sec;520.00 sec;530.00 sec;540.00 sec;550.00 sec;560.00 sec;570.00 sec;580.00 sec;590.00 sec;600.00 sec
300.000000;0.086241;0.085659;0.085497;0.085107;0.085627;0.085140;0.085294;0.084840;0.084370;0.084558;0.084127;0.084230;0.084182;0.083948;0.083663;0.083869;0.083476;0.082895;0.083213;0.083222;0.082583;0.082898;0.082779;0.082255;0.082634;0.082230;0.082280;0.081704;0.081906;0.081565;0.082213;0.081557;0.081256;0.081549;0.081573;0.081190;0.081057;0.080947;0.080977;0.080128;0.080272;0.080678;0.080525;0.080472;0.080090;0.080543;0.080444;0.079931;0.079982;0.079684;0.079852;0.079716;0.079510;0.079719;0.079576;0.079733;0.079242;0.080151;0.079493;0.079547;0.079407
300.500000;0.087988;0.087885;0.087485;0.087012;0.087450;0.087220;0.087055;0.086684;0.086478;0.086478;0.086022;0.086125;0.086383;0.085810;0.085508;0.085694;0.085221;0.085043;0.085149;0.084890;0.084458;0.084894;0.084329;0.084185;0.084629;0.083822;0.084164;0.083878;0.083543;0.083385;0.084041;0.083082;0.083409;0.083429;0.083243;0.082985;0.083092;0.082915;0.082649;0.082264;0.082061;0.082484;0.082332;0.082279;0.082193;0.082408;0.082150;0.081944;0.081943;0.081515;0.081965;0.081544;0.081205;0.081480;0.081440;0.081360;0.081145;0.081739;0.081500;0.081338;0.081066
301.000000;0.089782;0.090179;0.089538;0.089000;0.089226;0.089111;0.088692;0.088418;0.088479;0.088415;0.087821;0.088009;0.088548;0.087713;0.087291;0.087370;0.086806;0.087261;0.087068;0.086556;0.086311;0.086910;0.085921;0.086192;0.086643;0.085472;0.085893;0.085901;0.085369;0.085343;0.085727;0.084834;0.085388;0.085326;0.084861;0.084673;0.085047;0.084846;0.084379;0.084545;0.083937;0.084232;0.084439;0.084175;0.084367;0.084207;0.083904;0.084075;0.084003;0.083297;0.084025;0.083396;0.083149;0.083429;0.083319;0.082995;0.083186;0.083162;0.083541;0.083133;0.082921
301.500000;0.091818;0.091838;0.091406;0.090850;0.091243;0.090680;0.090250;0.090307;0.090071;0.089982;0.089561;0.089778;0.090183;0.089788;0.089133;0.089246;0.088422;0.088990;0.088861;0.088535;0.088133;0.088737;0.087923;0.087929;0.088452;0.087424;0.087528;0.087492;0.087709;0.087360;0.087318;0.087066;0.086930;0.086903;0.086810;0.086420;0.086764;0.086642;0.086426;0.086123;0.085978;0.086112;0.086675;0.086023;0.086218;0.085886;0.085688;0.085729;0.086023;0.085126;0.085478;0.085075;0.085214;0.085379;0.085080;0.085010;0.085071;0.084886;0.085114;0.084864;0.084950
302.000000;0.093920;0.093310;0.093296;0.092879;0.093174;0.092501;0.092259;0.092378;0.091849;0.091825;0.091441;0.091850;0.091900;0.091714;0.091128;0.091353;0.090634;0.090819;0.090878;0.090626;0.090155;0.090582;0.090079;0.089768;0.090306;0.089729;0.089445;0.089297;0.089786;0.089209;0.089179;0.089220;0.088655;0.088701;0.088814;0.088296;0.088573;0.088362;0.088438;0.087751;0.087979;0.088065;0.088596;0.087996;0.087946;0.087791;0.087653;0.087396;0.087840;0.087145;0.087127;0.086998;0.087164;0.087299;0.086907;0.087020;0.086921;0.086762;0.086825;0.086680;0.087036
302.500000;0.095961;0.095105;0.095344;0.095150;0.094923;0.094689;0.094774;0.094571;0.094089;0.094128;0.093525;0.094189;0.093977;0.093441;0.093239;0.093531;0.093300;0.093019;0.093100;0.092666;0.092330;0.092559;0.092131;0.091883;0.092285;0.092057;0.091686;0.091487;0.091355;0.090915;0.091368;0.090991;0.090806;0.090862;0.090727;0.090299;0.090616;0.090202;0.090302;0.089868;0.089874;0.090075;0.090199;0.090083;0.089732;0.089942;0.089813;0.089397;0.089529;0.089293;0.089291;0.089249;0.088932;0.089252;0.088947;0.088806;0.088844;0.088651;0.088897;0.088697;0.089004
303.000000;0.098005;0.097440;0.097459;0.097245;0.096882;0.096585;0.097099;0.096787;0.096377;0.096185;0.095653;0.096051;0.095948;0.095413;0.095275;0.095489;0.095281;0.095129;0.094923;0.094717;0.094207;0.094549;0.094030;0.093989;0.094121;0.093700;0.093768;0.093376;0.093220;0.092892;0.093452;0.092699;0.092877;0.092779;0.092775;0.092368;0.092656;0.092451;0.092407;0.092015;0.091876;0.092258;0.092128;0.091963;0.091576;0.091848;0.091959;0.091498;0.091486;0.091254;0.091274;0.091318;0.090737;0.091378;0.091189;0.090629;0.090816;0.090630;0.090744;0.090905;0.090688
303.500000;0.100146;0.099997;0.099565;0.099222;0.099037;0.098451;0.099161;0.098900;0.098516;0.098130;0.097768;0.097677;0.097871;0.097605;0.097287;0.097351;0.096873;0.097202;0.096609;0.096841;0.096023;0.096657;0.095962;0.096117;0.095983;0.095150;0.095741;0.095218;0.095529;0.095227;0.095366;0.094750;0.094786;0.094696;0.094937;0.094534;0.094736;0.094723;0.094694;0.094081;0.094036;0.094478;0.094319;0.093804;0.093580;0.093665;0.093985;0.093582;0.093622;0.093165;0.093201;0.093320;0.092910;0.093617;0.093459;0.092737;0.092901;0.092853;0.092604;0.093122;0.092485
304.000000;0.102431;0.102290;0.101654;0.101386;0.101187;0.100935;0.101271;0.100866;0.100548;0.100478;0.099911;0.099796;0.100070;0.099744;0.099469;0.099449;0.099052;0.099529;0.098805;0.099067;0.098284;0.099047;0.098176;0.098443;0.098222;0.097379;0.097935;0.097652;0.097967;0.097756;0.097324;0.097381;0.096765;0.097194;0.097094;0.096853;0.097008;0.096504;0.096873;0.096220;0.096282;0.096529;0.096362;0.096006;0.095858;0.095861;0.095956;0.095677;0.095649;0.095377;0.095562;0.095638;0.095639;0.095803;0.095561;0.095207;0.095168;0.095400;0.095015;0.095174;0.094906
304.500000;0.104673;0.104523;0.103965;0.103691;0.103566;0.103601;0.103495;0.103031;0.102789;0.102889;0.102207;0.102368;0.102385;0.101932;0.101948;0.101837;0.101565;0.101814;0.101311;0.101343;0.100684;0.101461;0.100630;0.100827;0.100680;0.100071;0.100301;0.100184;0.100268;0.100216;0.099600;0.099996;0.099073;0.099784;0.099487;0.099217;0.099245;0.098648;0.099003;0.098606;0.098534;0.098609;0.098498;0.098571;0.098262;0.098331;0.098316;0.097999;0.097819;0.097837;0.097914;0.097919;0.098229;0.097925;0.097625;0.097510;0.097447;0.097868;0.097362;0.097377;0.097399
