wavelength,FMN_libre,NQR_ox,NQR_red,NQR_redox
350,0.37179,0.30771,0.16219,0.16584
351,0.37814,0.30986,0.1594,0.16725
352,0.38612,0.30883,0.15993,0.1685
353,0.39414,0.31041,0.15512,0.16925
354,0.40323,0.31426,0.15273,0.16969
355,0.40997,0.31367,0.15325,0.17214
356,0.41676,0.31406,0.14908,0.17305
357,0.42331,0.31349,0.14769,0.17798
358,0.43129,0.3143,0.14722,0.17955
359,0.43788,0.31479,0.14186,0.18198
360,0.44523,0.31827,0.1395,0.18088
361,0.45,0.31795,0.13603,0.18242
362,0.45483,0.32019,0.13863,0.18614
363,0.46198,0.31768,0.13479,0.18681
364,0.46474,0.31844,0.1326,0.18604
365,0.46714,0.31795,0.12939,0.18749
366,0.47391,0.3163,0.12711,0.18983
367,0.47706,0.31696,0.124,0.19003
368,0.47854,0.31715,0.12257,0.19218
369,0.48266,0.31676,0.12218,0.19412
370,0.48197,0.32048,0.12141,0.19662
371,0.48497,0.31839,0.1186,0.19812
372,0.48572,0.31854,0.1165,0.19888
373,0.48786,0.31966,0.11301,0.19798
374,0.48749,0.31841,0.11083,0.19826
375,0.4855,0.31788,0.11021,0.19942
376,0.48191,0.31595,0.10739,0.1973
377,0.48068,0.31377,0.10449,0.19784
378,0.47704,0.31367,0.10411,0.19915
379,0.4699,0.31207,0.10255,0.19808
380,0.46457,0.31006,0.09854,0.19614
381,0.45784,0.31132,0.09693,0.19904
382,0.44863,0.30911,0.09111,0.19471
383,0.44265,0.30423,0.09229,0.19502
384,0.43145,0.30149,0.08974,0.19092
385,0.42287,0.29948,0.08891,0.19188
386,0.41317,0.29383,0.08283,0.18418
387,0.40179,0.29078,0.08586,0.18094
388,0.39174,0.28642,0.08099,0.17683
389,0.38237,0.28142,0.07971,0.17278
390,0.37025,0.27723,0.07849,0.17161
391,0.36121,0.273,0.07456,0.16601
392,0.35185,0.26872,0.07323,0.16621
393,0.344,0.26324,0.06803,0.16035
394,0.33299,0.25892,0.06723,0.15335
395,0.32688,0.25348,0.06428,0.15257
396,0.3217,0.25128,0.06332,0.15006
397,0.31569,0.24544,0.05748,0.14552
398,0.31323,0.24413,0.05877,0.14317
399,0.30865,0.24191,0.05446,0.14076
400,0.30953,0.23717,0.05573,0.13852
401,0.30771,0.23469,0.05022,0.13641
