wavelength,state,OD
180,native,"0,016854465"
181,native,"0,0071467161"
182,native,"-0,0020980239"
183,native,"-0,0100989342"
184,native,"-0,0381045341"
185,native,"-0,0218886137"
186,native,"-0,005654335"
187,native,"0,0264647007"
188,native,"0,0202097893"
189,native,"0,0057375431"
190,native,"0,0094249249"
191,native,"0,0141894817"
192,native,"0,018071413"
193,native,"0,0088734627"
194,native,"0,0274369717"
195,native,"0,0182209015"
196,native,"0,0149431229"
197,native,"0,0152175426"
198,native,"0,0177738667"
199,native,"0,0263569355"
200,native,"0,0128831863"
201,native,"0,0326924324"
202,native,"0,0212104321"
203,native,"0,0056598186"
204,native,"0,0102987289"
205,native,"0,0274894238"
206,native,"0,0221765041"
207,native,"0,0093533993"
208,native,"0,0270411968"
209,native,"0,0146722794"
210,native,"0,0186774731"
211,native,"0,0086824894"
212,native,"0,0194597244"
213,native,"0,0234634876"
214,native,"0,020532608"
215,native,"0,0019438267"
216,native,"0,0046355724"
217,native,"0,0183382034"
218,native,"0,0115568638"
219,native,"0,0308661461"
220,native,"0,0331687927"
221,native,"0,0430114269"
222,native,"0,0566475391"
223,native,"0,0566498041"
224,native,"0,0464473963"
225,native,"0,0413452387"
226,native,"0,035373807"
227,native,"0,0368666649"
228,native,"0,0387452841"
229,native,"0,0378815532"
230,native,"0,0349378586"
231,native,"0,0314811468"
232,native,"0,0301783085"
233,native,"0,027135849"
234,native,"0,0256445408"
235,native,"0,0240728855"
236,native,"0,0215835571"
237,native,"0,021615684"
238,native,"0,0201597214"
239,native,"0,0182697177"
240,native,"0,0181295872"
241,native,"0,0178862214"
242,native,"0,0168661475"
243,native,"0,0162940621"
244,native,"0,0158885717"
245,native,"0,0154144764"
246,native,"0,0156989694"
247,native,"0,0158970356"
248,native,"0,0157699585"
249,native,"0,0150845051"
250,native,"0,0144733787"
251,native,"0,015478313"
252,native,"0,0151661038"
253,native,"0,0144360662"
254,native,"0,0160769224"
255,native,"0,0151606202"
256,native,"0,0150176287"
257,native,"0,0162465572"
258,native,"0,0159903169"
259,native,"0,0158219934"
260,native,"0,0166806579"
261,native,"0,0161845088"
262,native,"0,0171694756"
263,native,"0,0163607001"
264,native,"0,0158218741"
265,native,"0,0163850784"
266,native,"0,0159106255"
267,native,"0,0170201659"
268,native,"0,0166526437"
269,native,"0,0169751048"
270,native,"0,0165415406"
271,native,"0,0159277916"
272,native,"0,0168882608"
273,native,"0,0169819593"
274,native,"0,0170716643"
275,native,"0,0174049139"
276,native,"0,0166954994"
277,native,"0,0159480572"
278,native,"0,0161966085"
279,native,"0,0165450573"
280,native,"0,0147094131"
281,native,"0,0146542788"
282,native,"0,0152916908"
283,native,"0,0149284005"
284,native,"0,0153591037"
285,native,"0,0148962736"
286,native,"0,0138950348"
287,native,"0,0131986141"
288,native,"0,0136201382"
289,native,"0,0129237175"
290,native,"0,0127721429"
291,native,"0,0125929713"
292,native,"0,011911869"
293,native,"0,0125644803"
294,native,"0,0120300651"
295,native,"0,0118024945"
296,native,"0,010754168"
297,native,"0,0107250214"
298,native,"0,0108011961"
299,native,"0,0103114843"
300,native,"0,0095826387"
301,native,"0,0108337998"
302,native,"0,0096980929"
303,native,"0,0094590783"
304,native,"0,0098811388"
305,native,"0,0097466707"
306,native,"0,0096574426"
307,native,"0,0097647905"
308,native,"0,0099517703"
309,native,"0,0094819069"
310,native,"0,0092610121"
311,native,"0,0092470646"
312,native,"0,0092600584"
313,native,"0,008947134"
314,native,"0,0097708702"
315,native,"0,0089725852"
316,native,"0,0095850825"
317,native,"0,0089937449"
318,native,"0,0087483525"
319,native,"0,009532094"
320,native,"0,0084332228"
321,native,"0,0090354681"
322,native,"0,009205699"
323,native,"0,0083249211"
324,native,"0,0093381405"
325,native,"0,0089831948"
326,native,"0,0087618828"
327,native,"0,0080727935"
328,native,"0,0089067817"
329,native,"0,0095859766"
330,native,"0,0086433887"
331,native,"0,0085558891"
332,native,"0,0088734031"
333,native,"0,0089956522"
334,native,"0,0083853602"
335,native,"0,0082090497"
336,native,"0,0078344941"
337,native,"0,0085680485"
338,native,"0,0079367161"
339,native,"0,007630527"
340,native,"0,0087811351"
341,native,"0,0076868534"
342,native,"0,0083384514"
343,native,"0,0082013607"
344,native,"0,0088880062"
345,native,"0,0079147816"
346,native,"0,0082143545"
347,native,"0,0084720254"
348,native,"0,0086792707"
349,native,"0,0072878003"
350,native,"0,0081341267"
351,native,"0,0085251927"
352,native,"0,008441031"
353,native,"0,0088570714"
354,native,"0,009000659"
355,native,"0,0076106787"
356,native,"0,0080929399"
357,native,"0,0074812174"
358,native,"0,0080436468"
359,native,"0,0076874495"
360,native,"0,0076268911"
361,native,"0,0079132915"
362,native,"0,0086173415"
363,native,"0,0078536272"
364,native,"0,0076669455"
365,native,"0,0075104237"
366,native,"0,0086763501"
367,native,"0,0065991879"
368,native,"0,0081819296"
369,native,"0,0073655248"
370,native,"0,008007586"
371,native,"0,0088120699"
372,native,"0,0078936815"
373,native,"0,008923769"
374,native,"0,0068132281"
375,native,"0,0087929964"
376,native,"0,006798625"
377,native,"0,0086221099"
378,native,"0,007168889"
379,native,"0,0072143078"
380,native,"0,0071606636"
381,native,"0,0078541636"
382,native,"0,0070764422"
383,native,"0,0074893236"
384,native,"0,0083447695"
385,native,"0,0073470473"
386,native,"0,0080589056"
387,native,"0,0081678629"
388,native,"0,0070827603"
389,native,"0,0071836114"
390,native,"0,0084570646"
391,native,"0,0061249733"
392,native,"0,0077718496"
393,native,"0,0073356032"
394,native,"0,0066480637"
395,native,"0,0078761578"
396,native,"0,0070741773"
397,native,"0,0068405867"
398,native,"0,0074344873"
399,native,"0,0069048405"
400,native,"0,0069561005"
401,native,"0,0068339109"
402,native,"0,007108748"
403,native,"0,0068140626"
404,native,"0,0073390007"
405,native,"0,0072779655"
406,native,"0,0067492723"
407,native,"0,0065780282"
408,native,"0,0061172247"
409,native,"0,0066149831"
410,native,"0,0068707466"
411,native,"0,0068385601"
412,native,"0,007155776"
413,native,"0,006221056"
414,native,"0,0068123937"
415,native,"0,0068461895"
416,native,"0,0065503716"
417,native,"0,0068302155"
418,native,"0,0065889955"
419,native,"0,0073777437"
420,native,"0,0071892142"
421,native,"0,0063192248"
422,native,"0,0066443086"
423,native,"0,0074053407"
424,native,"0,0065725446"
