Wavelength,ox,DO
300,NQR oxidized,0.02843
301,NQR oxidized,0.0238
302,NQR oxidized,0.01965
303,NQR oxidized,0.01664
304,NQR oxidized,0.01475
305,NQR oxidized,0.01394
306,NQR oxidized,0.01209
307,NQR oxidized,0.01131
308,NQR oxidized,0.01056
309,NQR oxidized,0.01034
310,NQR oxidized,0.01009
311,NQR oxidized,0.00951
312,NQR oxidized,0.01074
313,NQR oxidized,0.00984
314,NQR oxidized,0.00997
315,NQR oxidized,0.01066
316,NQR oxidized,0.00953
317,NQR oxidized,0.00931
318,NQR oxidized,0.0092
319,NQR oxidized,0.01086
320,NQR oxidized,0.00931
321,NQR oxidized,0.00914
322,NQR oxidized,0.01097
323,NQR oxidized,0.01005
324,NQR oxidized,0.0092
325,NQR oxidized,0.00991
326,NQR oxidized,0.00987
327,NQR oxidized,0.01032
328,NQR oxidized,0.01049
329,NQR oxidized,0.01129
330,NQR oxidized,0.01048
331,NQR oxidized,0.00995
332,NQR oxidized,0.01042
333,NQR oxidized,0.01131
334,NQR oxidized,0.0122
335,NQR oxidized,0.01204
336,NQR oxidized,0.0114
337,NQR oxidized,0.01106
338,NQR oxidized,0.012
339,NQR oxidized,0.01274
340,NQR oxidized,0.01138
341,NQR oxidized,0.01232
342,NQR oxidized,0.01339
343,NQR oxidized,0.01234
344,NQR oxidized,0.01272
345,NQR oxidized,0.01264
346,NQR oxidized,0.01289
347,NQR oxidized,0.01436
348,NQR oxidized,0.01327
349,NQR oxidized,0.01541
350,NQR oxidized,0.01388
351,NQR oxidized,0.0129
352,NQR oxidized,0.01547
353,NQR oxidized,0.01579
354,NQR oxidized,0.01398
355,NQR oxidized,0.01582
356,NQR oxidized,0.01541
357,NQR oxidized,0.01506
358,NQR oxidized,0.01648
359,NQR oxidized,0.01601
360,NQR oxidized,0.01715
361,NQR oxidized,0.01675
362,NQR oxidized,0.01652
363,NQR oxidized,0.01649
364,NQR oxidized,0.01838
365,NQR oxidized,0.01659
366,NQR oxidized,0.01715
367,NQR oxidized,0.01775
368,NQR oxidized,0.01644
369,NQR oxidized,0.01831
370,NQR oxidized,0.01816
371,NQR oxidized,0.01744
372,NQR oxidized,0.01702
373,NQR oxidized,0.01745
