genotype,part,rep_bio,rep_tech,pente1,pente2,protein
WT,shoot,1,1,0.0352,0.0186,10
WT,shoot,1,2,0.039,0.0212,10
WT,shoot,2,1,0.0412,0.0255,10
WT,shoot,2,2,0.0397,0.0239,10
nqr,shoot,1,1,0.0418,0.022,10
nqr,shoot,1,2,0.037,0.0214,10
nqr,shoot,2,1,0.0409,0.0265,10
nqr,shoot,2,2,0.0411,0.0271,10
fqr1,shoot,1,1,0.0365,0.0205,10
fqr1,shoot,1,2,0.0412,0.0228,10
fqr1,shoot,2,1,0.0408,0.0269,10
fqr1,shoot,2,2,0.0432,0.0258,10
nqrfqr1,shoot,1,1,0.0432,0.0256,10
nqrfqr1,shoot,1,2,0.0419,0.0245,10
nqrfqr1,shoot,2,1,0.0424,0.0268,10
nqrfqr1,shoot,2,2,0.0422,0.0261,10
WT,root,1,1,0.0408,0.0096,10
WT,root,1,2,0.0424,0.0117,10
WT,root,2,1,0.0341,0.0048,10
WT,root,2,2,0.0328,0.0037,10
nqr,root,1,1,0.0403,0.0106,10
nqr,root,1,2,0.0482,0.0143,10
nqr,root,2,1,0.0363,0.004,10
nqr,root,2,2,0.0353,0.0037,10
fqr1,root,1,1,0.0391,0.0116,10
fqr1,root,1,2,0.0405,0.0113,10
fqr1,root,2,1,0.0324,0.0025,10
fqr1,root,2,2,0.031,0.0036,10
nqrfqr1,root,1,1,0.0382,0.0086,10
nqrfqr1,root,1,2,0.0396,0.0076,10
nqrfqr1,root,2,1,0.0308,0.0036,10
nqrfqr1,root,2,2,0.0311,0.003,10
