genotype,repBIO,repTech,pente,protein
WTLer,1,1,0.5,0.0056
WTLer,1,2,0.5,0.0056
nqrLer,1,1,0.7,0.0097
nqrLer,1,2,0.8,0.0097
air12Ler,1,1,0.7,0.0046
air12Ler,1,2,0.8,0.0046
nqrair12Ler,1,1,1.3,0.0116
nqrair12Ler,1,2,1.2,0.0116
WTCol,1,1,0.9,0.007
WTCol,1,2,0.9,0.007
nqrCol,1,1,1.2,0.0083
nqrCol,1,2,1.1,0.0083
WTLer,2,1,0.7,0.006
WTLer,2,2,0.7,0.006
nqrLer,2,1,0.9,0.0044
nqrLer,2,2,0.5,0.0044
air12Ler,2,1,1.2,0.0071
air12Ler,2,2,1.2,0.0071
nqrair12Ler,2,1,1.4,0.0111
nqrair12Ler,2,2,1.4,0.0111
WTCol,2,1,0.5,0.0073
WTCol,2,2,0.5,0.0073
nqrCol,2,1,0.8,0.0076
nqrCol,2,2,0.85,0.0076
WTLer,3,1,0.35,0.0064
WTLer,3,2,0.4,0.0064
nqrLer,3,1,0.7,0.0056
nqrLer,3,2,0.7,0.0056
air12Ler,3,1,0.7,0.0047
air12Ler,3,2,0.8,0.0047
nqrair12Ler,3,1,1,0.008
nqrair12Ler,3,2,1,0.008
WTCol,3,1,0.7,0.0067
WTCol,3,2,0.7,0.0067
nqrCol,3,1,0.9,0.0103
nqrCol,3,2,0.9,0.0103
