wavelength;0.00 sec;10.00 sec;20.00 sec;30.00 sec;40.00 sec;50.00 sec;60.00 sec;70.00 sec;80.00 sec;90.00 sec;100.00 sec;110.00 sec;120.00 sec;130.00 sec;140.00 sec;150.00 sec;160.00 sec;170.00 sec;180.00 sec;190.00 sec;200.00 sec;210.00 sec;220.00 sec;230.00 sec;240.00 sec;250.00 sec;260.00 sec;270.00 sec;280.00 sec;290.00 sec;300.00 sec;310.00 sec;320.00 sec;330.00 sec;340.00 sec;350.00 sec;360.00 sec;370.00 sec;380.00 sec;390.00 sec;400.00 sec;410.00 sec;420.00 sec;430.00 sec;440.00 sec;450.00 sec;460.00 sec;470.00 sec;480.00 sec;490.00 sec;500.00 sec;510.00 sec;520.00 sec;530.00 sec;540.00 sec;550.00 sec;560.00 sec;570.00 sec;580.00 sec;590.00 sec;600.00 sec
300.000000;0.173766;0.171942;0.170242;0.168221;0.166338;0.164871;0.162602;0.160788;0.159817;0.158315;0.156189;0.154143;0.153351;0.151899;0.149803;0.149051;0.147030;0.145698;0.144554;0.143675;0.141693;0.140876;0.139682;0.138285;0.137984;0.136873;0.135450;0.134467;0.133498;0.131944;0.131608;0.130409;0.129922;0.128945;0.127785;0.126666;0.125878;0.125433;0.124721;0.124197;0.123174;0.122504;0.121380;0.121051;0.120610;0.119374;0.118465;0.117938;0.117265;0.116431;0.115752;0.115224;0.114863;0.114058;0.113427;0.112812;0.112151;0.111735;0.111118;0.110187;0.110176
300.500000;0.176750;0.174832;0.172755;0.170916;0.168985;0.167073;0.165321;0.163342;0.162432;0.160831;0.158961;0.156844;0.155653;0.154430;0.152603;0.151362;0.149685;0.148011;0.146741;0.146098;0.144226;0.143165;0.142011;0.141037;0.140073;0.139325;0.137968;0.137059;0.135755;0.134493;0.133973;0.132925;0.132208;0.131547;0.130100;0.128927;0.128222;0.127893;0.126772;0.126317;0.125318;0.124773;0.123749;0.123381;0.122723;0.121608;0.120515;0.120216;0.119266;0.118541;0.117808;0.117425;0.117010;0.116088;0.115684;0.114765;0.114155;0.113523;0.113298;0.112345;0.111979
301.000000;0.179795;0.177673;0.175415;0.173522;0.171656;0.169325;0.168149;0.166031;0.164835;0.163076;0.161568;0.159577;0.157912;0.156833;0.155486;0.153462;0.152225;0.150327;0.149011;0.148234;0.146867;0.145435;0.144487;0.143650;0.142066;0.141527;0.140579;0.139541;0.138175;0.137242;0.136187;0.135491;0.134453;0.133767;0.132594;0.131202;0.130640;0.130168;0.128776;0.128301;0.127356;0.126957;0.125987;0.125533;0.124708;0.123687;0.122776;0.122258;0.121176;0.120700;0.119812;0.119596;0.119131;0.117907;0.117664;0.116848;0.116030;0.115446;0.115325;0.114414;0.113620
301.500000;0.182166;0.180328;0.178314;0.176007;0.174140;0.172175;0.170713;0.168634;0.167139;0.165482;0.163623;0.162168;0.160194;0.159097;0.157865;0.156095;0.154467;0.152732;0.151683;0.150364;0.149101;0.147991;0.147137;0.145573;0.144505;0.143600;0.142970;0.141437;0.140658;0.139681;0.138466;0.137812;0.136812;0.135360;0.134934;0.133541;0.132895;0.131990;0.131048;0.130535;0.129504;0.129113;0.127862;0.127281;0.126694;0.125676;0.125280;0.124087;0.123268;0.122842;0.121936;0.121715;0.121184;0.119870;0.119390;0.119013;0.118174;0.117723;0.117156;0.116326;0.115641
302.000000;0.184405;0.182960;0.180898;0.178662;0.176705;0.175013;0.173241;0.171202;0.169715;0.167865;0.165778;0.164734;0.162742;0.161661;0.160065;0.158687;0.156920;0.155176;0.154250;0.152795;0.151363;0.150480;0.149492;0.147859;0.147097;0.145884;0.145020;0.143465;0.143087;0.141975;0.140850;0.139926;0.139183;0.137358;0.137299;0.136037;0.135103;0.134270;0.133368;0.132958;0.131985;0.131442;0.130023;0.129358;0.129105;0.127853;0.127633;0.126238;0.125826;0.125150;0.124183;0.123853;0.123217;0.122223;0.121286;0.121268;0.120466;0.120128;0.119401;0.118448;0.117983
302.500000;0.187012;0.185640;0.183062;0.181532;0.179430;0.177547;0.175909;0.173794;0.172513;0.170178;0.168463;0.167288;0.165473;0.164486;0.162403;0.160939;0.159651;0.157645;0.156551;0.155464;0.153892;0.152745;0.151557;0.150771;0.149585;0.148399;0.146977;0.146049;0.145367;0.144264;0.143256;0.142084;0.141494;0.140104;0.139760;0.138580;0.137412;0.137149;0.135631;0.135421;0.134641;0.133795;0.132643;0.132028;0.131764;0.130248;0.129670;0.128808;0.128578;0.127581;0.126542;0.126039;0.125326;0.124800;0.123550;0.123526;0.122728;0.122429;0.122068;0.120810;0.120453
303.000000;0.190015;0.188236;0.185507;0.184263;0.182009;0.180263;0.178644;0.176408;0.174891;0.172739;0.171460;0.169642;0.167859;0.166807;0.164907;0.163325;0.161973;0.160219;0.159126;0.157844;0.156395;0.155102;0.154085;0.153083;0.152027;0.150700;0.149488;0.148834;0.147476;0.146475;0.145529;0.144692;0.143809;0.142662;0.142108;0.140815;0.139901;0.139439;0.138022;0.137799;0.136858;0.135597;0.135018;0.134642;0.133685;0.132529;0.131676;0.131174;0.130588;0.129753;0.129029;0.128234;0.127632;0.126979;0.125959;0.125598;0.124886;0.124552;0.124210;0.122910;0.122862
303.500000;0.193009;0.190812;0.188340;0.186795;0.184547;0.183050;0.181384;0.179027;0.177119;0.175516;0.174208;0.172044;0.170186;0.168823;0.167572;0.165902;0.164101;0.162872;0.161803;0.160062;0.158872;0.157599;0.156858;0.155030;0.154364;0.152938;0.152312;0.151454;0.149724;0.148710;0.147866;0.147394;0.146263;0.144967;0.144301;0.142933;0.142351;0.141291;0.140395;0.139979;0.138867;0.137447;0.137144;0.137008;0.135448;0.134847;0.133908;0.133366;0.132366;0.131800;0.131448;0.130571;0.130033;0.129038;0.128366;0.127740;0.127094;0.126728;0.126030;0.125069;0.125103
304.000000;0.195555;0.193497;0.191238;0.189292;0.187310;0.185541;0.184055;0.181648;0.179842;0.178263;0.176277;0.174854;0.173042;0.171250;0.170325;0.168460;0.166676;0.165492;0.164106;0.162563;0.161492;0.160133;0.159245;0.157591;0.156555;0.155513;0.154792;0.153734;0.152463;0.151151;0.150541;0.149587;0.148912;0.147449;0.146468;0.145351;0.144526;0.143599;0.142550;0.141985;0.141292;0.140309;0.139415;0.139272;0.138209;0.137504;0.136479;0.135766;0.134978;0.134146;0.133613;0.133166;0.132376;0.131609;0.130761;0.130317;0.129556;0.129240;0.128313;0.127859;0.127188
304.500000;0.198182;0.196133;0.193849;0.191939;0.190061;0.188090;0.186443;0.184364;0.182669;0.180870;0.178628;0.177674;0.175975;0.174192;0.172833;0.170983;0.169507;0.167933;0.166396;0.165256;0.164234;0.162765;0.161692;0.160568;0.159054;0.158148;0.157075;0.156174;0.155347;0.153815;0.153166;0.151749;0.151323;0.150001;0.148952;0.147886;0.146916;0.146417;0.145076;0.144415;0.144000;0.143382;0.141809;0.141570;0.141079;0.140020;0.139107;0.138293;0.137748;0.136939;0.135997;0.135575;0.134965;0.134223;0.133410;0.132917;0.132086;0.131812;0.130977;0.130525;0.129436
