wavelength;0.00 sec;10.00 sec;20.00 sec;30.00 sec;40.00 sec;50.00 sec;60.00 sec;70.00 sec;80.00 sec;90.00 sec;100.00 sec;110.00 sec;120.00 sec;130.00 sec;140.00 sec;150.00 sec;160.00 sec;170.00 sec;180.00 sec;190.00 sec;200.00 sec;210.00 sec;220.00 sec;230.00 sec;240.00 sec;250.00 sec;260.00 sec;270.00 sec;280.00 sec;290.00 sec;300.00 sec;310.00 sec;320.00 sec;330.00 sec;340.00 sec;350.00 sec;360.00 sec;370.00 sec;380.00 sec;390.00 sec;400.00 sec;410.00 sec;420.00 sec;430.00 sec;440.00 sec;450.00 sec;460.00 sec;470.00 sec;480.00 sec;490.00 sec;500.00 sec;510.00 sec;520.00 sec;530.00 sec;540.00 sec;550.00 sec;560.00 sec;570.00 sec;580.00 sec;590.00 sec;600.00 sec
300.000000;0.109091;0.109417;0.108504;0.107148;0.107077;0.106226;0.105600;0.105083;0.104698;0.104360;0.104170;0.103273;0.102962;0.101857;0.101846;0.101760;0.100790;0.099993;0.099902;0.099233;0.098917;0.098121;0.097346;0.097321;0.097232;0.096591;0.096538;0.096039;0.095111;0.094567;0.094742;0.094069;0.094231;0.093440;0.093380;0.092936;0.092861;0.092477;0.091882;0.091325;0.091233;0.091331;0.091037;0.090562;0.090260;0.089516;0.090022;0.089246;0.088966;0.089329;0.088115;0.088219;0.088509;0.088573;0.087609;0.087702;0.087443;0.087302;0.087036;0.087374;0.086302
300.500000;0.111054;0.111194;0.110380;0.109234;0.109157;0.108273;0.107828;0.107034;0.106775;0.106565;0.105986;0.105652;0.105002;0.103858;0.103533;0.103553;0.103035;0.101985;0.101856;0.101092;0.100923;0.100355;0.099593;0.099302;0.099330;0.098839;0.098265;0.098105;0.097280;0.096726;0.096860;0.096013;0.096243;0.095472;0.095345;0.095063;0.094738;0.094080;0.093966;0.093357;0.093234;0.093409;0.092576;0.092452;0.092328;0.091659;0.092034;0.091129;0.090896;0.090918;0.090295;0.090169;0.090381;0.090374;0.089596;0.089368;0.089445;0.088906;0.089138;0.089100;0.088451
301.000000;0.113123;0.112840;0.112056;0.111245;0.110941;0.110437;0.109970;0.108981;0.108807;0.108722;0.107790;0.107839;0.106987;0.105897;0.105302;0.105146;0.105145;0.103968;0.103593;0.102998;0.103092;0.102462;0.101854;0.101281;0.101476;0.100842;0.100033;0.100164;0.099627;0.099034;0.098830;0.098034;0.098138;0.097553;0.097366;0.097126;0.096566;0.095706;0.096064;0.095551;0.095277;0.095237;0.094301;0.094385;0.094353;0.093815;0.093754;0.092963;0.092974;0.092413;0.092599;0.092051;0.092168;0.092102;0.091640;0.091062;0.091276;0.090559;0.091025;0.090745;0.090458
301.500000;0.115485;0.114909;0.114050;0.113250;0.112477;0.112645;0.111816;0.111069;0.110757;0.110614;0.109753;0.109609;0.109107;0.107994;0.107756;0.106957;0.107017;0.105820;0.105300;0.105163;0.105213;0.104246;0.103656;0.103359;0.103446;0.102326;0.102159;0.102161;0.101667;0.100976;0.100704;0.099903;0.100076;0.099374;0.099292;0.098714;0.098566;0.097777;0.097793;0.097411;0.097240;0.096817;0.096610;0.096568;0.096121;0.095518;0.095275;0.094959;0.095039;0.094388;0.094357;0.093958;0.093989;0.093818;0.093475;0.093267;0.092915;0.092573;0.092516;0.092737;0.092181
302.000000;0.117817;0.117075;0.116527;0.115412;0.114665;0.114680;0.113840;0.113331;0.112906;0.112800;0.112172;0.111586;0.111157;0.110031;0.110151;0.109379;0.108909;0.107952;0.107627;0.107473;0.107168;0.106270;0.105697;0.105746;0.105372;0.104185;0.104303;0.104194;0.103574;0.102837;0.102718;0.101993;0.101905;0.101242;0.101224;0.100513;0.100727;0.099993;0.099755;0.099202;0.099357;0.098718;0.098721;0.098693;0.098160;0.097445;0.097165;0.097023;0.096984;0.096654;0.096067;0.095877;0.096138;0.095808;0.095484;0.095412;0.094734;0.094762;0.094269;0.094714;0.094061
302.500000;0.119936;0.119151;0.119203;0.117752;0.117531;0.116544;0.116199;0.115601;0.115273;0.115279;0.114790;0.113933;0.113100;0.112035;0.112090;0.112185;0.110984;0.110455;0.110436;0.109745;0.109060;0.108667;0.108183;0.108246;0.107367;0.106698;0.106361;0.106267;0.105549;0.104850;0.104917;0.104438;0.103668;0.103330;0.103278;0.102874;0.102924;0.102150;0.102126;0.101204;0.101669;0.101062;0.100424;0.100584;0.100539;0.099845;0.099560;0.099130;0.098916;0.098922;0.098101;0.097824;0.098504;0.098070;0.097680;0.097259;0.096868;0.096909;0.096547;0.096572;0.096233
303.000000;0.122016;0.121399;0.121346;0.120087;0.119750;0.118582;0.118440;0.117541;0.117458;0.117137;0.116667;0.115987;0.115241;0.114249;0.114064;0.114379;0.113175;0.112839;0.112468;0.111823;0.111253;0.110802;0.110351;0.110167;0.109433;0.108999;0.108726;0.108244;0.107625;0.106944;0.107047;0.106875;0.105760;0.105466;0.105512;0.105354;0.104975;0.104389;0.104238;0.103477;0.103879;0.103236;0.102602;0.102418;0.102537;0.102074;0.101876;0.101427;0.101181;0.101033;0.100303;0.099892;0.100432;0.100185;0.099448;0.099323;0.099026;0.098930;0.098829;0.098756;0.098272
303.500000;0.124139;0.123809;0.123143;0.122403;0.121621;0.120870;0.120658;0.119438;0.119502;0.118885;0.118359;0.117897;0.117572;0.116565;0.116269;0.116215;0.115410;0.114996;0.114043;0.113865;0.113649;0.112761;0.112303;0.111967;0.111669;0.111035;0.111135;0.110343;0.109807;0.109182;0.109089;0.109050;0.108186;0.107658;0.107842;0.107547;0.106966;0.106595;0.106146;0.105887;0.105998;0.105261;0.105109;0.104439;0.104325;0.104059;0.103955;0.103707;0.103503;0.103114;0.102522;0.102017;0.102165;0.102276;0.101165;0.101548;0.101124;0.100922;0.100885;0.101061;0.100214
304.000000;0.126338;0.126235;0.125252;0.124788;0.124187;0.123306;0.123185;0.121819;0.121708;0.121550;0.120997;0.120214;0.119917;0.118766;0.118636;0.118530;0.117667;0.117094;0.116285;0.116137;0.115927;0.115001;0.114577;0.114515;0.114164;0.113235;0.113114;0.112854;0.112085;0.111637;0.111194;0.110922;0.110717;0.110020;0.110127;0.109328;0.109124;0.108611;0.108291;0.108237;0.108180;0.107498;0.107321;0.106825;0.106509;0.106107;0.105967;0.105701;0.105422;0.105389;0.104697;0.104120;0.104376;0.104678;0.103602;0.103596;0.103244;0.103065;0.102806;0.103039;0.102353
304.500000;0.128788;0.128813;0.127732;0.127268;0.126904;0.125850;0.125738;0.124461;0.124195;0.124260;0.123870;0.122793;0.122340;0.121217;0.121012;0.121046;0.120074;0.119317;0.119158;0.118534;0.118165;0.117393;0.116972;0.117136;0.116660;0.115605;0.115203;0.115380;0.114450;0.114003;0.113519;0.112977;0.113259;0.112526;0.112354;0.111534;0.111502;0.110911;0.110585;0.110582;0.110294;0.109842;0.109676;0.109369;0.108904;0.108405;0.108184;0.107895;0.107473;0.107769;0.107044;0.106509;0.106985;0.107048;0.106342;0.105673;0.105530;0.105431;0.105090;0.105146;0.104692
305.000000;0.131499;0.131556;0.130427;0.129836;0.129331;0.128426;0.128133;0.127095;0.126886;0.126391;0.126323;0.125361;0.124858;0.124033;0.123430;0.123481;0.122655;0.121766;0.122120;0.120958;0.120515;0.119832;0.119313;0.119353;0.118978;0.118104;0.117776;0.117634;0.116872;0.116195;0.116126;0.115546;0.115763;0.115088;0.114638;0.114489;0.114026;0.113673;0.112999;0.112996;0.112430;0.112180;0.112362;0.111869;0.111301;0.110981;0.110674;0.110492;0.110045;0.110152;0.109644;0.109270;0.109708;0.109236;0.108947;0.108066;0.108054;0.108007;0.107866;0.107687;0.107148
