wavelength;0.00 sec;10.00 sec;20.00 sec;30.00 sec;40.00 sec;50.00 sec;60.00 sec;70.00 sec;80.00 sec;90.00 sec;100.00 sec;110.00 sec;120.00 sec;130.00 sec;140.00 sec;150.00 sec;160.00 sec;170.00 sec;180.00 sec;190.00 sec;200.00 sec;210.00 sec;220.00 sec;230.00 sec;240.00 sec;250.00 sec;260.00 sec;270.00 sec;280.00 sec;290.00 sec;300.00 sec;310.00 sec;320.00 sec;330.00 sec;340.00 sec;350.00 sec;360.00 sec;370.00 sec;380.00 sec;390.00 sec;400.00 sec;410.00 sec;420.00 sec;430.00 sec;440.00 sec;450.00 sec;460.00 sec;470.00 sec;480.00 sec;490.00 sec;500.00 sec;510.00 sec;520.00 sec;530.00 sec;540.00 sec;550.00 sec;560.00 sec;570.00 sec;580.00 sec;590.00 sec;600.00 sec;610.00 sec;620.00 sec;630.00 sec;640.00 sec;650.00 sec;660.00 sec;670.00 sec;680.00 sec;690.00 sec;700.00 sec;710.00 sec;720.00 sec;730.00 sec;740.00 sec;750.00 sec;760.00 sec;770.00 sec;780.00 sec;790.00 sec;800.00 sec;810.00 sec;820.00 sec;830.00 sec;840.00 sec;850.00 sec;860.00 sec;870.00 sec;880.00 sec;890.00 sec;900.00 sec;910.00 sec;920.00 sec;930.00 sec;940.00 sec;950.00 sec;960.00 sec;970.00 sec;980.00 sec;990.00 sec;1000.00 sec;1010.00 sec;1020.00 sec;1030.00 sec;1040.00 sec;1050.00 sec;1060.00 sec;1070.00 sec;1080.00 sec;1090.00 sec;1100.00 sec;1110.00 sec;1120.00 sec;1130.00 sec;1140.00 sec;1150.00 sec;1160.00 sec;1170.00 sec;1180.00 sec;1190.00 sec;1200.00 sec;1210.00 sec;1220.00 sec;1230.00 sec;1240.00 sec;1250.00 sec;1260.00 sec;1270.00 sec;1280.00 sec;1290.00 sec;1300.00 sec;1310.00 sec;1320.00 sec;1330.00 sec;1340.00 sec;1350.00 sec;1360.00 sec;1370.00 sec;1380.00 sec;1390.00 sec;1400.00 sec;1410.00 sec;1420.00 sec;1430.00 sec;1440.00 sec;1450.00 sec;1460.00 sec;1470.00 sec;1480.00 sec;1490.00 sec;1500.00 sec;1510.00 sec;1520.00 sec;1530.00 sec;1540.00 sec;1550.00 sec;1560.00 sec;1570.00 sec;1580.00 sec;1590.00 sec;1600.00 sec;1610.00 sec;1620.00 sec;1630.00 sec;1640.00 sec;1650.00 sec;1660.00 sec;1670.00 sec;1680.00 sec;1690.00 sec;1700.00 sec;1710.00 sec;1720.00 sec;1730.00 sec;1740.00 sec;1750.00 sec;1760.00 sec;1770.00 sec;1780.00 sec;1790.00 sec;1800.00 sec
300.000000;0.441420;0.437694;0.437919;0.439400;0.444298;0.450056;0.457065;0.464233;0.472771;0.482546;0.491675;0.501914;0.513170;0.523027;0.534337;0.545389;0.557368;0.569254;0.578710;0.588916;0.599628;0.612425;0.622159;0.630239;0.639849;0.646584;0.653100;0.656670;0.659797;0.659395;0.657686;0.656425;0.655049;0.652797;0.651681;0.649714;0.648190;0.647657;0.646702;0.644257;0.644406;0.641085;0.640696;0.639563;0.639379;0.637273;0.637549;0.636168;0.635219;0.634245;0.633134;0.632553;0.632330;0.631352;0.631424;0.630116;0.629564;0.629188;0.629144;0.628421;0.627809;0.627175;0.627479;0.626215;0.627179;0.626066;0.624152;0.625408;0.625099;0.624992;0.624887;0.622692;0.624711;0.622355;0.622850;0.622357;0.621522;0.621913;0.622523;0.622282;0.620282;0.621430;0.620836;0.621087;0.620811;0.620001;0.618309;0.619364;0.621210;0.620420;0.619501;0.618556;0.617888;0.618545;0.617755;0.618726;0.617095;0.618226;0.617916;0.618628;0.617126;0.617499;0.616675;0.617264;0.617169;0.617573;0.616529;0.616547;0.617474;0.617406;0.617102;0.616469;0.616241;0.615961;0.616359;0.615643;0.616863;0.616501;0.615004;0.615578;0.615925;0.617092;0.614515;0.615009;0.614929;0.614448;0.614941;0.614516;0.615530;0.613992;0.614452;0.613768;0.614335;0.615153;0.614103;0.615435;0.613102;0.612498;0.613612;0.613678;0.613495;0.614313;0.613463;0.612411;0.612409;0.614122;0.612807;0.612793;0.612993;0.614362;0.613623;0.613370;0.613430;0.611129;0.612871;0.612707;0.612970;0.611540;0.612521;0.613038;0.611137;0.611897;0.612098;0.611449;0.612415;0.611284;0.611371;0.611486;0.610680;0.612449;0.611020;0.610366;0.610574;0.611901;0.610829;0.610494;0.609508;0.609990;0.611461;0.611210;0.609739
300.500000;0.441851;0.437507;0.437414;0.438075;0.441616;0.447100;0.453524;0.460699;0.467754;0.476855;0.485185;0.495478;0.505872;0.515625;0.525951;0.536264;0.547455;0.559012;0.569020;0.578050;0.589056;0.599789;0.609076;0.617439;0.626425;0.633884;0.640045;0.643087;0.645262;0.643796;0.643430;0.642015;0.641082;0.638493;0.637402;0.635810;0.633647;0.634098;0.631889;0.630317;0.629485;0.627392;0.626693;0.625080;0.625064;0.624015;0.623396;0.621615;0.621353;0.620379;0.618619;0.618919;0.618267;0.617477;0.616834;0.616382;0.615179;0.614344;0.614678;0.614125;0.613510;0.612330;0.612833;0.612503;0.612747;0.611380;0.609629;0.611233;0.610795;0.609902;0.611100;0.609295;0.609786;0.608030;0.608076;0.608591;0.607539;0.607485;0.607726;0.608446;0.607420;0.607211;0.606261;0.606559;0.606395;0.606471;0.604756;0.605254;0.605498;0.605786;0.605202;0.605013;0.604814;0.603696;0.604186;0.605046;0.603408;0.603674;0.604051;0.603898;0.602843;0.603580;0.602810;0.602554;0.602754;0.603546;0.603143;0.602549;0.603550;0.603129;0.602126;0.602362;0.602161;0.601883;0.601884;0.601476;0.602241;0.602432;0.601149;0.601110;0.601901;0.602758;0.600322;0.601231;0.600816;0.600023;0.600847;0.600658;0.601559;0.600076;0.601087;0.600708;0.600616;0.600657;0.599721;0.601313;0.599723;0.599782;0.600112;0.600412;0.599503;0.600254;0.600448;0.597364;0.598833;0.599981;0.599668;0.599530;0.599684;0.599363;0.599325;0.599283;0.598983;0.596642;0.599053;0.598766;0.598013;0.598230;0.598990;0.598529;0.597343;0.597350;0.598320;0.597679;0.598410;0.597167;0.597772;0.598205;0.596195;0.597905;0.596990;0.595331;0.597356;0.597106;0.596942;0.597084;0.596376;0.596627;0.597135;0.597046;0.596065
301.000000;0.442203;0.437358;0.436718;0.436914;0.439004;0.443727;0.449224;0.456532;0.462473;0.470783;0.478632;0.488474;0.497832;0.507919;0.516696;0.526623;0.536930;0.547269;0.558242;0.566572;0.577898;0.586179;0.595100;0.604070;0.612590;0.619843;0.626005;0.628777;0.629896;0.628297;0.628557;0.626460;0.625669;0.623244;0.621902;0.620928;0.618877;0.618783;0.616281;0.615291;0.613270;0.612844;0.611523;0.609918;0.609832;0.609756;0.608188;0.606316;0.606428;0.605349;0.603284;0.604503;0.603015;0.602701;0.601108;0.601471;0.600013;0.598972;0.599637;0.599312;0.598210;0.597197;0.597097;0.597816;0.596834;0.596122;0.594816;0.595973;0.595439;0.594423;0.595374;0.595006;0.593699;0.593255;0.592553;0.593789;0.593092;0.592217;0.592297;0.592836;0.593131;0.591483;0.590739;0.591193;0.591270;0.591707;0.590859;0.590288;0.588970;0.590123;0.590030;0.590689;0.590733;0.588688;0.589785;0.590156;0.588939;0.588321;0.589034;0.588324;0.588019;0.588445;0.588362;0.587172;0.587767;0.588537;0.588519;0.587561;0.588240;0.587519;0.586547;0.586877;0.586905;0.587184;0.586667;0.586391;0.586588;0.586948;0.586684;0.586433;0.586484;0.586933;0.585463;0.586200;0.585847;0.585220;0.585884;0.585829;0.586029;0.585443;0.586595;0.586959;0.585539;0.585024;0.584625;0.585439;0.585383;0.585828;0.585027;0.585752;0.584519;0.584967;0.585786;0.581867;0.584153;0.584526;0.585458;0.585306;0.585247;0.583276;0.583820;0.583811;0.583424;0.582014;0.583951;0.583822;0.582367;0.583557;0.583943;0.582859;0.582754;0.582262;0.583732;0.582862;0.583114;0.582605;0.582733;0.583791;0.581318;0.582550;0.582060;0.580042;0.582745;0.581467;0.582327;0.582764;0.582464;0.582177;0.581643;0.581646;0.581808
301.500000;0.443047;0.437716;0.435901;0.435407;0.436970;0.440200;0.444789;0.450957;0.457302;0.464780;0.472504;0.480659;0.489468;0.498784;0.506807;0.516821;0.526914;0.536078;0.546030;0.554351;0.564457;0.572642;0.582068;0.590437;0.598564;0.604138;0.609985;0.613279;0.614690;0.614219;0.613342;0.610645;0.609265;0.607769;0.606436;0.604875;0.603842;0.601468;0.600943;0.598760;0.597057;0.596658;0.595282;0.594611;0.594067;0.592748;0.591922;0.590780;0.589812;0.588923;0.587667;0.588315;0.587274;0.587101;0.584778;0.585206;0.584152;0.583977;0.584319;0.583976;0.582073;0.582391;0.581898;0.581356;0.579744;0.580797;0.579329;0.580166;0.579532;0.579602;0.577828;0.578880;0.577502;0.578192;0.576771;0.577125;0.576848;0.576001;0.576597;0.575849;0.575826;0.575239;0.575397;0.575629;0.575783;0.575364;0.575578;0.574510;0.574084;0.573999;0.574522;0.574619;0.573823;0.573614;0.573955;0.574239;0.573192;0.572362;0.572774;0.572563;0.572232;0.572137;0.572747;0.571704;0.572178;0.572850;0.571986;0.571782;0.571777;0.571064;0.571760;0.570374;0.570998;0.571328;0.571368;0.570489;0.571089;0.570521;0.571154;0.571224;0.569750;0.570428;0.570364;0.570234;0.570691;0.570459;0.569946;0.570086;0.569283;0.569535;0.570397;0.571238;0.569200;0.569077;0.569700;0.568710;0.569325;0.569294;0.568731;0.569528;0.568259;0.568861;0.568660;0.567215;0.568231;0.568864;0.569655;0.568807;0.569037;0.567303;0.568218;0.567902;0.567531;0.567048;0.568003;0.567747;0.567400;0.567011;0.567807;0.567424;0.566966;0.567538;0.568510;0.566727;0.567288;0.568068;0.566789;0.568259;0.566731;0.567104;0.566863;0.565782;0.566755;0.566391;0.567227;0.567017;0.566945;0.566235;0.565947;0.565971;0.566042
302.000000;0.444287;0.438267;0.434797;0.433739;0.435166;0.437466;0.440924;0.446032;0.452452;0.458716;0.466263;0.473282;0.481371;0.489269;0.497537;0.507273;0.516902;0.525189;0.533484;0.542471;0.550862;0.559244;0.568699;0.576263;0.583300;0.588391;0.593754;0.597433;0.598621;0.598418;0.597687;0.594892;0.593004;0.591737;0.590966;0.588439;0.587864;0.584618;0.584566;0.582147;0.581133;0.580078;0.578852;0.578726;0.578079;0.575534;0.575528;0.574687;0.572928;0.572614;0.571976;0.571820;0.571162;0.570699;0.569061;0.568668;0.567775;0.568147;0.567981;0.567495;0.565124;0.566724;0.566327;0.565015;0.563060;0.564712;0.562881;0.563709;0.563294;0.563545;0.560803;0.561972;0.561590;0.561993;0.560740;0.560519;0.560808;0.560063;0.560524;0.559145;0.558264;0.559177;0.559600;0.559612;0.559567;0.558856;0.559115;0.558214;0.558627;0.558087;0.558412;0.557958;0.556890;0.557707;0.557158;0.557440;0.556940;0.556567;0.556559;0.556327;0.556579;0.556002;0.556481;0.556150;0.555620;0.556561;0.555473;0.555898;0.555689;0.555171;0.555832;0.554206;0.554632;0.554842;0.555694;0.554853;0.554390;0.553623;0.555032;0.555017;0.553516;0.553966;0.554361;0.553901;0.554001;0.554346;0.553343;0.553608;0.553006;0.553207;0.554049;0.554383;0.553343;0.553071;0.553834;0.552575;0.552674;0.552501;0.552446;0.552854;0.552105;0.552309;0.551759;0.552371;0.552258;0.552553;0.553200;0.552360;0.552171;0.551844;0.552223;0.551732;0.551630;0.551596;0.551448;0.551451;0.551668;0.550538;0.551639;0.551743;0.550850;0.552104;0.552610;0.550628;0.551270;0.552382;0.550793;0.551937;0.551209;0.551407;0.551104;0.550784;0.550542;0.551215;0.551582;0.550683;0.550709;0.550128;0.550159;0.550134;0.549916
302.500000;0.445407;0.438497;0.433532;0.432006;0.432979;0.435287;0.437503;0.442207;0.447529;0.452503;0.459494;0.466446;0.473443;0.480160;0.488888;0.497553;0.506053;0.514004;0.521273;0.530706;0.537968;0.545689;0.554051;0.561296;0.566859;0.573120;0.578060;0.581472;0.581480;0.580290;0.581219;0.578811;0.576927;0.574963;0.574808;0.571887;0.570802;0.568782;0.567086;0.565984;0.565144;0.563791;0.562524;0.562046;0.561690;0.559203;0.559200;0.557853;0.556312;0.556599;0.555932;0.555486;0.554532;0.553512;0.553711;0.552168;0.551057;0.551060;0.550623;0.550105;0.547872;0.549692;0.549672;0.549039;0.547273;0.547649;0.545719;0.546649;0.546824;0.545698;0.544888;0.545007;0.545507;0.544582;0.544248;0.544410;0.545184;0.544224;0.543920;0.542976;0.541805;0.543095;0.542879;0.542877;0.542557;0.542591;0.541928;0.541576;0.541568;0.542134;0.541574;0.541283;0.540964;0.540792;0.540049;0.540146;0.540588;0.540813;0.540525;0.539511;0.540856;0.540110;0.539843;0.539985;0.538402;0.539722;0.539478;0.539851;0.539946;0.539828;0.538321;0.538479;0.537859;0.538042;0.539085;0.539291;0.536708;0.536837;0.538531;0.538007;0.538080;0.537751;0.537416;0.537358;0.536042;0.536823;0.536605;0.536710;0.537251;0.536868;0.537843;0.537288;0.537961;0.536868;0.536816;0.537124;0.536143;0.536389;0.536313;0.536380;0.536355;0.535706;0.536011;0.536490;0.536484;0.535711;0.536618;0.536576;0.535419;0.536369;0.535494;0.535348;0.535681;0.535359;0.534755;0.535297;0.534851;0.534770;0.535586;0.535471;0.534814;0.535481;0.536047;0.534873;0.535066;0.535445;0.534885;0.535305;0.534561;0.535216;0.534632;0.534503;0.534400;0.535406;0.535282;0.534273;0.534247;0.534331;0.534049;0.534008;0.533945
303.000000;0.445657;0.437959;0.432651;0.430026;0.429809;0.431807;0.433357;0.437198;0.441493;0.446209;0.452202;0.458488;0.464721;0.471267;0.479087;0.486304;0.493643;0.502073;0.509091;0.517089;0.524207;0.531444;0.538344;0.545426;0.550754;0.557070;0.561753;0.564596;0.564359;0.562985;0.563360;0.561323;0.559680;0.557590;0.556911;0.554610;0.553207;0.551711;0.550194;0.549283;0.548185;0.547233;0.545651;0.544757;0.544168;0.542154;0.542017;0.540388;0.538972;0.539141;0.538761;0.538054;0.537050;0.535533;0.536663;0.534818;0.534048;0.533602;0.533212;0.532980;0.531213;0.531945;0.531996;0.531242;0.531198;0.530136;0.528577;0.529264;0.530028;0.527662;0.528126;0.527753;0.528006;0.526897;0.526906;0.526937;0.527477;0.526477;0.526603;0.525702;0.525127;0.525812;0.525355;0.525333;0.525111;0.525372;0.524375;0.524471;0.524207;0.524811;0.524148;0.523949;0.523960;0.523489;0.523097;0.522889;0.523723;0.523794;0.523172;0.522366;0.523116;0.522761;0.522529;0.522259;0.521517;0.522345;0.522262;0.522588;0.522471;0.523143;0.521122;0.521618;0.520592;0.520685;0.520957;0.521957;0.520360;0.520669;0.521281;0.521031;0.521562;0.521278;0.520337;0.520172;0.519139;0.519623;0.520228;0.519715;0.519936;0.519996;0.520158;0.520272;0.520707;0.519969;0.519791;0.520696;0.519411;0.519430;0.519043;0.519801;0.519631;0.519300;0.519490;0.519489;0.519731;0.519272;0.519540;0.519303;0.518628;0.519479;0.517944;0.518704;0.519224;0.517879;0.518509;0.518675;0.518402;0.518219;0.518584;0.518765;0.518341;0.518278;0.518887;0.518158;0.518337;0.518627;0.518255;0.518764;0.518076;0.518338;0.517629;0.518345;0.517351;0.518960;0.518182;0.517508;0.517130;0.517857;0.517148;0.517319;0.517362
303.500000;0.445998;0.437569;0.432269;0.428256;0.426704;0.427690;0.428947;0.431488;0.435111;0.439859;0.444722;0.449905;0.455812;0.462323;0.468400;0.474887;0.481220;0.489942;0.496736;0.503075;0.510225;0.516787;0.522777;0.529407;0.535431;0.540553;0.544921;0.547397;0.547824;0.546649;0.545332;0.543219;0.542184;0.540088;0.538758;0.537152;0.535725;0.534078;0.533480;0.532218;0.530556;0.530065;0.528480;0.527354;0.526388;0.524770;0.524309;0.523006;0.521467;0.521109;0.521106;0.520205;0.519704;0.517815;0.518630;0.517290;0.517070;0.516245;0.516030;0.515933;0.514858;0.514211;0.514061;0.512810;0.514164;0.512691;0.511979;0.512055;0.512803;0.510485;0.510668;0.510406;0.510050;0.509473;0.509419;0.508964;0.509168;0.508385;0.508969;0.508125;0.508172;0.507988;0.508014;0.507962;0.507720;0.507629;0.506900;0.506964;0.506807;0.506860;0.506500;0.506292;0.506287;0.506276;0.506126;0.505814;0.506441;0.506086;0.505266;0.505489;0.504997;0.504615;0.505197;0.504287;0.504979;0.504948;0.504495;0.504662;0.504155;0.505188;0.504567;0.503894;0.503501;0.503407;0.502810;0.503745;0.504709;0.504519;0.503731;0.504127;0.504140;0.504098;0.503312;0.502900;0.502984;0.503038;0.503764;0.502748;0.502094;0.502758;0.502053;0.503453;0.502567;0.502991;0.502950;0.503184;0.502398;0.502041;0.501528;0.503144;0.502203;0.502650;0.502390;0.502286;0.502447;0.502941;0.502343;0.501485;0.501969;0.501848;0.500513;0.501834;0.502152;0.500312;0.502230;0.501588;0.502174;0.501123;0.501274;0.501882;0.501525;0.501265;0.501681;0.501065;0.501421;0.502124;0.501271;0.501945;0.501672;0.501225;0.500801;0.502033;0.500105;0.501851;0.500874;0.500659;0.499859;0.500775;0.499960;0.500456;0.500364
304.000000;0.447779;0.438423;0.432095;0.427177;0.425043;0.424612;0.425327;0.426769;0.429766;0.433496;0.437453;0.442082;0.447788;0.453132;0.458087;0.465256;0.470700;0.478332;0.484134;0.490978;0.497321;0.502308;0.508450;0.514145;0.520550;0.524488;0.528253;0.530859;0.531805;0.529975;0.528664;0.525958;0.525940;0.522969;0.522275;0.520338;0.518805;0.517555;0.515842;0.515363;0.513151;0.512363;0.511583;0.510257;0.509546;0.508155;0.506946;0.506313;0.504833;0.504273;0.504038;0.503268;0.503444;0.501439;0.501394;0.500716;0.500352;0.499124;0.498927;0.498428;0.498082;0.496955;0.496718;0.495981;0.496240;0.495711;0.495949;0.495318;0.495197;0.494455;0.493647;0.493336;0.493226;0.492503;0.492655;0.492254;0.492800;0.492262;0.491630;0.491719;0.491453;0.490881;0.491760;0.491685;0.490717;0.490451;0.489866;0.489407;0.489204;0.489682;0.489088;0.489077;0.489391;0.489400;0.488835;0.488839;0.489161;0.488991;0.488325;0.489248;0.488922;0.487230;0.488624;0.487785;0.488313;0.488101;0.487690;0.487279;0.486930;0.487113;0.488064;0.486486;0.487253;0.486919;0.486403;0.486562;0.487972;0.487568;0.486667;0.487031;0.486892;0.486209;0.486245;0.486312;0.486213;0.486570;0.486625;0.485884;0.485713;0.485722;0.485401;0.486758;0.485648;0.486690;0.486030;0.485498;0.485312;0.485391;0.485239;0.486595;0.485147;0.485371;0.485826;0.485855;0.485675;0.486039;0.485593;0.485076;0.485667;0.484892;0.484244;0.484906;0.484744;0.484080;0.485255;0.484495;0.485392;0.484455;0.484806;0.485037;0.484779;0.484914;0.485006;0.484777;0.484909;0.485498;0.484707;0.484481;0.484769;0.484480;0.484693;0.484803;0.483839;0.484288;0.484134;0.484177;0.483276;0.483788;0.483323;0.483984;0.483637
304.500000;0.449302;0.438728;0.431334;0.425606;0.423236;0.421591;0.421611;0.422111;0.424643;0.427210;0.430165;0.434308;0.439524;0.443563;0.448085;0.455103;0.460145;0.466172;0.471003;0.478335;0.483740;0.487684;0.493901;0.498999;0.504909;0.508140;0.511451;0.514014;0.514745;0.512610;0.511987;0.509194;0.509331;0.505927;0.505477;0.503165;0.501707;0.500687;0.497827;0.497723;0.496117;0.494719;0.494376;0.492657;0.492257;0.491185;0.489685;0.488919;0.488094;0.487747;0.486878;0.486356;0.485945;0.485063;0.484363;0.484174;0.482813;0.481821;0.481317;0.481191;0.480662;0.479337;0.479514;0.479282;0.478536;0.478933;0.478746;0.477749;0.477423;0.478120;0.476724;0.476175;0.476403;0.475509;0.475463;0.475584;0.475907;0.475248;0.474450;0.474759;0.474172;0.473648;0.475120;0.474604;0.473302;0.473429;0.472784;0.472416;0.471789;0.472329;0.471926;0.472096;0.472546;0.472282;0.471338;0.471445;0.471942;0.472097;0.471361;0.472103;0.472266;0.470029;0.471566;0.470929;0.470964;0.471157;0.470812;0.470265;0.469837;0.469345;0.470761;0.469498;0.470525;0.469945;0.469855;0.469858;0.470142;0.470040;0.469993;0.469747;0.469254;0.468667;0.468999;0.469454;0.468869;0.469644;0.469303;0.469028;0.469243;0.469011;0.468982;0.469314;0.468648;0.469586;0.468881;0.468493;0.468391;0.468673;0.468711;0.469714;0.468519;0.468308;0.469083;0.469085;0.468688;0.468769;0.468516;0.468590;0.468924;0.467992;0.468157;0.468079;0.467546;0.467919;0.468082;0.467767;0.468158;0.467622;0.468153;0.467786;0.467942;0.468076;0.468189;0.468209;0.468472;0.468228;0.467901;0.467235;0.467670;0.467560;0.467840;0.467537;0.467420;0.467131;0.467548;0.467553;0.467072;0.467191;0.466904;0.467364;0.467134
