genotype,repetition,jour0,jour3,jour4,jour5,jour6,jour7
WT,1,0,0.1,0.4,1,1.6,2.3
WT,1,0,0.5,1,1.6,2.2,2.8
WT,1,0,0.2,0.6,1,1.7,2.5
WT,1,0,0.5,1,1.6,2.2,3
WT,1,0,0.2,0.7,1.3,2,2.6
WT,1,0,0.4,0.8,1.3,1.9,2.6
WT,1,0,0.2,0.8,1.4,2.1,2.9
WT,1,0,0.2,0.5,1,1.6,2.2
WT,1,0,0.2,0.5,1,1.6,2.1
WT,1,0,0.2,0.5,1,1.5,2.3
WT,1,0,0.3,0.7,1.2,1.9,2.6
WT,1,0,0.3,0.8,1.3,1.8,2.5
WT,1,0,0.2,0.5,0.9,1.3,2.1
WT,1,0,0.3,0.8,1.4,2,2.8
WT,1,0,0.7,1.3,1.9,2.7,3.6
WT,1,0,0.5,1.1,1.7,2.4,3.1
WT,1,0,0.6,1.2,2,2.7,3.6
WT,1,0,0.3,0.6,1.1,1.8,2.5
WT,1,0,0.2,0.7,1.1,1.8,2.5
WT,1,0,0.3,0.9,1.4,2.1,2.9
WT,1,0,0.3,1,1.6,2.4,3.4
WT,1,0,0.4,0.8,1.4,2.1,2.9
WT,1,0,0.3,0.8,1.3,1.9,2.7
WT,1,0,0.2,0.8,1.3,1.9,2.7
WT,1,0,0.2,0.5,0.9,1.5,2.2
WT,1,0,0.2,0.7,1.2,1.7,2.3
WT,1,0,0.2,0.7,1.3,2,2.6
WT,1,0,0.2,0.7,1.4,2,2.8
WT,1,0,0.1,0.5,1,1.6,1.8
WT,1,0,0.5,0.9,1.6,2.4,3.2
WT,2,0,0.4,1,1.7,2.4,3.3
WT,2,0,0.3,0.7,1.3,2,2.7
WT,2,0,0.2,0.4,0.9,1.4,2
WT,2,0,0.3,0.8,1.3,2,2.8
WT,2,0,0.2,0.6,1.3,2,2.8
WT,2,0,0.3,0.8,1.5,2.2,3
WT,2,0,0.3,1,1.7,2.4,3.4
WT,2,0,0.1,0.4,0.9,1.4,2.1
WT,2,0,0,0.4,1,1.6,2.4
WT,2,0,0,0.2,0.6,1.1,1.5
WT,2,0,0.4,0.9,1.5,2.1,2.9
WT,2,0,0.2,0.6,1.2,1.8,2.6
WT,2,0,0.3,0.8,1.4,2.1,3
WT,2,0,0.4,0.9,1.6,2.5,3.4
WT,2,0,0.2,0.6,1.1,1.8,2.5
WT,2,0,0.2,0.7,1.1,1.8,2.4
WT,2,0,0.2,0.7,1.2,1.8,2.6
WT,2,0,0.1,0.5,1,1.4,2
WT,2,0,0.4,1,1.5,2.2,3
WT,2,0,0.4,1,1.5,2.2,3.1
WT,2,0,0.4,0.9,1.4,2,2.8
WT,2,0,0.1,0.2,0.6,1,1.6
WT,2,0,0.3,0.8,1.3,2,2.7
WT,2,0,0.2,0.6,1.2,1.9,2.7
WT,2,0,0.1,0.6,1.2,1.8,2.6
WT,2,0,0.2,0.7,1.2,1.8,2.6
WT,2,0,0.3,0.9,1.6,2.4,3.2
WT,2,0,0.5,1,1.6,2.4,3.2
WT,2,0,0.3,0.6,1.1,1.7,2.4
WT,2,0,0.2,0.7,1.2,1.9,2.7
WT,2,0,0.4,1,1.5,2.3,3.1
WT,3,0,0.1,0.5,1,1.7,2.6
