genotype,repbio,reptech,masse,DO470
WT,1,a,"0,0198","0,0133"
WT,1,b,"0,0199","0,0041"
WT,2,a,"0,0214","0,0053"
WT,2,b,"0,0209","0,0065"
WT,3,a,"0,0209","0,0096"
WT,3,b,"0,0205","0,0114"
nqr,1,a,"0,0198","0,0042"
nqr,1,b,"0,0207","0,0057"
nqr,2,a,"0,0215","0,0237"
nqr,2,b,"0,0205","0,0142"
nqr,3,a,"0,0204","0,0096"
nqr,3,b,"0,0198","0,0078"
air12,1,a,"0,02","0,0042"
air12,1,b,"0,0198","0,0069"
air12,2,a,"0,0205","0,0059"
air12,2,b,"0,0214","0,0071"
air12,3,a,"0,0208","0,0084"
air12,3,b,"0,0204","0,008"
nqrair12,1,a,"0,0202","0,0109"
nqrair12,1,b,"0,0199","0,0091"
nqrair12,2,a,"0,0204","0,0118"
nqrair12,2,b,"0,0202","0,0102"
nqrair12,3,a,"0,021","0,0131"
nqrair12,3,b,"0,0203","0,0136"
blank,1,,0,"0,0002"
blank,2,,0,"-0,002"
blank,3,,0,"-0,0009"
