genotype,traitement,temps,germination,total
SL101,D,0,0,40
A12,C,0,0,40
SL101,D,0,0,40
A12,C,0,0,40
SL101,H,0,0,40
SL101,C,0,0,39
A12,H,0,0,40
SL101,D,0,0,41
A12,D,0,0,40
SL101,H,0,0,40
A12,H,0,0,40
SL101,C,0,0,40
A12,C,0,0,40
A12,D,0,0,40
SL101,H,0,0,40
A12,H,0,0,40
SL101,C,0,0,40
A12,D,0,0,40
SL101,D,24,0,40
A12,C,24,0,40
SL101,D,24,0,40
A12,C,24,0,40
SL101,H,24,0,40
SL101,C,24,0,39
A12,H,24,0,40
SL101,D,24,0,41
A12,D,24,0,40
SL101,H,24,0,40
A12,H,24,0,40
SL101,C,24,0,40
A12,C,24,0,40
A12,D,24,0,40
SL101,H,24,0,40
A12,H,24,0,40
SL101,C,24,0,40
A12,D,24,0,40
SL101,D,67,0,40
A12,C,67,0,40
SL101,D,67,0,40
A12,C,67,0,40
SL101,H,67,0,40
SL101,C,67,0,39
A12,H,67,0,40
SL101,D,67,0,41
A12,D,67,0,40
SL101,H,67,0,40
A12,H,67,0,40
SL101,C,67,0,40
A12,C,67,0,40
A12,D,67,0,40
SL101,H,67,0,40
A12,H,67,0,40
SL101,C,67,0,40
A12,D,67,0,40
SL101,D,96,0,40
A12,C,96,0,40
SL101,D,96,0,40
A12,C,96,0,40
SL101,H,96,0,40
SL101,C,96,1,39
A12,H,96,2,40
SL101,D,96,0,41
A12,D,96,0,40
SL101,H,96,0,40
A12,H,96,0,40
SL101,C,96,0,40
A12,C,96,0,40
A12,D,96,0,40
SL101,H,96,0,40
A12,H,96,0,40
SL101,C,96,0,40
A12,D,96,0,40
SL101,D,146,0,40
A12,C,146,0,40
SL101,D,146,7,40
A12,C,146,0,40
SL101,H,146,0,40
SL101,C,146,1,39
A12,H,146,7,40
SL101,D,146,3,41
A12,D,146,0,40
SL101,H,146,8,40
A12,H,146,0,40
SL101,C,146,3,40
A12,C,146,1,40
A12,D,146,8,40
SL101,H,146,0,40
A12,H,146,0,40
SL101,C,146,0,40
A12,D,146,0,40
SL101,D,170,1,40
A12,C,170,7,40
SL101,D,170,26,40
A12,C,170,7,40
SL101,H,170,2,40
SL101,C,170,5,39
A12,H,170,13,40
SL101,D,170,10,41
A12,D,170,1,40
SL101,H,170,14,40
A12,H,170,3,40
SL101,C,170,18,40
A12,C,170,4,40
A12,D,170,13,40
SL101,H,170,1,40
A12,H,170,0,40
SL101,C,170,0,40
A12,D,170,1,40
SL101,D,201,11,40
A12,C,201,21,40
SL101,D,201,32,40
A12,C,201,17,40
SL101,H,201,2,40
SL101,C,201,15,39
A12,H,201,17,40
SL101,D,201,15,41
A12,D,201,2,40
SL101,H,201,26,40
A12,H,201,9,40
SL101,C,201,34,40
A12,C,201,4,40
A12,D,201,26,40
SL101,H,201,12,40
A12,H,201,0,40
SL101,C,201,3,40
A12,D,201,6,40
SL101,D,261,22,40
A12,C,261,30,40
SL101,D,261,32,40
A12,C,261,24,40
SL101,H,261,4,40
SL101,C,261,21,39
A12,H,261,19,40
SL101,D,261,19,41
A12,D,261,2,40
SL101,H,261,29,40
A12,H,261,16,40
SL101,C,261,37,40
A12,C,261,5,40
A12,D,261,31,40
SL101,H,261,15,40
A12,H,261,1,40
SL101,C,261,7,40
A12,D,261,10,40
SL101,D,310,27,40
A12,C,310,33,40
SL101,D,310,37,40
A12,C,310,27,40
SL101,H,310,6,40
SL101,C,310,28,39
A12,H,310,20,40
SL101,D,310,19,41
A12,D,310,2,40
SL101,H,310,29,40
A12,H,310,17,40
SL101,C,310,38,40
A12,C,310,5,40
A12,D,310,31,40
SL101,H,310,16,40
A12,H,310,1,40
SL101,C,310,8,40
A12,D,310,13,40
SL101,D,356,27,40
A12,C,356,33,40
SL101,D,356,37,40
A12,C,356,27,40
SL101,H,356,7,40
SL101,C,356,29,39
A12,H,356,20,40
SL101,D,356,19,41
A12,D,356,2,40
SL101,H,356,29,40
A12,H,356,17,40
SL101,C,356,38,40
A12,C,356,5,40
A12,D,356,31,40
SL101,H,356,16,40
A12,H,356,2,40
SL101,C,356,9,40
A12,D,356,15,40
SL101,D,498,30,40
A12,C,498,35,40
SL101,D,498,37,40
A12,C,498,30,40
SL101,H,498,8,40
SL101,C,498,30,39
A12,H,498,20,40
SL101,D,498,20,41
A12,D,498,2,40
SL101,H,498,31,40
A12,H,498,19,40
SL101,C,498,38,40
A12,C,498,9,40
A12,D,498,35,40
SL101,H,498,21,40
A12,H,498,3,40
SL101,C,498,13,40
A12,D,498,17,40
