genotype,traitement,temps,germination,total
2110,C,0,0,15
2110,D,0,0,15
2110,H,0,0,16
4710,C,0,0,15
4710,D,0,0,14
4710,H,0,0,15
2110,C,0,0,15
2110,D,0,0,15
2110,H,0,0,15
4710,C,0,0,15
4710,D,0,0,15
4710,H,0,0,15
2110,C,0,0,15
2110,D,0,0,15
2110,H,0,0,16
4710,C,0,0,15
4710,D,0,0,15
4710,H,0,0,15
2110,C,21,3,15
2110,D,21,1,15
2110,H,21,7,16
4710,C,21,0,15
4710,D,21,0,14
4710,H,21,0,15
2110,C,21,0,15
2110,D,21,0,15
2110,H,21,6,15
4710,C,21,0,15
4710,D,21,0,15
4710,H,21,0,15
2110,C,21,0,15
2110,D,21,1,15
2110,H,21,1,16
4710,C,21,0,15
4710,D,21,0,15
4710,H,21,0,15
2110,C,45,6,15
2110,D,45,10,15
2110,H,45,12,16
4710,C,45,10,15
4710,D,45,7,14
4710,H,45,14,15
2110,C,45,13,15
2110,D,45,9,15
2110,H,45,13,15
4710,C,45,5,15
4710,D,45,12,15
4710,H,45,11,15
2110,C,45,7,15
2110,D,45,13,15
2110,H,45,11,16
4710,C,45,13,15
4710,D,45,1,15
4710,H,45,10,15
2110,C,66,15,15
2110,D,66,15,15
2110,H,66,13,16
4710,C,66,14,15
4710,D,66,9,14
4710,H,66,15,15
2110,C,66,14,15
2110,D,66,11,15
2110,H,66,14,15
4710,C,66,6,15
4710,D,66,14,15
4710,H,66,14,15
2110,C,66,11,15
2110,D,66,15,15
2110,H,66,11,16
4710,C,66,15,15
4710,D,66,15,15
4710,H,66,11,15
2110,C,90,15,15
2110,D,90,15,15
2110,H,90,13,16
4710,C,90,14,15
4710,D,90,10,14
4710,H,90,15,15
2110,C,90,14,15
2110,D,90,11,15
2110,H,90,14,15
4710,C,90,7,15
4710,D,90,14,15
4710,H,90,14,15
2110,C,90,11,15
2110,D,90,15,15
2110,H,90,13,16
4710,C,90,15,15
4710,D,90,15,15
4710,H,90,14,15
2110,C,97,15,15
2110,D,97,15,15
2110,H,97,13,16
4710,C,97,14,15
4710,D,97,10,14
4710,H,97,15,15
2110,C,97,14,15
2110,D,97,11,15
2110,H,97,14,15
4710,C,97,8,15
4710,D,97,14,15
4710,H,97,14,15
2110,C,97,11,15
2110,D,97,15,15
2110,H,97,14,16
4710,C,97,15,15
4710,D,97,15,15
4710,H,97,14,15
2110,C,114,15,15
2110,D,114,15,15
2110,H,114,13,16
4710,C,114,14,15
4710,D,114,10,14
4710,H,114,15,15
2110,C,114,14,15
2110,D,114,12,15
2110,H,114,14,15
4710,C,114,8,15
4710,D,114,14,15
4710,H,114,14,15
2110,C,114,11,15
2110,D,114,15,15
2110,H,114,14,16
4710,C,114,15,15
4710,D,114,15,15
4710,H,114,14,15
2110,C,121,15,15
2110,D,121,15,15
2110,H,121,14,16
4710,C,121,14,15
4710,D,121,10,14
4710,H,121,15,15
2110,C,121,14,15
2110,D,121,13,15
2110,H,121,14,15
4710,C,121,8,15
4710,D,121,14,15
4710,H,121,14,15
2110,C,121,11,15
2110,D,121,15,15
2110,H,121,14,16
4710,C,121,15,15
4710,D,121,15,15
4710,H,121,14,15
2110,C,138,15,15
2110,D,138,15,15
2110,H,138,14,16
4710,C,138,14,15
4710,D,138,10,14
4710,H,138,15,15
2110,C,138,14,15
2110,D,138,13,15
2110,H,138,14,15
4710,C,138,8,15
4710,D,138,14,15
4710,H,138,14,15
2110,C,138,11,15
2110,D,138,15,15
2110,H,138,14,16
4710,C,138,15,15
4710,D,138,15,15
4710,H,138,14,15
2110,C,146,15,15
2110,D,146,15,15
2110,H,146,14,16
4710,C,146,14,15
4710,D,146,10,14
4710,H,146,15,15
2110,C,146,14,15
2110,D,146,13,15
2110,H,146,14,15
4710,C,146,8,15
4710,D,146,14,15
4710,H,146,14,15
2110,C,146,12,15
2110,D,146,15,15
2110,H,146,14,16
4710,C,146,15,15
4710,D,146,15,15
4710,H,146,14,15
