genotype,traitement,temps,germination,total
2110,C,0,0,40
2110,D,0,0,40
2110,H,0,0,40
4710,C,0,0,40
4710,D,0,0,40
4710,H,0,0,40
2110,C,0,0,40
2110,D,0,0,40
2110,H,0,0,40
4710,C,0,0,40
4710,D,0,0,40
4710,H,0,0,38
2110,C,0,0,40
2110,D,0,0,40
2110,H,0,0,40
4710,C,0,0,40
4710,D,0,0,40
4710,H,0,0,40
2110,C,22,3,40
2110,D,22,1,40
2110,H,22,7,40
4710,C,22,0,40
4710,D,22,0,40
4710,H,22,0,40
2110,C,22,0,40
2110,D,22,0,40
2110,H,22,6,40
4710,C,22,0,40
4710,D,22,0,40
4710,H,22,0,38
2110,C,22,0,40
2110,D,22,1,40
2110,H,22,1,40
4710,C,22,0,40
4710,D,22,0,40
4710,H,22,0,40
2110,C,30,24,40
2110,D,30,14,40
2110,H,30,33,40
4710,C,30,0,40
4710,D,30,0,40
4710,H,30,0,40
2110,C,30,2,40
2110,D,30,6,40
2110,H,30,32,40
4710,C,30,1,40
4710,D,30,0,40
4710,H,30,0,38
2110,C,30,8,40
2110,D,30,17,40
2110,H,30,9,40
4710,C,30,0,40
4710,D,30,1,40
4710,H,30,0,40
2110,C,35,36,40
2110,D,35,25,40
2110,H,35,33,40
4710,C,35,0,40
4710,D,35,0,40
4710,H,35,0,40
2110,C,35,10,40
2110,D,35,14,40
2110,H,35,34,40
4710,C,35,1,40
4710,D,35,0,40
4710,H,35,0,38
2110,C,35,8,40
2110,D,35,17,40
2110,H,35,9,40
4710,C,35,0,40
4710,D,35,1,40
4710,H,35,0,40
2110,C,46,40,40
2110,D,46,38,40
2110,H,46,40,40
4710,C,46,6,40
4710,D,46,3,40
4710,H,46,2,40
2110,C,46,31,40
2110,D,46,33,40
2110,H,46,38,40
4710,C,46,1,40
4710,D,46,3,40
4710,H,46,3,38
2110,C,46,25,40
2110,D,46,39,40
2110,H,46,34,40
4710,C,46,0,40
4710,D,46,7,40
4710,H,46,0,40
2110,C,52,40,40
2110,D,52,38,40
2110,H,52,40,40
4710,C,52,11,40
4710,D,52,7,40
4710,H,52,3,40
2110,C,52,37,40
2110,D,52,36,40
2110,H,52,40,40
4710,C,52,1,40
4710,D,52,13,40
4710,H,52,4,38
2110,C,52,33,40
2110,D,52,49,40
2110,H,52,37,40
4710,C,52,1,40
4710,D,52,15,40
4710,H,52,2,40
2110,C,72,40,40
2110,D,72,38,40
2110,H,72,40,40
4710,C,72,22,40
4710,D,72,24,40
4710,H,72,14,40
2110,C,72,40,40
2110,D,72,39,40
2110,H,72,40,40
4710,C,72,4,40
4710,D,72,34,40
4710,H,72,16,38
2110,C,72,39,40
2110,D,72,40,40
2110,H,72,38,40
4710,C,72,4,40
4710,D,72,28,40
4710,H,72,11,40
2110,C,79,40,40
2110,D,79,38,40
2110,H,79,40,40
4710,C,79,22,40
4710,D,79,27,40
4710,H,79,15,40
2110,C,79,40,40
2110,D,79,39,40
2110,H,79,40,40
4710,C,79,4,40
4710,D,79,34,40
4710,H,79,18,38
2110,C,79,39,40
2110,D,79,40,40
2110,H,79,38,40
4710,C,79,5,40
4710,D,79,30,40
4710,H,79,11,40
2110,C,95,40,40
2110,D,95,38,40
2110,H,95,40,40
4710,C,95,36,40
4710,D,95,33,40
4710,H,95,35,40
2110,C,95,40,40
2110,D,95,39,40
2110,H,95,40,40
4710,C,95,17,40
4710,D,95,36,40
4710,H,95,34,38
2110,C,95,39,40
2110,D,95,40,40
2110,H,95,39,40
4710,C,95,16,40
4710,D,95,33,40
4710,H,95,30,40
2110,C,126,40,40
2110,D,126,38,40
2110,H,126,40,40
4710,C,126,38,40
4710,D,126,37,40
4710,H,126,37,40
2110,C,126,40,40
2110,D,126,40,40
2110,H,126,40,40
4710,C,126,23,40
4710,D,126,39,40
4710,H,126,35,38
2110,C,126,39,40
2110,D,126,40,40
2110,H,126,40,40
4710,C,126,27,40
4710,D,126,38,40
4710,H,126,37,40
2110,C,180,40,40
2110,D,180,38,40
2110,H,180,40,40
4710,C,180,40,40
4710,D,180,39,40
4710,H,180,39,40
2110,C,180,40,40
2110,D,180,40,40
2110,H,180,40,40
4710,C,180,34,40
4710,D,180,39,40
4710,H,180,35,38
2110,C,180,39,40
2110,D,180,40,40
2110,H,180,40,40
4710,C,180,32,40
4710,D,180,38,40
4710,H,180,40,40
