genotype,repetition,time,germinated,total
B,1,0,0,25
B,2,0,0,25
B,3,0,0,25
Bs,1,0,0,25
Bs,2,0,0,25
Bs,3,0,0,25
C,1,0,0,25
C,2,0,0,25
C,3,0,0,25
Cs,1,0,0,25
Cs,2,0,0,25
Cs,3,0,0,25
B,1,24,0,25
B,2,24,0,25
B,3,24,0,25
Bs,1,24,0,25
Bs,2,24,0,25
Bs,3,24,0,25
C,1,24,0,25
C,2,24,0,25
C,3,24,0,25
Cs,1,24,0,25
Cs,2,24,0,25
Cs,3,24,0,25
B,1,48,0,25
B,2,48,0,25
B,3,48,0,25
Bs,1,48,0,25
Bs,2,48,0,25
Bs,3,48,0,25
C,1,48,0,25
C,2,48,0,25
C,3,48,0,25
Cs,1,48,0,25
Cs,2,48,0,25
Cs,3,48,0,25
B,1,72,0,25
B,2,72,0,25
B,3,72,0,25
Bs,1,72,0,25
Bs,2,72,0,25
Bs,3,72,0,25
C,1,72,0,25
C,2,72,0,25
C,3,72,0,25
Cs,1,72,0,25
Cs,2,72,0,25
Cs,3,72,0,25
B,1,96,1,25
B,2,96,0,25
B,3,96,0,25
Bs,1,96,0,25
Bs,2,96,0,25
Bs,3,96,2,25
C,1,96,2,25
C,2,96,3,25
C,3,96,2,25
Cs,1,96,0,25
Cs,2,96,0,25
Cs,3,96,0,25
B,1,120,2,25
B,2,120,1,25
B,3,120,1,25
Bs,1,120,9,25
Bs,2,120,2,25
Bs,3,120,5,25
C,1,120,4,25
C,2,120,7,25
C,3,120,1,25
Cs,1,120,5,25
Cs,2,120,3,25
Cs,3,120,1,25
B,1,144,3,25
B,2,144,6,25
B,3,144,2,25
Bs,1,144,11,25
Bs,2,144,8,25
Bs,3,144,7,25
C,1,144,8,25
C,2,144,9,25
C,3,144,4,25
Cs,1,144,7,25
Cs,2,144,7,25
Cs,3,144,4,25
B,1,168,4,25
B,2,168,8,25
B,3,168,3,25
Bs,1,168,14,25
Bs,2,168,11,25
Bs,3,168,10,25
C,1,168,9,25
C,2,168,9,25
C,3,168,6,25
Cs,1,168,9,25
Cs,2,168,7,25
Cs,3,168,6,25
B,1,192,4,25
B,2,192,9,25
B,3,192,3,25
Bs,1,192,15,25
Bs,2,192,12,25
Bs,3,192,10,25
C,1,192,9,25
C,2,192,9,25
C,3,192,6,25
Cs,1,192,10,25
Cs,2,192,7,25
Cs,3,192,7,25
B,1,216,4,25
B,2,216,9,25
B,3,216,5,25
Bs,1,216,17,25
Bs,2,216,12,25
Bs,3,216,12,25
C,1,216,9,25
C,2,216,9,25
C,3,216,7,25
Cs,1,216,10,25
Cs,2,216,7,25
Cs,3,216,7,25
B,1,240,4,25
B,2,240,9,25
B,3,240,5,25
Bs,1,240,18,25
Bs,2,240,12,25
Bs,3,240,12,25
C,1,240,10,25
C,2,240,9,25
C,3,240,8,25
Cs,1,240,10,25
Cs,2,240,8,25
Cs,3,240,7,25
