"genotype","treatment","temps","germination","se"
"1","B","yes",0,0,0
"2","Bs","yes",0,0,0
"3","C","yes",0,0,0
"4","Cs","yes",0,0,0
"5","B","yes",24,0,0
"6","Bs","yes",24,0,0
"7","C","yes",24,0,0
"8","Cs","yes",24,0,0
"9","B","yes",48,0,0
"10","Bs","yes",48,0,0
"11","C","yes",48,0,0
"12","Cs","yes",48,0,0
"13","B","yes",72,0,0
"14","Bs","yes",72,0,0
"15","C","yes",72,0,0
"16","Cs","yes",72,0,0
"17","B","yes",96,1.33333333333333,1.33333333333333
"18","Bs","yes",96,2.66666666666667,2.66666666666667
"19","C","yes",96,9.33333333333333,1.33333333333333
"20","Cs","yes",96,0,0
"21","B","yes",120,5.33333333333333,1.33333333333333
"22","Bs","yes",120,21.3333333333333,8.11035004039763
"23","C","yes",120,16,6.92820323027551
"24","Cs","yes",120,12,4.61880215351701
"25","B","yes",144,14.6666666666667,4.80740170061865
"26","Bs","yes",144,34.6666666666667,4.80740170061865
"27","C","yes",144,28,6.11010092660779
"28","Cs","yes",144,24,4
"29","B","yes",168,20,6.11010092660779
"30","Bs","yes",168,46.6666666666667,4.80740170061865
"31","C","yes",168,32,4
"32","Cs","yes",168,29.3333333333333,3.52766841475279
"33","B","yes",192,21.3333333333333,7.4236858171067
"34","Bs","yes",192,49.3333333333333,5.81186525805423
"35","C","yes",192,32,4
"36","Cs","yes",192,32,4
"37","B","yes",216,24,6.11010092660779
"38","Bs","yes",216,54.6666666666667,6.66666666666667
"39","C","yes",216,33.3333333333333,2.66666666666667
"40","Cs","yes",216,32,4
"41","B","yes",240,24,6.11010092660779
"42","Bs","yes",240,56,8
"43","C","yes",240,36,2.3094010767585
"44","Cs","yes",240,33.3333333333333,3.52766841475279
