genotype,temperature,3days,7days,total
WT,25,1,10,65
WT,25,5,5,57
WT,25,4,4,63
nqr,25,4,27,97
nqr,25,2,5,99
nqr,25,19,25,79
fqr1,25,2,38,64
fqr1,25,2,10,82
fqr1,25,5,9,55
nqrfqr1,25,1,14,60
nqrfqr1,25,3,12,80
nqrfqr1,25,3,7,75
WT,20,46,67,74
WT,20,33,47,56
WT,20,46,60,70
nqr,20,43,47,51
nqr,20,63,72,74
nqr,20,45,50,51
fqr1,20,58,71,77
fqr1,20,45,60,66
fqr1,20,51,55,59
nqrfqr1,20,35,49,54
nqrfqr1,20,51,61,70
nqrfqr1,20,52,71,77
WT,15,76,95,98
WT,15,61,86,95
WT,15,77,120,125
nqr,15,64,69,70
nqr,15,55,76,79
nqr,15,77,102,103
fqr1,15,63,68,70
fqr1,15,63,78,79
fqr1,15,73,90,93
nqrfqr1,15,70,87,88
nqrfqr1,15,43,67,71
nqrfqr1,15,50,95,96
WT,10,0,91,92
WT,10,0,73,79
WT,10,0,54,54
nqr,10,0,72,73
nqr,10,0,71,72
nqr,10,0,57,58
fqr1,10,0,66,68
fqr1,10,0,84,84
fqr1,10,0,65,67
nqrfqr1,10,0,56,60
nqrfqr1,10,0,49,52
nqrfqr1,10,0,108,116
WT,5,0,2,75
WT,5,0,7,83
WT,5,0,6,88
WT,5,0,4,75
WT,5,0,4,67
WT,5,0,2,61
nqr,5,0,11,61
nqr,5,0,20,66
nqr,5,0,2,76
nqr,5,0,9,79
nqr,5,0,4,73
nqr,5,0,3,72
fqr1,5,0,8,61
fqr1,5,0,7,54
fqr1,5,0,5,65
fqr1,5,0,5,64
fqr1,5,0,4,73
fqr1,5,0,3,70
nqrfqr1,5,0,13,75
nqrfqr1,5,0,11,68
nqrfqr1,5,0,7,75
nqrfqr1,5,0,9,69
nqrfqr1,5,0,1,90
nqrfqr1,5,0,4,121
