genotype,traitement,repetition,germination
WT,eau,1,54.8
WT,eau,2,50.8
nqr,eau,1,71.2
nqr,eau,2,54.8
fqr1,eau,1,67.7
fqr1,eau,2,54.7
fqr4,eau,1,39.7
fqr4,eau,2,59
fqr1fqr4,eau,1,61.8
fqr1fqr4,eau,2,61.3
nqrfqr1,eau,1,44.4
nqrfqr1,eau,2,51.6
fqr2,eau,1,60.3
fqr2,eau,2,67.9
fqr1fqr2,eau,1,40.7
fqr1fqr2,eau,2,55.4
WT,MN,1,70.3
WT,MN,2,77.8
nqr,MN,1,90.8
nqr,MN,2,92.3
fqr1,MN,1,78.1
fqr1,MN,2,81.8
fqr4,MN,1,54.7
fqr4,MN,2,57.6
fqr1fqr4,MN,1,72.6
fqr1fqr4,MN,2,79.4
nqrfqr1,MN,1,74.6
nqrfqr1,MN,2,70.5
fqr2,MN,1,80.6
fqr2,MN,2,85.2
fqr1fqr2,MN,1,73.8
fqr1fqr2,MN,2,83.9
WT,MV,1,46.8
WT,MV,2,54.2
nqr,MV,1,74.6
nqr,MV,2,71.9
fqr1,MV,1,83.6
fqr1,MV,2,65.2
fqr4,MV,1,54.8
fqr4,MV,2,48.5
fqr1fqr4,MV,1,66.6
fqr1fqr4,MV,2,61.5
nqrfqr1,MV,1,43.6
nqrfqr1,MV,2,50
fqr2,MV,1,54
fqr2,MV,2,62.9
fqr1fqr2,MV,1,58.1
fqr1fqr2,MV,2,72.6
WT,H2O2,1,46.8
WT,H2O2,2,43.6
nqr,H2O2,1,61.9
nqr,H2O2,2,67.2
fqr1,H2O2,1,68.8
fqr1,H2O2,2,57.8
fqr4,H2O2,1,40.3
fqr4,H2O2,2,41.9
fqr1fqr4,H2O2,1,37.8
fqr1fqr4,H2O2,2,36.2
nqrfqr1,H2O2,1,32.8
nqrfqr1,H2O2,2,34.5
fqr2,H2O2,1,49.3
fqr2,H2O2,2,46.4
fqr1fqr2,H2O2,1,50
fqr1fqr2,H2O2,2,27
