genotype,temperature,3days,7days,total
WT,25,28,47,56
WT,25,25,44,56
WT,25,30,52,62
nqr,25,33,44,64
nqr,25,39,55,70
nqr,25,20,47,65
air12,25,32,59,72
air12,25,24,45,68
air12,25,12,40,63
nqrair12,25,38,66,98
nqrair12,25,29,50,70
nqrair12,25,22,61,84
WT,20,41,50,57
WT,20,48,59,63
WT,20,53,62,64
nqr,20,31,42,53
nqr,20,79,91,99
nqr,20,99,107,116
air12,20,31,53,66
air12,20,35,52,60
air12,20,37,64,77
nqrair12,20,55,78,88
nqrair12,20,54,63,69
nqrair12,20,57,70,73
WT,15,6,75,75
WT,15,6,63,66
WT,15,11,64,65
nqr,15,12,55,57
nqr,15,14,52,53
nqr,15,18,89,92
air12,15,10,65,65
air12,15,1,61,65
air12,15,5,78,81
nqrair12,15,7,71,75
nqrair12,15,13,77,79
nqrair12,15,7,40,43
WT,10,1,37,50
WT,10,0,61,76
WT,10,0,46,55
nqr,10,0,57,63
nqr,10,0,46,60
nqr,10,1,54,66
air12,10,0,54,75
air12,10,0,51,75
air12,10,0,41,59
nqrair12,10,0,43,51
nqrair12,10,0,61,70
nqrair12,10,0,58,78
WT,5,0,0,1
WT,5,0,0,1
WT,5,0,0,1
WT,5,0,0,1
WT,5,0,0,1
WT,5,0,0,1
nqr,5,0,0,1
nqr,5,0,0,1
nqr,5,0,0,1
nqr,5,0,0,1
nqr,5,0,0,1
nqr,5,0,0,1
air12,5,0,0,1
air12,5,0,0,1
air12,5,0,0,1
air12,5,0,0,1
air12,5,0,0,1
air12,5,0,0,1
nqrair12,5,0,0,1
nqrair12,5,0,0,1
nqrair12,5,0,0,1
nqrair12,5,0,0,1
nqrair12,5,0,0,1
nqrair12,5,0,0,1
