genotype,fluo,stress,parametre
WT,0.755,control,FvFm
WT,0.733,control,FvFm
WT,0.749,control,FvFm
WT,0.726,control,FvFm
WT,0.734,control,FvFm
nqr,0.7,control,FvFm
nqr,0.697,control,FvFm
nqr,0.67,control,FvFm
nqr,0.67,control,FvFm
nqr,0.687,control,FvFm
fqr1,0.733,control,FvFm
fqr1,0.714,control,FvFm
fqr1,0.722,control,FvFm
fqr1,0.703,control,FvFm
fqr1,0.684,control,FvFm
nqrfqr1,0.662,control,FvFm
nqrfqr1,0.674,control,FvFm
nqrfqr1,0.696,control,FvFm
nqrfqr1,0.683,control,FvFm
nqrfqr1,0.706,control,FvFm
WT,0.604,chaud,FvFm
WT,0.602,chaud,FvFm
WT,0.607,chaud,FvFm
WT,0.575,chaud,FvFm
WT,0.593,chaud,FvFm
nqr,0.599,chaud,FvFm
nqr,0.602,chaud,FvFm
nqr,0.615,chaud,FvFm
nqr,0.652,chaud,FvFm
nqr,0.614,chaud,FvFm
fqr1,0.618,chaud,FvFm
fqr1,0.574,chaud,FvFm
fqr1,0.596,chaud,FvFm
fqr1,0.641,chaud,FvFm
fqr1,0.578,chaud,FvFm
nqrfqr1,0.604,chaud,FvFm
nqrfqr1,0.563,chaud,FvFm
nqrfqr1,0.626,chaud,FvFm
nqrfqr1,0.578,chaud,FvFm
nqrfqr1,0.584,chaud,FvFm
nqrfqr1,0.602,chaud,FvFm
nqrfqr1,0.598,chaud,FvFm
WT,0.699,froid,FvFm
WT,0.686,froid,FvFm
WT,0.726,froid,FvFm
WT,0.711,froid,FvFm
nqr,0.725,froid,FvFm
nqr,0.676,froid,FvFm
nqr,0.694,froid,FvFm
nqr,0.704,froid,FvFm
nqr,0.697,froid,FvFm
fqr1,0.68,froid,FvFm
fqr1,0.653,froid,FvFm
fqr1,0.704,froid,FvFm
fqr1,0.632,froid,FvFm
fqr1,0.642,froid,FvFm
nqrfqr1,0.702,froid,FvFm
nqrfqr1,0.667,froid,FvFm
nqrfqr1,0.685,froid,FvFm
nqrfqr1,0.643,froid,FvFm
nqrfqr1,0.63,froid,FvFm
