temps,genotype,fluo,stress
0,WT,0.658,control
42,WT,0,control
62,WT,0,control
82,WT,0.031,control
102,WT,0.077,control
123,WT,0.117,control
143,WT,0.154,control
163,WT,0.19,control
183,WT,0.227,control
204,WT,0.242,control
224,WT,0.268,control
244,WT,0.281,control
264,WT,0.281,control
285,WT,0.289,control
305,WT,0.295,control
325,WT,0.441,control
340,WT,0.447,control
352,WT,0.468,control
366,WT,0.49,control
383,WT,0.515,control
403,WT,0.532,control
428,WT,0.552,control
457,WT,0.566,control
493,WT,0.583,control
534,WT,0.591,control
584,WT,0.602,control
644,WT,0.609,control
716,WT,0.615,control
802,WT,0.62,control
905,WT,0.62,control
0,WT,0.62,control
42,WT,0,control
62,WT,0,control
82,WT,0.056,control
102,WT,0.091,control
123,WT,0.12,control
143,WT,0.148,control
163,WT,0.164,control
183,WT,0.181,control
204,WT,0.189,control
224,WT,0.201,control
244,WT,0.201,control
264,WT,0.209,control
285,WT,0.214,control
305,WT,0.215,control
325,WT,0.363,control
340,WT,0.385,control
352,WT,0.407,control
366,WT,0.438,control
383,WT,0.458,control
403,WT,0.481,control
428,WT,0.502,control
457,WT,0.514,control
493,WT,0.533,control
534,WT,0.546,control
584,WT,0.553,control
644,WT,0.563,control
716,WT,0.571,control
802,WT,0.575,control
905,WT,0.57,control
0,WT,0.547,control
42,WT,0,control
62,WT,0,control
82,WT,0,control
102,WT,0,control
123,WT,0.056,control
143,WT,0.066,control
163,WT,0.08,control
183,WT,0.098,control
204,WT,0.093,control
224,WT,0.107,control
244,WT,0.108,control
264,WT,0.118,control
285,WT,0.114,control
305,WT,0.119,control
325,WT,0.244,control
340,WT,0.288,control
352,WT,0.318,control
366,WT,0.339,control
383,WT,0.358,control
403,WT,0.38,control
428,WT,0.398,control
457,WT,0.416,control
493,WT,0.436,control
534,WT,0.45,control
584,WT,0.464,control
644,WT,0.477,control
716,WT,0.487,control
802,WT,0.496,control
905,WT,0.5,control
0,WT,0.539,control
42,WT,0,control
62,WT,0,control
82,WT,0,control
102,WT,0.043,control
123,WT,0.059,control
143,WT,0.078,control
163,WT,0.093,control
183,WT,0.107,control
204,WT,0.112,control
224,WT,0.117,control
244,WT,0.118,control
264,WT,0.132,control
285,WT,0.128,control
305,WT,0.133,control
325,WT,0.267,control
340,WT,0.29,control
352,WT,0.31,control
366,WT,0.344,control
383,WT,0.362,control
403,WT,0.378,control
428,WT,0.399,control
457,WT,0.418,control
493,WT,0.433,control
534,WT,0.447,control
584,WT,0.455,control
644,WT,0.465,control
716,WT,0.474,control
802,WT,0.482,control
905,WT,0.48,control
0,nqr,0.636,control
42,nqr,0,control
62,nqr,0,control
82,nqr,0.078,control
102,nqr,0.108,control
123,nqr,0.151,control
143,nqr,0.185,control
163,nqr,0.21,control
183,nqr,0.228,control
204,nqr,0.241,control
224,nqr,0.248,control
244,nqr,0.252,control
264,nqr,0.255,control
285,nqr,0.264,control
305,nqr,0.259,control
325,nqr,0.397,control
340,nqr,0.412,control
352,nqr,0.435,control
366,nqr,0.457,control
383,nqr,0.475,control
403,nqr,0.493,control
428,nqr,0.512,control
457,nqr,0.53,control
493,nqr,0.544,control
534,nqr,0.557,control
584,nqr,0.569,control
644,nqr,0.575,control
716,nqr,0.586,control
802,nqr,0.591,control
905,nqr,0.598,control
0,nqr,0.58,control
42,nqr,0,control
62,nqr,0,control
82,nqr,0,control
102,nqr,0.048,control
123,nqr,0.076,control
143,nqr,0.077,control
163,nqr,0.088,control
183,nqr,0.094,control
204,nqr,0.101,control
224,nqr,0.106,control
244,nqr,0.107,control
264,nqr,0.113,control
285,nqr,0.119,control
305,nqr,0.124,control
325,nqr,0.258,control
340,nqr,0.313,control
352,nqr,0.344,control
366,nqr,0.378,control
383,nqr,0.397,control
403,nqr,0.416,control
428,nqr,0.44,control
457,nqr,0.462,control
493,nqr,0.474,control
534,nqr,0.487,control
584,nqr,0.502,control
644,nqr,0.517,control
716,nqr,0.529,control
802,nqr,0.539,control
905,nqr,0.543,control
0,nqr,0.616,control
42,nqr,0,control
62,nqr,0,control
82,nqr,0,control
102,nqr,0.063,control
123,nqr,0.087,control
143,nqr,0.12,control
163,nqr,0.141,control
183,nqr,0.157,control
204,nqr,0.171,control
224,nqr,0.182,control
244,nqr,0.187,control
264,nqr,0.197,control
