"","genotype","stress","parametre","moyenne","se"
"1","fqr1","chaud","qN",0.823,0.013
"2","nqr","chaud","qN",0.817,0.017
"3","nqrfqr1","chaud","qN",0.837,0.009
"4","WT","chaud","qN",0.838,0.007
"5","fqr1","control","qN",0.696,0.013
"6","nqr","control","qN",0.747,0.014
"7","nqrfqr1","control","qN",0.688,0.021
"8","WT","control","qN",0.722,0.009
"9","fqr1","froid","qN",0.78,0.015
"10","nqr","froid","qN",0.775,0.011
"11","nqrfqr1","froid","qN",0.794,0.017
"12","WT","froid","qN",0.762,0.011
"13","fqr1","chaud","qP",0.445,0.031
"14","nqr","chaud","qP",0.44,0.015
"15","nqrfqr1","chaud","qP",0.384,0.012
"16","WT","chaud","qP",0.45,0.02
"17","fqr1","control","qP",0.347,0.02
"18","nqr","control","qP",0.364,0.007
"19","nqrfqr1","control","qP",0.286,0.008
"20","WT","control","qP",0.439,0.017
"21","fqr1","froid","qP",0.528,0.019
"22","nqr","froid","qP",0.493,0.025
"23","nqrfqr1","froid","qP",0.528,0.018
"24","WT","froid","qP",0.576,0.009
"25","fqr1","chaud","FvFm",0.601,0.013
"26","nqr","chaud","FvFm",0.616,0.009
"27","nqrfqr1","chaud","FvFm",0.594,0.008
"28","WT","chaud","FvFm",0.596,0.006
"29","fqr1","control","FvFm",0.711,0.008
"30","nqr","control","FvFm",0.685,0.006
"31","nqrfqr1","control","FvFm",0.684,0.008
"32","WT","control","FvFm",0.739,0.005
"33","fqr1","froid","FvFm",0.662,0.013
"34","nqr","froid","FvFm",0.699,0.008
"35","nqrfqr1","froid","FvFm",0.665,0.013
"36","WT","froid","FvFm",0.706,0.009
