temps,genotype,fluo,stress
0,WT,0,control
42,WT,0,control
62,WT,0.2,control
82,WT,0.282,control
102,WT,0.322,control
123,WT,0.337,control
143,WT,0.333,control
163,WT,0.318,control
183,WT,0.298,control
204,WT,0.286,control
224,WT,0.271,control
244,WT,0.263,control
264,WT,0.263,control
285,WT,0.259,control
305,WT,0.259,control
325,WT,0.196,control
340,WT,0.173,control
352,WT,0.153,control
366,WT,0.133,control
383,WT,0.118,control
403,WT,0.11,control
428,WT,0.102,control
457,WT,0.098,control
493,WT,0.094,control
534,WT,0.09,control
584,WT,0.09,control
644,WT,0.086,control
716,WT,0.082,control
802,WT,0.075,control
905,WT,0.063,control
0,WT,0,control
42,WT,0,control
62,WT,0.176,control
82,WT,0.247,control
102,WT,0.259,control
123,WT,0.263,control
143,WT,0.259,control
163,WT,0.251,control
183,WT,0.243,control
204,WT,0.239,control
224,WT,0.235,control
244,WT,0.235,control
264,WT,0.235,control
285,WT,0.235,control
305,WT,0.235,control
325,WT,0.184,control
340,WT,0.157,control
352,WT,0.137,control
366,WT,0.122,control
383,WT,0.106,control
403,WT,0.09,control
428,WT,0.082,control
457,WT,0.075,control
493,WT,0.071,control
534,WT,0.067,control
584,WT,0.067,control
644,WT,0.063,control
716,WT,0.059,control
802,WT,0.059,control
905,WT,0.055,control
0,WT,0,control
42,WT,0,control
62,WT,0.157,control
82,WT,0.231,control
102,WT,0.247,control
123,WT,0.243,control
143,WT,0.247,control
163,WT,0.247,control
183,WT,0.239,control
204,WT,0.243,control
224,WT,0.243,control
244,WT,0.247,control
264,WT,0.247,control
285,WT,0.251,control
305,WT,0.251,control
325,WT,0.192,control
340,WT,0.157,control
352,WT,0.133,control
366,WT,0.118,control
383,WT,0.106,control
403,WT,0.094,control
428,WT,0.086,control
457,WT,0.078,control
493,WT,0.075,control
534,WT,0.067,control
584,WT,0.063,control
644,WT,0.059,control
716,WT,0.055,control
802,WT,0.047,control
905,WT,0.043,control
0,WT,0,control
42,WT,0,control
62,WT,0.129,control
82,WT,0.18,control
102,WT,0.196,control
123,WT,0.204,control
143,WT,0.204,control
163,WT,0.204,control
183,WT,0.204,control
204,WT,0.204,control
224,WT,0.204,control
244,WT,0.208,control
264,WT,0.208,control
285,WT,0.208,control
305,WT,0.208,control
325,WT,0.165,control
340,WT,0.141,control
352,WT,0.125,control
366,WT,0.11,control
383,WT,0.098,control
403,WT,0.09,control
428,WT,0.078,control
457,WT,0.075,control
493,WT,0.071,control
534,WT,0.067,control
584,WT,0.063,control
644,WT,0.063,control
716,WT,0.059,control
802,WT,0.055,control
905,WT,0.047,control
0,nqr,0,control
42,nqr,0,control
62,nqr,0.216,control
82,nqr,0.278,control
