genotype,fluo,stress,parametre
WT,0.706,control,qN
WT,0.733,control,qN
WT,0.753,control,qN
WT,0.702,control,qN
WT,0.718,control,qN
nqr,0.765,control,qN
nqr,0.776,control,qN
nqr,0.71,control,qN
nqr,0.765,control,qN
nqr,0.718,control,qN
fqr1,0.725,control,qN
fqr1,0.69,control,qN
fqr1,0.729,control,qN
fqr1,0.675,control,qN
fqr1,0.663,control,qN
nqrfqr1,0.765,control,qN
nqrfqr1,0.667,control,qN
nqrfqr1,0.665,control,qN
nqrfqr1,0.698,control,qN
nqrfqr1,0.647,control,qN
WT,0.824,chaud,qN
WT,0.847,chaud,qN
WT,0.831,chaud,qN
WT,0.827,chaud,qN
WT,0.863,chaud,qN
nqr,0.871,chaud,qN
nqr,0.816,chaud,qN
nqr,0.788,chaud,qN
nqr,0.776,chaud,qN
nqr,0.835,chaud,qN
fqr1,0.796,chaud,qN
fqr1,0.855,chaud,qN
fqr1,0.8,chaud,qN
fqr1,0.808,chaud,qN
fqr1,0.855,chaud,qN
nqrfqr1,0.824,chaud,qN
nqrfqr1,0.804,chaud,qN
nqrfqr1,0.847,chaud,qN
nqrfqr1,0.863,chaud,qN
nqrfqr1,0.831,chaud,qN
nqrfqr1,0.851,chaud,qN
WT,0.78,froid,qN
WT,0.78,froid,qN
WT,0.733,froid,qN
WT,0.753,froid,qN
nqr,0.784,froid,qN
nqr,0.808,froid,qN
nqr,0.78,froid,qN
nqr,0.741,froid,qN
nqr,0.761,froid,qN
fqr1,0.761,froid,qN
fqr1,0.804,froid,qN
fqr1,0.769,froid,qN
fqr1,0.741,froid,qN
fqr1,0.827,froid,qN
nqrfqr1,0.784,froid,qN
nqrfqr1,0.745,froid,qN
nqrfqr1,0.784,froid,qN
nqrfqr1,0.808,froid,qN
nqrfqr1,0.851,froid,qN
