genotype,fluo,stress,parametre
WT,0.459,control,qP
WT,0.427,control,qP
WT,0.38,control,qP
WT,0.478,control,qP
WT,0.451,control,qP
nqr,0.369,control,qP
nqr,0.337,control,qP
nqr,0.38,control,qP
nqr,0.371,control,qP
nqr,0.361,control,qP
fqr1,0.4,control,qP
fqr1,0.361,control,qP
fqr1,0.353,control,qP
fqr1,0.345,control,qP
fqr1,0.275,control,qP
nqrfqr1,0.306,control,qP
nqrfqr1,0.282,control,qP
nqrfqr1,0.263,control,qP
nqrfqr1,0.301,control,qP
nqrfqr1,0.277,control,qP
WT,0.518,chaud,qP
WT,0.467,chaud,qP
WT,0.42,chaud,qP
WT,0.439,chaud,qP
WT,0.404,chaud,qP
nqr,0.475,chaud,qP
nqr,0.443,chaud,qP
nqr,0.412,chaud,qP
nqr,0.4,chaud,qP
nqr,0.471,chaud,qP
fqr1,0.459,chaud,qP
fqr1,0.553,chaud,qP
fqr1,0.427,chaud,qP
fqr1,0.416,chaud,qP
fqr1,0.369,chaud,qP
nqrfqr1,0.416,chaud,qP
nqrfqr1,0.373,chaud,qP
nqrfqr1,0.361,chaud,qP
nqrfqr1,0.384,chaud,qP
WT,0.596,froid,qP
WT,0.588,froid,qP
WT,0.561,froid,qP
WT,0.561,froid,qP
nqr,0.616,froid,qP
nqr,0.482,froid,qP
nqr,0.459,froid,qP
nqr,0.463,froid,qP
nqr,0.481,froid,qP
nqr,0.457,froid,qP
fqr1,0.561,froid,qP
fqr1,0.553,froid,qP
fqr1,0.467,froid,qP
fqr1,0.557,froid,qP
fqr1,0.502,froid,qP
nqrfqr1,0.471,froid,qP
nqrfqr1,0.553,froid,qP
nqrfqr1,0.502,froid,qP
nqrfqr1,0.545,froid,qP
nqrfqr1,0.569,froid,qP
