temps,genotype,fluo,stress
0,WT,1,control
42,WT,0,control
62,WT,0,control
82,WT,0,control
102,WT,0.169,control
123,WT,0.259,control
143,WT,0.341,control
163,WT,0.416,control
183,WT,0.486,control
204,WT,0.514,control
224,WT,0.557,control
244,WT,0.58,control
264,WT,0.58,control
285,WT,0.596,control
305,WT,0.608,control
325,WT,0.851,control
340,WT,0.839,control
352,WT,0.859,control
366,WT,0.882,control
383,WT,0.91,control
403,WT,0.929,control
428,WT,0.953,control
457,WT,0.973,control
493,WT,1,control
534,WT,1,control
584,WT,1,control
644,WT,1,control
716,WT,1,control
802,WT,1,control
905,WT,1,control
0,WT,1,control
42,WT,0,control
62,WT,0,control
82,WT,0,control
102,WT,0.204,control
123,WT,0.271,control
143,WT,0.333,control
163,WT,0.365,control
183,WT,0.4,control
204,WT,0.416,control
224,WT,0.439,control
244,WT,0.439,control
264,WT,0.459,control
285,WT,0.467,control
305,WT,0.471,control
325,WT,0.749,control
340,WT,0.769,control
352,WT,0.796,control
366,WT,0.835,control
383,WT,0.859,control
403,WT,0.882,control
428,WT,0.91,control
457,WT,0.925,control
493,WT,0.953,control
534,WT,0.973,control
584,WT,0.98,control
644,WT,0.996,control
716,WT,1,control
802,WT,1,control
905,WT,1,control
0,WT,1,control
42,WT,0,control
62,WT,0,control
82,WT,0,control
102,WT,0,control
123,WT,0,control
143,WT,0,control
163,WT,0.212,control
183,WT,0.255,control
204,WT,0.247,control
224,WT,0.282,control
244,WT,0.286,control
264,WT,0.314,control
285,WT,0.302,control
305,WT,0.318,control
325,WT,0.6,control
340,WT,0.675,control
352,WT,0.722,control
366,WT,0.753,control
383,WT,0.78,control
403,WT,0.816,control
428,WT,0.839,control
457,WT,0.871,control
493,WT,0.902,control
534,WT,0.922,control
584,WT,0.945,control
644,WT,0.965,control
716,WT,0.976,control
802,WT,0.984,control
905,WT,0.996,control
0,WT,1,control
42,WT,0,control
62,WT,0,control
82,WT,0,control
102,WT,0,control
123,WT,0,control
143,WT,0,control
163,WT,0.235,control
183,WT,0.271,control
204,WT,0.286,control
224,WT,0.298,control
244,WT,0.302,control
264,WT,0.341,control
285,WT,0.329,control
305,WT,0.341,control
325,WT,0.643,control
340,WT,0.678,control
352,WT,0.71,control
366,WT,0.769,control
383,WT,0.792,control
403,WT,0.816,control
428,WT,0.851,control
457,WT,0.882,control
493,WT,0.91,control
534,WT,0.933,control
584,WT,0.941,control
