genotype,repetition,masse
WT,1,0.1375
WT,1,0.116
WT,1,0.1378
WT,1,0.1282
WT,1,0.0851
WT,1,0.1015
WT,1,0.0483
WT,1,0.163
WT,1,0.1661
WT,1,0.1664
WT,1,0.1389
WT,1,0.1072
WT,1,0.1404
WT,1,0.1465
nqr,1,0.1093
nqr,1,0.0723
nqr,1,0.0505
nqr,1,0.1484
nqr,1,0.063
nqr,1,0.135
nqr,1,0.0566
nqr,1,0.0789
nqr,1,0.125
nqr,1,0.1507
nqr,1,0.171
nqr,1,0.1405
nqr,1,0.1412
nqr,1,0.1111
nqr,1,0.1352
nqr,1,0.1683
air12,1,0.0683
air12,1,0.1243
air12,1,0.1371
air12,1,0.1606
air12,1,0.0537
air12,1,0.0674
air12,1,0.0876
air12,1,0.106
air12,1,0.1455
air12,1,0.0743
air12,1,0.1656
air12,1,0.1171
air12,1,0.1623
air12,1,0.0643
air12,1,0.1262
air12,1,0.1876
WT,2,0.071
WT,2,0.0617
WT,2,0.0744
WT,2,0.053
WT,2,0.0712
WT,2,0.0573
WT,2,0.0119
WT,2,0.0787
WT,2,0.0671
WT,2,0.0326
WT,2,0.0715
WT,2,0.0784
WT,2,0.0776
WT,2,0.0566
WT,2,0.0615
WT,2,0.053
nqr,2,0.0674
nqr,2,0.1124
nqr,2,0.0635
nqr,2,0.0555
nqr,2,0.0595
nqr,2,0.0428
nqr,2,0.0782
nqr,2,0.0684
nqr,2,0.144
nqr,2,0.1161
nqr,2,0.1265
nqr,2,0.1105
nqr,2,0.1179
nqr,2,0.0638
nqr,2,0.1157
nqr,2,0.1234
air12,2,0.0946
air12,2,0.108
air12,2,0.0847
air12,2,0.0881
air12,2,0.0795
air12,2,0.0901
air12,2,0.0774
air12,2,0.0923
air12,2,0.0581
air12,2,0.0713
air12,2,0.052
air12,2,0.0922
air12,2,0.0636
air12,2,0.1274
air12,2,0.0997
air12,2,0.0852
nqrair12,2,0.0773
nqrair12,2,0.057
nqrair12,2,0.0882
nqrair12,2,0.0991
nqrair12,2,0.0555
nqrair12,2,0.053
nqrair12,2,0.0671
nqrair12,2,0.0415
nqrair12,2,0.0568
nqrair12,2,0.0489
nqrair12,2,0.0584
nqrair12,2,0.0663
nqrair12,2,0.0671
nqrair12,2,0.0618
nqrair12,2,0.0578
nqrair12,2,0.0746
WT,3,0.0713
WT,3,0.0823
WT,3,0.1006
WT,3,0.0871
WT,3,0.0688
WT,3,0.0799
WT,3,0.0883
WT,3,0.05
WT,3,0.087
WT,3,0.071
WT,3,0.0577
WT,3,0.0749
WT,3,0.06
WT,3,0.1
WT,3,0.0951
WT,3,0.0932
nqr,3,0.0987
nqr,3,0.0874
nqr,3,0.087
nqr,3,0.0967
nqr,3,0.1148
nqr,3,0.1005
nqr,3,0.0906
nqr,3,0.1194
nqr,3,0.0223
nqr,3,0.0923
nqr,3,0.0706
nqr,3,0.033
nqr,3,0.0801
nqr,3,0.0624
nqr,3,0.1155
nqr,3,0.1153
air12,3,0.1211
air12,3,0.1264
air12,3,0.0922
air12,3,0.0768
air12,3,0.052
air12,3,0.0948
air12,3,0.0967
air12,3,0.0895
air12,3,0.1232
air12,3,0.1184
air12,3,0.0902
air12,3,0.0838
air12,3,0.1152
air12,3,0.1332
air12,3,0.137
air12,3,0.0939
nqrair12,3,0.0769
nqrair12,3,0.0698
nqrair12,3,0.0425
nqrair12,3,0.0457
nqrair12,3,0.0919
nqrair12,3,0.0662
nqrair12,3,0.0903
nqrair12,3,0.0428
nqrair12,3,0.0504
nqrair12,3,0.0679
nqrair12,3,0.0756
nqrair12,3,0.044
nqrair12,3,0.0389
nqrair12,3,0.0747
nqrair12,3,0.0778
nqrair12,3,0.0624
