genotype,repetition,masse
WT,1,0.0649
WT,1,0.0664
WT,1,0.0666
WT,1,0.0723
WT,1,0.0882
WT,1,0.0897
WT,1,0.1169
WT,1,0.1183
WT,1,0.1198
WT,1,0.1372
WT,1,0.138
WT,1,0.1466
WT,1,0.1606
WT,1,0.1756
WT,1,0.2018
WT,1,0.2247
nqr,1,0.0547
nqr,1,0.0596
nqr,1,0.0639
nqr,1,0.071
nqr,1,0.075
nqr,1,0.0804
nqr,1,0.0822
nqr,1,0.1099
nqr,1,0.111
nqr,1,0.1164
nqr,1,0.1215
nqr,1,0.1286
nqr,1,0.1312
nqr,1,0.1455
nqr,1,0.1461
nqr,1,0.1605
fqr1,1,0.0461
fqr1,1,0.0915
fqr1,1,0.1007
fqr1,1,0.1073
fqr1,1,0.1123
fqr1,1,0.1156
fqr1,1,0.1224
fqr1,1,0.1336
fqr1,1,0.1402
fqr1,1,0.1518
fqr1,1,0.152
fqr1,1,0.1535
fqr1,1,0.155
fqr1,1,0.1624
fqr1,1,0.1897
fqr1,1,0.1944
fqr2,1,0.1009
fqr2,1,0.0798
fqr2,1,0.1543
fqr2,1,0.1348
fqr2,1,0.1416
fqr2,1,0.0615
fqr2,1,0.0971
fqr2,1,0.1196
fqr2,1,0.087
fqr2,1,0.1445
fqr2,1,0.0882
fqr2,1,0.0824
fqr2,1,0.1248
fqr2,1,0.1352
fqr2,1,0.1158
fqr2,1,0.0975
fqr1fqr2,1,0.0908
fqr1fqr2,1,0.0449
fqr1fqr2,1,0.082
fqr1fqr2,1,0.155
fqr1fqr2,1,0.0918
fqr1fqr2,1,0.1027
fqr1fqr2,1,0.0644
fqr1fqr2,1,0.1336
fqr1fqr2,1,0.01172
fqr1fqr2,1,0.1954
fqr1fqr2,1,0.079
fqr1fqr2,1,0.1107
fqr1fqr2,1,0.0875
fqr1fqr2,1,0.096
fqr1fqr2,1,0.0926
fqr1fqr2,1,0.07826
nqrfqr1,1,0.1219
nqrfqr1,1,0.163
nqrfqr1,1,0.1155
nqrfqr1,1,0.0762
nqrfqr1,1,0.1165
nqrfqr1,1,0.1752
nqrfqr1,1,0.1532
nqrfqr1,1,0.0582
nqrfqr1,1,0.139
nqrfqr1,1,0.1029
nqrfqr1,1,0.1664
nqrfqr1,1,0.1836
nqrfqr1,1,0.1245
nqrfqr1,1,0.1293
nqrfqr1,1,0.1598
nqrfqr1,1,0.0648
WT,2,0.0808
WT,2,0.1037
WT,2,0.0882
WT,2,0.0604
WT,2,0.112
WT,2,0.0865
WT,2,0.0825
WT,2,0.0999
WT,2,0.1033
WT,2,0.0948
WT,2,0.099
WT,2,0.0676
WT,2,0.1
WT,2,0.0748
WT,2,0.0792
WT,2,0.0933
nqr,2,0.0451
nqr,2,0.0687
nqr,2,0.0819
nqr,2,0.0673
nqr,2,0.0563
nqr,2,0.0587
nqr,2,0.1064
nqr,2,0.0954
nqr,2,0.0533
nqr,2,0.0984
nqr,2,0.1036
nqr,2,0.1085
nqr,2,0.1026
nqr,2,0.078
fqr1,2,0.0838
fqr1,2,0.117
fqr1,2,0.0542
fqr1,2,0.0606
fqr1,2,0.0819
fqr1,2,0.056
fqr1,2,0.0888
fqr1,2,0.0815
fqr1,2,0.072
fqr1,2,0.0668
fqr1,2,0.0888
fqr1,2,0.0887
fqr1,2,0.0967
fqr1,2,0.1411
fqr1,2,0.0597
fqr2,2,0.0781
fqr2,2,0.1085
fqr2,2,0.0907
fqr2,2,0.0436
fqr2,2,0.0977
fqr2,2,0.1357
fqr2,2,0.0457
fqr2,2,0.1194
fqr2,2,0.049
fqr2,2,0.0915
fqr2,2,0.0778
fqr2,2,0.0987
fqr2,2,0.073
fqr2,2,0.0561
fqr2,2,0.0999
fqr2,2,0.0823
fqr1fqr2,2,0.0781
fqr1fqr2,2,0.0621
fqr1fqr2,2,0.0826
fqr1fqr2,2,0.047
fqr1fqr2,2,0.0993
fqr1fqr2,2,0.0725
fqr1fqr2,2,0.057
fqr1fqr2,2,0.063
fqr1fqr2,2,0.0874
fqr1fqr2,2,0.0453
fqr1fqr2,2,0.0451
fqr1fqr2,2,0.0623
fqr1fqr2,2,0.0522
fqr1fqr2,2,0.0642
fqr1fqr2,2,0.0832
fqr1fqr2,2,0.0534
nqrfqr1,2,0.0571
nqrfqr1,2,0.065
nqrfqr1,2,0.0671
nqrfqr1,2,0.1103
nqrfqr1,2,0.0753
nqrfqr1,2,0.1372
nqrfqr1,2,0.0538
nqrfqr1,2,0.0422
nqrfqr1,2,0.0755
nqrfqr1,2,0.0412
nqrfqr1,2,0.0884
nqrfqr1,2,0.0647
nqrfqr1,2,0.0745
nqrfqr1,2,0.0771
nqrfqr1,2,0.1102
nqrfqr1,2,0.0404
nqrfqr1fqr2,2,0.0571
nqrfqr1fqr2,2,0.065
nqrfqr1fqr2,2,0.0671
nqrfqr1fqr2,2,0.1103
nqrfqr1fqr2,2,0.0753
nqrfqr1fqr2,2,0.1372
nqrfqr1fqr2,2,0.0538
nqrfqr1fqr2,2,0.0422
nqrfqr1fqr2,2,0.0755
nqrfqr1fqr2,2,0.0412
nqrfqr1fqr2,2,0.0884
nqrfqr1fqr2,2,0.0647
nqrfqr1fqr2,2,0.0745
nqrfqr1fqr2,2,0.0771
nqrfqr1fqr2,2,0.1102
nqrfqr1fqr2,2,0.0404
WT,3,0.0664
WT,3,0.1286
WT,3,0.1087
