wavelength;0.00 sec;10.00 sec;20.00 sec;30.00 sec;40.00 sec;50.00 sec;60.00 sec;70.00 sec;80.00 sec;90.00 sec;100.00 sec;110.00 sec;120.00 sec;130.00 sec;140.00 sec;150.00 sec;160.00 sec;170.00 sec;180.00 sec;190.00 sec;200.00 sec;210.00 sec;220.00 sec;230.00 sec;240.00 sec;250.00 sec;260.00 sec;270.00 sec;280.00 sec;290.00 sec;300.00 sec;310.00 sec;320.00 sec;330.00 sec;340.00 sec;350.00 sec;360.00 sec;370.00 sec;380.00 sec;390.00 sec;400.00 sec;410.00 sec;420.00 sec;430.00 sec;440.00 sec;450.00 sec;460.00 sec;470.00 sec;480.00 sec;490.00 sec;500.00 sec;510.00 sec;520.00 sec;530.00 sec;540.00 sec;550.00 sec;560.00 sec;570.00 sec;580.00 sec;590.00 sec;600.00 sec;610.00 sec;620.00 sec;630.00 sec;640.00 sec;650.00 sec;660.00 sec;670.00 sec;680.00 sec;690.00 sec;700.00 sec;710.00 sec;720.00 sec;730.00 sec;740.00 sec;750.00 sec;760.00 sec;770.00 sec;780.00 sec;790.00 sec;800.00 sec;810.00 sec;820.00 sec;830.00 sec;840.00 sec;850.00 sec;860.00 sec;870.00 sec;880.00 sec;890.00 sec;900.00 sec;910.00 sec;920.00 sec;930.00 sec;940.00 sec;950.00 sec;960.00 sec;970.00 sec;980.00 sec;990.00 sec;1000.00 sec;1010.00 sec;1020.00 sec;1030.00 sec;1040.00 sec;1050.00 sec;1060.00 sec;1070.00 sec;1080.00 sec;1090.00 sec;1100.00 sec;1110.00 sec;1120.00 sec;1130.00 sec;1140.00 sec;1150.00 sec;1160.00 sec;1170.00 sec;1180.00 sec;1190.00 sec;1200.00 sec;1210.00 sec;1220.00 sec;1230.00 sec;1240.00 sec;1250.00 sec;1260.00 sec;1270.00 sec;1280.00 sec;1290.00 sec;1300.00 sec;1310.00 sec;1320.00 sec;1330.00 sec;1340.00 sec;1350.00 sec;1360.00 sec;1370.00 sec;1380.00 sec;1390.00 sec;1400.00 sec;1410.00 sec;1420.00 sec;1430.00 sec;1440.00 sec;1450.00 sec;1460.00 sec;1470.00 sec;1480.00 sec;1490.00 sec;1500.00 sec;1510.00 sec;1520.00 sec;1530.00 sec;1540.00 sec;1550.00 sec;1560.00 sec;1570.00 sec;1580.00 sec;1590.00 sec;1600.00 sec;1610.00 sec;1620.00 sec;1630.00 sec;1640.00 sec;1650.00 sec;1660.00 sec;1670.00 sec;1680.00 sec;1690.00 sec;1700.00 sec;1710.00 sec;1720.00 sec;1730.00 sec;1740.00 sec;1750.00 sec;1760.00 sec;1770.00 sec;1780.00 sec;1790.00 sec;1800.00 sec
300.000000;0.360768;0.367727;0.378235;0.389474;0.403046;0.416930;0.429971;0.445591;0.460386;0.476134;0.491592;0.508538;0.524819;0.542312;0.558779;0.575735;0.592479;0.608037;0.624470;0.641873;0.658662;0.676008;0.691754;0.705733;0.723685;0.740103;0.756330;0.770421;0.787240;0.801048;0.816480;0.831221;0.847454;0.861658;0.874417;0.891196;0.904887;0.916543;0.932560;0.946582;0.960772;0.970630;0.985231;0.997423;1.009104;1.023004;1.029545;1.044425;1.054894;1.062613;1.067696;1.079569;1.082849;1.090522;1.087454;1.094293;1.089548;1.085906;1.087325;1.084598;1.084555;1.082723;1.083968;1.083999;1.080065;1.080942;1.081638;1.082370;1.083403;1.080336;1.077085;1.080967;1.079465;1.075732;1.078518;1.073508;1.080524;1.074579;1.076125;1.073707;1.075899;1.075518;1.073294;1.072860;1.071619;1.073857;1.073844;1.076026;1.075481;1.071311;1.073611;1.073548;1.075856;1.070481;1.067920;1.070558;1.070542;1.069634;1.069393;1.069005;1.070651;1.069324;1.067605;1.069432;1.066661;1.067247;1.068135;1.066712;1.068344;1.065988;1.065693;1.070983;1.066786;1.066226;1.066935;1.067569;1.068767;1.066054;1.068425;1.066981;1.067077;1.067031;1.069148;1.065357;1.064262;1.067720;1.066136;1.065150;1.066117;1.067574;1.066172;1.064967;1.064866;1.066265;1.066569;1.062344;1.067325;1.065079;1.066414;1.063981;1.066880;1.063388;1.063981;1.065275;1.063220;1.062983;1.063868;1.066090;1.066198;1.065218;1.063218;1.065651;1.059962;1.060934;1.063062;1.062867;1.063526;1.061408;1.061488;1.064310;1.061608;1.061584;1.061633;1.061587;1.060981;1.060545;1.060523;1.063891;1.061061;1.062018;1.059826;1.056770;1.057072;1.062527;1.060332;1.059230;1.059517;1.057853;1.062987;1.060459;1.059518
300.500000;0.358369;0.364939;0.374543;0.385281;0.397694;0.410680;0.423483;0.437827;0.453002;0.467706;0.482844;0.498833;0.514445;0.530484;0.547056;0.562716;0.579440;0.593548;0.610766;0.626063;0.643195;0.658920;0.674261;0.688660;0.706247;0.720423;0.736294;0.751290;0.766450;0.780800;0.796811;0.810327;0.826203;0.839446;0.852435;0.866165;0.881676;0.892523;0.908198;0.919681;0.932985;0.943806;0.957909;0.970936;0.980173;0.994203;1.002559;1.015241;1.025586;1.034658;1.040781;1.049878;1.052560;1.060988;1.058363;1.062716;1.056973;1.056670;1.056376;1.056499;1.056428;1.053545;1.054925;1.053925;1.052112;1.051706;1.049987;1.051346;1.053545;1.050909;1.049179;1.050415;1.049302;1.046274;1.046435;1.044488;1.049019;1.043013;1.044997;1.045819;1.044175;1.045610;1.044311;1.043467;1.043099;1.044642;1.042593;1.045355;1.044340;1.040850;1.043239;1.043126;1.045855;1.040328;1.038698;1.041296;1.039317;1.040040;1.039205;1.039013;1.040174;1.041587;1.037517;1.040044;1.037321;1.036555;1.037435;1.037209;1.037275;1.035953;1.034810;1.037486;1.035732;1.033688;1.037917;1.035375;1.037936;1.036911;1.036220;1.035472;1.036438;1.033832;1.038589;1.034911;1.033896;1.037288;1.035852;1.035701;1.036385;1.033623;1.032959;1.033702;1.032375;1.035300;1.034994;1.031113;1.033907;1.034801;1.035257;1.033327;1.033487;1.032584;1.032911;1.033920;1.034404;1.033390;1.033586;1.035884;1.032872;1.034135;1.033861;1.032985;1.029377;1.030437;1.032831;1.033204;1.029293;1.030711;1.031251;1.031169;1.030192;1.031372;1.031733;1.031564;1.032020;1.029429;1.030278;1.034644;1.031227;1.030825;1.029798;1.030978;1.026374;1.031628;1.030933;1.028891;1.029175;1.027742;1.032203;1.029016;1.029073
301.000000;0.355876;0.362047;0.370903;0.381349;0.392341;0.404398;0.416662;0.429938;0.445001;0.458775;0.473691;0.488824;0.503295;0.518397;0.534425;0.548974;0.565436;0.578860;0.596168;0.610025;0.626535;0.640639;0.656340;0.671362;0.687132;0.700376;0.715790;0.731029;0.744696;0.759393;0.775514;0.787468;0.803142;0.815151;0.828943;0.840212;0.856315;0.868177;0.881612;0.891115;0.903893;0.917246;0.929618;0.942057;0.949789;0.963650;0.974318;0.983787;0.994924;1.004788;1.012235;1.016853;1.021889;1.028653;1.028051;1.027494;1.023566;1.024859;1.023145;1.025815;1.025577;1.023038;1.023761;1.020456;1.021808;1.020367;1.017481;1.018424;1.020274;1.019313;1.019141;1.018082;1.015786;1.016118;1.013088;1.014155;1.014106;1.010536;1.012171;1.014931;1.010627;1.013026;1.012689;1.012413;1.011069;1.012108;1.008860;1.011386;1.010404;1.009859;1.010080;1.010250;1.012059;1.007912;1.007740;1.009818;1.006383;1.007701;1.008350;1.007771;1.007347;1.010231;1.005754;1.007546;1.005476;1.004870;1.005042;1.006068;1.003778;1.004948;1.003028;1.002411;1.003021;1.001459;1.005775;1.001960;1.003715;1.005698;1.002083;1.003181;1.004806;1.000203;1.004738;1.003064;1.003602;1.004271;1.003301;1.004539;1.004683;0.999343;0.998776;1.002069;0.999736;1.002665;1.000548;0.998662;0.999440;1.001569;1.001766;1.001157;0.999131;1.000522;1.000198;1.000444;1.002275;1.002020;1.001110;1.002039;0.997732;1.000775;1.001096;0.997866;0.998943;0.999230;0.999451;0.999891;0.994875;0.998318;1.000227;0.996286;0.996423;0.999299;0.999507;0.999123;1.000621;0.995765;0.999412;1.001581;0.998622;0.997799;0.998357;1.002515;0.996727;0.998242;0.999463;0.997897;0.997518;0.996591;0.999443;0.996325;0.997670
301.500000;0.353474;0.358661;0.367263;0.377060;0.387278;0.398458;0.409336;0.422260;0.435396;0.449168;0.463306;0.478009;0.491259;0.507029;0.521119;0.535241;0.550433;0.564782;0.579660;0.594453;0.609338;0.623247;0.638568;0.652752;0.666594;0.681426;0.696115;0.709421;0.722891;0.735989;0.751106;0.762191;0.778121;0.789538;0.803098;0.815145;0.828989;0.841141;0.853379;0.863765;0.875700;0.890625;0.901196;0.910686;0.921013;0.932458;0.943147;0.952626;0.963647;0.972491;0.976944;0.983878;0.990254;0.994265;0.995085;0.993031;0.992101;0.988706;0.989817;0.990286;0.988556;0.988747;0.990778;0.985684;0.987823;0.986138;0.986806;0.985114;0.984964;0.985062;0.983585;0.984224;0.982390;0.984227;0.981445;0.980840;0.978315;0.979095;0.978415;0.979498;0.977706;0.979027;0.978086;0.979307;0.974648;0.976373;0.974659;0.975945;0.976325;0.977229;0.975971;0.975677;0.975877;0.974729;0.973168;0.976511;0.973601;0.973241;0.976233;0.974330;0.972763;0.973691;0.973438;0.973458;0.970243;0.971410;0.972189;0.972496;0.969757;0.973082;0.970137;0.969192;0.970616;0.972198;0.969519;0.968767;0.968411;0.971222;0.968395;0.970194;0.974310;0.969994;0.969187;0.971303;0.971421;0.969284;0.969224;0.970712;0.970707;0.968881;0.966394;0.970269;0.969527;0.969600;0.966481;0.966497;0.967174;0.966913;0.968083;0.968069;0.967498;0.968439;0.968869;0.967188;0.967417;0.968834;0.966808;0.966856;0.965147;0.967333;0.966648;0.964353;0.967919;0.967764;0.966655;0.965372;0.965161;0.965639;0.968238;0.964762;0.963219;0.965813;0.967429;0.965725;0.965815;0.962550;0.968006;0.966790;0.965250;0.964969;0.965860;0.966601;0.968498;0.964162;0.965230;0.966170;0.964948;0.965997;0.965646;0.964131;0.964617
302.000000;0.351436;0.356127;0.363831;0.372555;0.382291;0.392527;0.402751;0.414596;0.426540;0.439502;0.452790;0.466708;0.479380;0.495051;0.507874;0.521479;0.535780;0.549892;0.562935;0.577973;0.591474;0.605738;0.619849;0.633062;0.646302;0.661282;0.674963;0.687391;0.700353;0.712278;0.726701;0.738161;0.752116;0.764402;0.776623;0.789481;0.801520;0.813431;0.825456;0.836849;0.848476;0.861373;0.871251;0.880026;0.891205;0.900196;0.910222;0.920981;0.930646;0.938374;0.942266;0.950472;0.955033;0.959754;0.960424;0.958787;0.959296;0.955196;0.957221;0.954284;0.953029;0.952224;0.955640;0.950896;0.952760;0.950768;0.953247;0.950906;0.949116;0.948751;0.946480;0.948430;0.948123;0.949685;0.947730;0.946163;0.943511;0.945927;0.943677;0.943544;0.943942;0.944383;0.943033;0.944812;0.938300;0.940659;0.941013;0.941083;0.941892;0.942822;0.941773;0.940508;0.939683;0.940625;0.938274;0.941662;0.939440;0.938546;0.940575;0.939820;0.937537;0.936413;0.938929;0.937485;0.935822;0.937110;0.937384;0.937877;0.935847;0.938289;0.936066;0.936182;0.935777;0.939064;0.934001;0.934733;0.933546;0.935699;0.935255;0.935973;0.940202;0.938026;0.933182;0.937281;0.937605;0.934142;0.934445;0.935042;0.935653;0.936516;0.933769;0.935119;0.936536;0.934460;0.932905;0.934087;0.934649;0.933176;0.934454;0.934071;0.934911;0.935022;0.934711;0.932798;0.931975;0.933993;0.931725;0.932494;0.933549;0.933037;0.931000;0.932445;0.933502;0.934377;0.932837;0.931740;0.932870;0.931935;0.933828;0.932280;0.930400;0.932172;0.934249;0.932169;0.930184;0.929030;0.934132;0.930663;0.930833;0.930531;0.931436;0.930243;0.935294;0.929841;0.930525;0.932005;0.930019;0.933445;0.930891;0.931486;0.930648
302.500000;0.349698;0.354509;0.360447;0.367967;0.377149;0.386445;0.396774;0.406843;0.419010;0.430154;0.442710;0.455337;0.467935;0.481945;0.494771;0.507513;0.521591;0.533776;0.546799;0.560404;0.573124;0.587309;0.600072;0.612983;0.626465;0.639374;0.651755;0.665038;0.677092;0.688781;0.703191;0.715296;0.725942;0.739587;0.750191;0.762279;0.773978;0.785414;0.797739;0.808694;0.820485;0.829298;0.839389;0.850003;0.859111;0.867170;0.876915;0.887626;0.895779;0.903196;0.910034;0.915832;0.917524;0.924910;0.924614;0.923494;0.923738;0.924438;0.923880;0.919882;0.920454;0.915918;0.918688;0.916184;0.917545;0.915160;0.915582;0.915401;0.913389;0.911848;0.910296;0.911414;0.912347;0.912901;0.910924;0.910633;0.909048;0.909953;0.908195;0.908405;0.908655;0.908908;0.908130;0.909104;0.903596;0.906014;0.907039;0.906292;0.906635;0.906828;0.906833;0.904953;0.904349;0.905252;0.903713;0.905673;0.903627;0.903654;0.902616;0.904439;0.902318;0.900556;0.902140;0.900417;0.902517;0.902102;0.900518;0.902253;0.901516;0.900793;0.900829;0.901951;0.898710;0.900707;0.900249;0.899861;0.899032;0.899919;0.901285;0.900083;0.901713;0.901648;0.897735;0.900351;0.902085;0.899183;0.899094;0.898599;0.900102;0.899861;0.899350;0.897525;0.899471;0.897539;0.898889;0.900022;0.900137;0.899330;0.899960;0.898830;0.899380;0.899224;0.897496;0.897159;0.897226;0.897644;0.896283;0.898563;0.899753;0.897228;0.894886;0.899822;0.896179;0.898786;0.897061;0.898167;0.895740;0.896928;0.897179;0.896686;0.897024;0.897857;0.898694;0.898006;0.895560;0.894532;0.897874;0.894280;0.895702;0.894563;0.895399;0.895930;0.896940;0.895234;0.895844;0.895246;0.893388;0.898143;0.895120;0.896986;0.895548
303.000000;0.347767;0.351837;0.356471;0.363220;0.371751;0.380421;0.389307;0.399099;0.410401;0.420922;0.432429;0.444130;0.455952;0.468641;0.480986;0.493125;0.506220;0.517592;0.530320;0.543218;0.554853;0.568049;0.580424;0.593202;0.605349;0.617634;0.628451;0.641309;0.653962;0.664175;0.678088;0.688858;0.699805;0.712670;0.722729;0.733766;0.744320;0.754941;0.767743;0.777559;0.788695;0.796834;0.806562;0.816751;0.825844;0.834367;0.843835;0.851632;0.860021;0.867406;0.874492;0.879502;0.882483;0.887318;0.887230;0.886101;0.886811;0.888463;0.886480;0.885365;0.884369;0.881773;0.880856;0.880439;0.880628;0.878713;0.877217;0.878519;0.877338;0.876010;0.874431;0.874732;0.875386;0.875303;0.873684;0.873015;0.872042;0.872493;0.872359;0.871679;0.872440;0.871520;0.871494;0.871600;0.868158;0.870542;0.870199;0.868678;0.870185;0.869459;0.869259;0.868142;0.868852;0.868297;0.866643;0.868842;0.867448;0.866579;0.866669;0.867012;0.866922;0.864728;0.864781;0.864048;0.866031;0.865289;0.863094;0.864060;0.865264;0.863217;0.864319;0.866051;0.862855;0.862674;0.864499;0.865240;0.863207;0.862600;0.864149;0.862289;0.862987;0.862566;0.863234;0.862136;0.864096;0.862937;0.862479;0.862086;0.863587;0.861646;0.862917;0.862279;0.862106;0.861206;0.862976;0.862535;0.863595;0.861170;0.862902;0.861754;0.861909;0.860838;0.861716;0.861680;0.862917;0.859820;0.859991;0.862240;0.860580;0.859870;0.859170;0.862798;0.859613;0.862243;0.859953;0.861183;0.858536;0.861000;0.860066;0.859637;0.861826;0.860513;0.860276;0.861659;0.861827;0.858963;0.861335;0.859206;0.860787;0.859254;0.859163;0.859617;0.860091;0.859835;0.859325;0.857436;0.857676;0.861600;0.858181;0.859422;0.857966
303.500000;0.346083;0.348695;0.352728;0.358822;0.366631;0.374557;0.381473;0.391503;0.401113;0.411610;0.421801;0.433107;0.443595;0.455509;0.467044;0.478523;0.490173;0.501599;0.513508;0.526277;0.536796;0.548764;0.560837;0.573187;0.583684;0.595779;0.605903;0.617438;0.630446;0.639211;0.651906;0.660981;0.673735;0.684554;0.694569;0.704830;0.714095;0.723980;0.736624;0.745610;0.754943;0.764552;0.774110;0.782217;0.792199;0.801012;0.809527;0.815608;0.824184;0.831289;0.836976;0.842805;0.847734;0.849212;0.849452;0.848525;0.849137;0.849160;0.847453;0.849017;0.845565;0.847276;0.843384;0.843618;0.842642;0.841723;0.839727;0.840862;0.840516;0.840368;0.838693;0.838080;0.837569;0.837658;0.836449;0.834812;0.834346;0.834705;0.835988;0.833735;0.835359;0.833504;0.834034;0.833611;0.831634;0.833106;0.831788;0.830652;0.832955;0.831965;0.831002;0.830577;0.832403;0.831087;0.828525;0.831444;0.830680;0.828833;0.831197;0.828654;0.830767;0.828389;0.827849;0.828156;0.828185;0.827261;0.825933;0.826022;0.827977;0.827052;0.827022;0.828551;0.827208;0.826324;0.827226;0.829283;0.826162;0.825174;0.825447;0.824540;0.825404;0.824117;0.827656;0.824537;0.825837;0.825632;0.825396;0.825800;0.826777;0.824010;0.825621;0.827115;0.825288;0.825670;0.825836;0.823936;0.825761;0.821614;0.824784;0.824528;0.824134;0.822826;0.826546;0.825615;0.827430;0.822399;0.823260;0.824861;0.821040;0.822814;0.823353;0.823543;0.823873;0.825299;0.823132;0.822960;0.822485;0.824536;0.823357;0.822621;0.824788;0.821826;0.821890;0.824335;0.825681;0.822422;0.824457;0.823991;0.824674;0.823581;0.823031;0.822204;0.824321;0.823578;0.821996;0.820479;0.822480;0.824656;0.821137;0.821558;0.820186
304.000000;0.345256;0.346715;0.350315;0.355277;0.362311;0.368801;0.375436;0.384083;0.392739;0.402126;0.411112;0.422192;0.431603;0.442593;0.453862;0.464114;0.474878;0.485632;0.496827;0.508807;0.518876;0.530217;0.540847;0.552217;0.562940;0.572991;0.584035;0.594998;0.605935;0.615223;0.626315;0.635787;0.647678;0.657308;0.666708;0.676373;0.685685;0.695279;0.706512;0.715595;0.722525;0.732300;0.742755;0.749812;0.758642;0.766284;0.773042;0.782140;0.788842;0.795205;0.801113;0.807003;0.809902;0.813426;0.812592;0.812813;0.811201;0.811641;0.810345;0.810355;0.807516;0.809604;0.807023;0.806340;0.805063;0.804826;0.803272;0.803290;0.802998;0.803550;0.802923;0.800916;0.799449;0.800428;0.798908;0.798019;0.798676;0.797418;0.798875;0.796146;0.797506;0.796523;0.797336;0.796713;0.794845;0.794086;0.794398;0.795355;0.795650;0.795381;0.794597;0.793300;0.794841;0.794866;0.791900;0.793908;0.792926;0.792634;0.793393;0.791249;0.793584;0.791670;0.791558;0.791857;0.792238;0.789467;0.789453;0.790900;0.791211;0.792303;0.789751;0.790196;0.789868;0.790610;0.790388;0.790680;0.788878;0.789390;0.787928;0.788724;0.788831;0.788648;0.789429;0.788672;0.789624;0.788376;0.788930;0.789694;0.790395;0.787947;0.788809;0.788626;0.788521;0.790011;0.788922;0.787179;0.787816;0.785170;0.787757;0.788865;0.787381;0.787766;0.789683;0.788116;0.789638;0.786912;0.786866;0.788621;0.786611;0.787598;0.786792;0.785846;0.787658;0.788219;0.787784;0.786832;0.786826;0.787896;0.787268;0.786444;0.786856;0.784677;0.786367;0.787725;0.785138;0.785475;0.786796;0.786927;0.786264;0.786204;0.786797;0.786249;0.786995;0.786826;0.785615;0.785457;0.786443;0.787662;0.785144;0.786260;0.784805
304.500000;0.344035;0.344785;0.347514;0.351449;0.357557;0.362666;0.369254;0.376158;0.384271;0.392440;0.400767;0.411112;0.419944;0.429896;0.440463;0.449804;0.460078;0.469718;0.479812;0.490858;0.500757;0.511339;0.520809;0.530842;0.541742;0.550690;0.561433;0.571870;0.581696;0.591030;0.600592;0.610906;0.620947;0.630324;0.639200;0.647865;0.657424;0.666454;0.675780;0.685215;0.690977;0.700355;0.710092;0.717404;0.724806;0.731431;0.737582;0.747742;0.753593;0.759342;0.765362;0.769807;0.772130;0.776827;0.775227;0.776315;0.773999;0.774613;0.772826;0.771566;0.769503;0.770996;0.769923;0.768851;0.767804;0.767521;0.766180;0.765887;0.765688;0.765667;0.765233;0.764194;0.761775;0.763651;0.761549;0.761313;0.762393;0.760384;0.760867;0.758996;0.759333;0.759137;0.759935;0.759768;0.758054;0.756464;0.758218;0.759349;0.758069;0.757819;0.757901;0.756234;0.756617;0.757450;0.755199;0.756544;0.755043;0.756291;0.754890;0.754988;0.755840;0.754354;0.754225;0.754604;0.755511;0.752842;0.753426;0.754289;0.754267;0.755419;0.752847;0.752577;0.752526;0.753212;0.752846;0.752501;0.751625;0.753019;0.751423;0.752694;0.752470;0.753020;0.751281;0.752466;0.753070;0.751638;0.752072;0.752434;0.752745;0.751806;0.751947;0.750312;0.751439;0.752449;0.752226;0.750610;0.750832;0.749959;0.750506;0.752437;0.750882;0.751828;0.752074;0.750818;0.751136;0.750337;0.750613;0.751079;0.751766;0.751335;0.749751;0.749183;0.750425;0.750961;0.751746;0.750353;0.750008;0.750769;0.750849;0.749879;0.749421;0.748968;0.750932;0.750001;0.746302;0.749346;0.749567;0.749443;0.748439;0.749245;0.749748;0.750644;0.749295;0.749888;0.748947;0.749869;0.749269;0.750084;0.749187;0.750203;0.749274
