wavelength;0.00 sec;10.00 sec;20.00 sec;30.00 sec;40.00 sec;50.00 sec;60.00 sec;70.00 sec;80.00 sec;90.00 sec;100.00 sec;110.00 sec;120.00 sec;130.00 sec;140.00 sec;150.00 sec;160.00 sec;170.00 sec;180.00 sec;190.00 sec;200.00 sec;210.00 sec;220.00 sec;230.00 sec;240.00 sec;250.00 sec;260.00 sec;270.00 sec;280.00 sec;290.00 sec;300.00 sec;310.00 sec;320.00 sec;330.00 sec;340.00 sec;350.00 sec;360.00 sec;370.00 sec;380.00 sec;390.00 sec;400.00 sec;410.00 sec;420.00 sec;430.00 sec;440.00 sec;450.00 sec;460.00 sec;470.00 sec;480.00 sec;490.00 sec;500.00 sec;510.00 sec;520.00 sec;530.00 sec;540.00 sec;550.00 sec;560.00 sec;570.00 sec;580.00 sec;590.00 sec;600.00 sec;610.00 sec;620.00 sec;630.00 sec;640.00 sec;650.00 sec;660.00 sec;670.00 sec;680.00 sec;690.00 sec;700.00 sec;710.00 sec;720.00 sec;730.00 sec;740.00 sec;750.00 sec;760.00 sec;770.00 sec;780.00 sec;790.00 sec;800.00 sec;810.00 sec;820.00 sec;830.00 sec;840.00 sec;850.00 sec;860.00 sec;870.00 sec;880.00 sec;890.00 sec;900.00 sec;910.00 sec;920.00 sec;930.00 sec;940.00 sec;950.00 sec;960.00 sec;970.00 sec;980.00 sec;990.00 sec;1000.00 sec;1010.00 sec;1020.00 sec;1030.00 sec;1040.00 sec;1050.00 sec;1060.00 sec;1070.00 sec;1080.00 sec;1090.00 sec;1100.00 sec;1110.00 sec;1120.00 sec;1130.00 sec;1140.00 sec;1150.00 sec;1160.00 sec;1170.00 sec;1180.00 sec;1190.00 sec;1200.00 sec;1210.00 sec;1220.00 sec;1230.00 sec;1240.00 sec;1250.00 sec;1260.00 sec;1270.00 sec;1280.00 sec;1290.00 sec;1300.00 sec;1310.00 sec;1320.00 sec;1330.00 sec;1340.00 sec;1350.00 sec;1360.00 sec;1370.00 sec;1380.00 sec;1390.00 sec;1400.00 sec;1410.00 sec;1420.00 sec;1430.00 sec;1440.00 sec;1450.00 sec;1460.00 sec;1470.00 sec;1480.00 sec;1490.00 sec;1500.00 sec;1510.00 sec;1520.00 sec;1530.00 sec;1540.00 sec;1550.00 sec;1560.00 sec;1570.00 sec;1580.00 sec;1590.00 sec;1600.00 sec;1610.00 sec;1620.00 sec;1630.00 sec;1640.00 sec;1650.00 sec;1660.00 sec;1670.00 sec;1680.00 sec;1690.00 sec;1700.00 sec;1710.00 sec;1720.00 sec;1730.00 sec;1740.00 sec;1750.00 sec;1760.00 sec;1770.00 sec;1780.00 sec;1790.00 sec;1800.00 sec
300.000000;0.297600;0.306093;0.315069;0.325697;0.337018;0.348292;0.362446;0.374620;0.387814;0.400966;0.414030;0.427155;0.440044;0.453876;0.467152;0.478271;0.491746;0.505801;0.517422;0.529922;0.541535;0.552464;0.563437;0.573676;0.583264;0.591164;0.598767;0.603052;0.605447;0.605707;0.603949;0.604969;0.602166;0.600919;0.600896;0.599279;0.597632;0.597262;0.595544;0.596192;0.594862;0.594624;0.593154;0.592784;0.591150;0.591215;0.589330;0.587977;0.589065;0.588128;0.586888;0.586816;0.586251;0.585926;0.584728;0.583961;0.584545;0.583103;0.583145;0.583546;0.582822;0.582293;0.581628;0.582692;0.582073;0.581186;0.581368;0.581479;0.581046;0.581392;0.580187;0.578217;0.579242;0.579768;0.579210;0.578240;0.579011;0.579316;0.578639;0.577357;0.576781;0.578684;0.576940;0.578507;0.577916;0.576262;0.576915;0.576333;0.575880;0.576947;0.575871;0.576230;0.577087;0.576182;0.575497;0.576337;0.575969;0.574404;0.574311;0.573566;0.575381;0.575586;0.574841;0.574456;0.573853;0.574830;0.574277;0.574195;0.574289;0.574725;0.574697;0.573631;0.572175;0.572972;0.573254;0.574061;0.572708;0.573986;0.573414;0.573436;0.571750;0.573728;0.572820;0.572633;0.571658;0.572095;0.573090;0.571752;0.571330;0.569828;0.571868;0.570177;0.572032;0.571181;0.569912;0.571362;0.570357;0.570611;0.570786;0.570642;0.571278;0.570859;0.571856;0.571605;0.569887;0.569803;0.569822;0.570142;0.569111;0.570177;0.569148;0.569202;0.568940;0.570417;0.568831;0.569713;0.569635;0.568838;0.568126;0.568569;0.568497;0.568578;0.567870;0.567433;0.569483;0.566119;0.568570;0.567464;0.567334;0.567360;0.566694;0.566854;0.567575;0.567982;0.567402;0.565441;0.566741;0.565853;0.566106;0.566218;0.565642
300.500000;0.297883;0.305460;0.313930;0.324031;0.334923;0.345255;0.358383;0.369983;0.382331;0.394764;0.407459;0.419747;0.432728;0.445853;0.457794;0.469347;0.482406;0.494966;0.506749;0.518154;0.529024;0.540974;0.551442;0.560493;0.569808;0.578471;0.584909;0.588781;0.591379;0.591781;0.590069;0.589709;0.587392;0.586819;0.586177;0.584551;0.583652;0.582771;0.580568;0.581121;0.580764;0.579906;0.579145;0.578251;0.576337;0.577095;0.574903;0.574080;0.574498;0.573328;0.572551;0.571933;0.571906;0.571112;0.570383;0.569959;0.569829;0.569492;0.569272;0.568341;0.568543;0.567783;0.567408;0.567625;0.567407;0.567035;0.567010;0.566401;0.566364;0.566714;0.565760;0.564529;0.564928;0.565348;0.564874;0.564532;0.564535;0.564587;0.564063;0.563543;0.563573;0.564030;0.562726;0.563877;0.562977;0.562510;0.562683;0.561865;0.561580;0.562180;0.562752;0.561977;0.562604;0.562436;0.562614;0.561286;0.561740;0.561274;0.560770;0.559534;0.560901;0.560565;0.559845;0.560175;0.559887;0.560482;0.559971;0.559816;0.559486;0.559871;0.559922;0.559246;0.558228;0.558924;0.558954;0.559982;0.558473;0.560187;0.559665;0.558928;0.557541;0.558625;0.558935;0.558106;0.558319;0.557872;0.557656;0.558387;0.557314;0.556715;0.557567;0.557195;0.557706;0.556496;0.555845;0.557446;0.556994;0.556926;0.556342;0.556259;0.556868;0.556780;0.557238;0.557445;0.555968;0.556580;0.556158;0.556711;0.555575;0.555764;0.555797;0.554913;0.555758;0.556518;0.555080;0.555980;0.555803;0.554897;0.554598;0.554933;0.554253;0.554503;0.553821;0.553253;0.554866;0.553549;0.553909;0.553401;0.552707;0.553325;0.553656;0.552284;0.554022;0.554276;0.553365;0.552048;0.552609;0.553685;0.552574;0.552729;0.552241
301.000000;0.298473;0.304995;0.312967;0.322189;0.332684;0.342383;0.353697;0.365054;0.376364;0.388210;0.400413;0.412044;0.424904;0.437117;0.447744;0.459933;0.472383;0.483336;0.495152;0.505488;0.515803;0.528508;0.538039;0.546662;0.555735;0.564888;0.570165;0.573897;0.576046;0.576568;0.575175;0.573679;0.572323;0.571469;0.570389;0.568880;0.568646;0.567224;0.565288;0.565121;0.565234;0.563677;0.563631;0.562736;0.560733;0.560900;0.560037;0.559536;0.558905;0.557646;0.557725;0.556372;0.556426;0.555919;0.555438;0.555462;0.554412;0.554819;0.554668;0.552688;0.553451;0.552311;0.551922;0.551760;0.551833;0.551958;0.551325;0.550845;0.550831;0.550420;0.550213;0.550438;0.549898;0.549787;0.549585;0.549653;0.548786;0.548865;0.548946;0.548683;0.549347;0.547771;0.547441;0.548070;0.547463;0.547992;0.547834;0.546519;0.546468;0.546440;0.548138;0.546685;0.546781;0.547365;0.548141;0.545442;0.546384;0.546299;0.546589;0.545207;0.545322;0.544999;0.544116;0.545357;0.544810;0.544911;0.544613;0.544189;0.543887;0.544110;0.543905;0.543888;0.543849;0.543891;0.543826;0.544676;0.543235;0.544459;0.544762;0.543336;0.542919;0.542703;0.543502;0.542848;0.543556;0.542911;0.541240;0.543562;0.542366;0.542661;0.542363;0.543443;0.542488;0.541093;0.541354;0.542040;0.542411;0.542203;0.540953;0.541158;0.541822;0.541603;0.541102;0.542056;0.541086;0.542135;0.541679;0.541768;0.540981;0.540516;0.541195;0.539882;0.541379;0.541176;0.540542;0.541030;0.540550;0.540047;0.540186;0.539917;0.539445;0.539447;0.539409;0.538461;0.539425;0.540014;0.538744;0.538565;0.537721;0.538521;0.539715;0.537113;0.539109;0.538848;0.538631;0.537875;0.537825;0.540052;0.538007;0.538331;0.538171
301.500000;0.299076;0.304641;0.311659;0.319630;0.329315;0.338720;0.348674;0.359640;0.370240;0.381763;0.393007;0.404523;0.416024;0.427924;0.438151;0.449256;0.460627;0.471910;0.482672;0.493251;0.503353;0.514532;0.523492;0.532506;0.541156;0.549304;0.554853;0.558333;0.559530;0.560369;0.558454;0.558290;0.556545;0.554731;0.555174;0.552933;0.552523;0.551498;0.550338;0.549521;0.548942;0.547297;0.547069;0.546681;0.545050;0.543603;0.544618;0.543311;0.542926;0.542089;0.541871;0.540319;0.540181;0.540422;0.539650;0.539995;0.538913;0.538267;0.538914;0.537675;0.537497;0.536604;0.535354;0.535933;0.536109;0.535942;0.534765;0.535758;0.535288;0.534106;0.533978;0.534311;0.534358;0.533252;0.533863;0.533812;0.532667;0.533197;0.533274;0.532134;0.532558;0.531676;0.531232;0.531735;0.532072;0.531652;0.532294;0.530937;0.530858;0.530563;0.530935;0.530765;0.530682;0.530302;0.530852;0.529705;0.530253;0.529190;0.530292;0.529772;0.529279;0.529737;0.528921;0.529563;0.528727;0.528838;0.528224;0.527630;0.528777;0.528762;0.527864;0.528549;0.528105;0.528275;0.528152;0.528312;0.527502;0.527312;0.528772;0.527387;0.527545;0.527373;0.527218;0.527729;0.526545;0.527626;0.526151;0.526722;0.526514;0.526096;0.526581;0.527225;0.526930;0.525820;0.526144;0.525619;0.525811;0.526428;0.525025;0.525830;0.527153;0.525697;0.525020;0.526002;0.525128;0.525817;0.525700;0.525382;0.525054;0.525277;0.524853;0.524540;0.524992;0.524888;0.525332;0.525228;0.524581;0.524186;0.524633;0.523914;0.524651;0.523249;0.524817;0.523577;0.524553;0.523780;0.523997;0.523435;0.523330;0.523740;0.523547;0.522021;0.522975;0.522305;0.523608;0.522236;0.522794;0.523264;0.521520;0.522638;0.522602
302.000000;0.299445;0.304042;0.310374;0.317389;0.325928;0.334728;0.344220;0.354622;0.364482;0.375198;0.385653;0.396695;0.407064;0.418438;0.428759;0.438523;0.449184;0.460448;0.470392;0.480842;0.490746;0.500154;0.509142;0.517951;0.526226;0.532556;0.539161;0.542149;0.543567;0.543597;0.541985;0.542785;0.540420;0.538465;0.539072;0.536728;0.536039;0.534949;0.534444;0.533513;0.532525;0.531172;0.530666;0.530007;0.528992;0.527393;0.528501;0.526611;0.526625;0.526257;0.525491;0.523897;0.523792;0.524379;0.523180;0.523525;0.522951;0.521616;0.522500;0.521934;0.520930;0.520682;0.519472;0.520150;0.519941;0.519418;0.518343;0.519779;0.518897;0.518387;0.517563;0.517955;0.517795;0.516780;0.517582;0.517178;0.516839;0.516835;0.516387;0.515593;0.515457;0.515174;0.515082;0.515544;0.516242;0.515153;0.515710;0.514965;0.514524;0.514199;0.513820;0.514640;0.514389;0.513003;0.513284;0.513802;0.513805;0.512777;0.513924;0.513352;0.513085;0.513682;0.513145;0.512994;0.512189;0.512669;0.512176;0.511616;0.513281;0.512816;0.511603;0.512532;0.511563;0.511767;0.512149;0.511837;0.511627;0.510756;0.511769;0.511236;0.511381;0.511920;0.511037;0.511976;0.510212;0.511418;0.511011;0.510026;0.510430;0.509570;0.510278;0.510242;0.510343;0.510036;0.510361;0.509696;0.509246;0.509830;0.509316;0.509983;0.511268;0.509155;0.508817;0.509657;0.508951;0.509002;0.509301;0.508640;0.508488;0.509730;0.508696;0.509043;0.508029;0.508627;0.509075;0.508971;0.508473;0.507906;0.508227;0.508024;0.509014;0.507504;0.508788;0.507866;0.508719;0.507390;0.508296;0.507802;0.507974;0.508082;0.507213;0.507043;0.506424;0.505712;0.507797;0.506441;0.506430;0.506180;0.505798;0.506322;0.506581
302.500000;0.299631;0.303179;0.309154;0.315741;0.323068;0.330894;0.340234;0.349877;0.358921;0.368320;0.378328;0.388282;0.398447;0.408767;0.418934;0.428302;0.438648;0.448573;0.458449;0.467777;0.477172;0.485934;0.495097;0.502917;0.510765;0.515751;0.522881;0.525528;0.528094;0.526704;0.526197;0.526263;0.524090;0.522677;0.521517;0.520081;0.519449;0.517626;0.517241;0.516553;0.515958;0.514964;0.514383;0.512770;0.512163;0.512239;0.511557;0.510052;0.509952;0.509569;0.508857;0.507317;0.507198;0.507539;0.506245;0.506301;0.506116;0.505341;0.505639;0.504999;0.503849;0.504123;0.503991;0.503902;0.503098;0.502567;0.502140;0.502507;0.501505;0.502712;0.501084;0.501810;0.500361;0.500547;0.500663;0.500068;0.500968;0.499635;0.498663;0.499622;0.499197;0.498017;0.499034;0.499265;0.499440;0.499106;0.498296;0.498422;0.497532;0.497255;0.497691;0.498151;0.497635;0.496318;0.496732;0.497332;0.497082;0.497528;0.497951;0.496384;0.496639;0.496581;0.496257;0.495820;0.495688;0.496285;0.496542;0.496019;0.496739;0.495845;0.495030;0.495512;0.494798;0.494567;0.495507;0.495475;0.495471;0.495168;0.494495;0.494791;0.494430;0.495644;0.494901;0.495221;0.495138;0.494369;0.494592;0.494051;0.494265;0.493908;0.493567;0.493721;0.492999;0.493486;0.493991;0.494253;0.493349;0.492969;0.493523;0.493390;0.493787;0.492286;0.492296;0.493154;0.492749;0.492570;0.492902;0.492161;0.491788;0.493444;0.493038;0.493073;0.491456;0.492616;0.491892;0.492463;0.492169;0.491494;0.491412;0.492373;0.492281;0.492335;0.491400;0.491157;0.491589;0.491804;0.491304;0.491514;0.491024;0.491394;0.491458;0.491629;0.490021;0.489656;0.491082;0.490811;0.489091;0.490266;0.491066;0.489974;0.490640
303.000000;0.300059;0.302554;0.307419;0.313570;0.319971;0.327276;0.335239;0.343835;0.352506;0.361135;0.370403;0.379500;0.389493;0.398911;0.407984;0.417812;0.427114;0.436028;0.445590;0.454133;0.462560;0.471317;0.479785;0.487335;0.494220;0.499651;0.505388;0.508638;0.510659;0.509980;0.508954;0.508209;0.507165;0.504882;0.503610;0.502658;0.502148;0.500542;0.499743;0.498855;0.498414;0.497660;0.496613;0.495209;0.494275;0.495305;0.493660;0.492941;0.492751;0.491587;0.491641;0.490743;0.489490;0.489707;0.488941;0.488705;0.488198;0.487826;0.487963;0.487858;0.486072;0.486184;0.486048;0.486287;0.485610;0.485126;0.484987;0.485057;0.484013;0.485431;0.484096;0.484008;0.483011;0.483481;0.483165;0.482834;0.483636;0.482413;0.481583;0.482855;0.482674;0.480749;0.481833;0.481641;0.481466;0.482204;0.480836;0.481207;0.480302;0.480103;0.480534;0.480457;0.479973;0.479403;0.480071;0.479975;0.479589;0.480506;0.480256;0.479294;0.479392;0.479436;0.478865;0.477985;0.479356;0.479003;0.479572;0.478659;0.479219;0.478538;0.478367;0.477924;0.477910;0.477475;0.477385;0.478377;0.478332;0.478626;0.478186;0.477743;0.476661;0.478330;0.477552;0.477875;0.478353;0.477433;0.476764;0.476947;0.477354;0.477000;0.476590;0.477374;0.476335;0.476609;0.476697;0.477295;0.476453;0.476529;0.476085;0.476025;0.476223;0.475559;0.475527;0.476288;0.475701;0.476209;0.475715;0.475659;0.474924;0.476110;0.475836;0.475830;0.475032;0.476015;0.474513;0.475587;0.474916;0.474659;0.474551;0.475745;0.475136;0.475761;0.474409;0.474131;0.474729;0.475130;0.474280;0.474582;0.473487;0.474633;0.474691;0.474724;0.473752;0.473882;0.473928;0.474049;0.472870;0.474201;0.474017;0.473689;0.474186
303.500000;0.300824;0.302390;0.305753;0.311066;0.316637;0.323550;0.329799;0.337478;0.345727;0.354014;0.362363;0.371009;0.380350;0.388991;0.396841;0.406789;0.414964;0.423339;0.432187;0.440407;0.447899;0.456436;0.463930;0.471411;0.477790;0.483895;0.487658;0.491417;0.492134;0.492957;0.490696;0.489798;0.489692;0.486534;0.486087;0.484835;0.484258;0.483504;0.482339;0.481220;0.480281;0.479650;0.478295;0.477748;0.476271;0.477057;0.475697;0.475187;0.475131;0.473545;0.474031;0.473740;0.471510;0.471925;0.471728;0.471218;0.470275;0.469810;0.470094;0.470433;0.468386;0.468021;0.467366;0.468126;0.468060;0.467722;0.467228;0.467733;0.466875;0.467195;0.466662;0.465770;0.466205;0.465823;0.465625;0.465534;0.465462;0.465163;0.464693;0.465223;0.465535;0.463613;0.464004;0.463714;0.463440;0.464390;0.463484;0.463718;0.463191;0.463051;0.462919;0.462380;0.462401;0.462224;0.462839;0.462369;0.462037;0.462079;0.461873;0.462091;0.461858;0.462104;0.461442;0.460456;0.462556;0.461440;0.461602;0.460569;0.461579;0.461211;0.461525;0.460595;0.460967;0.460595;0.459268;0.460845;0.460751;0.460912;0.461852;0.460466;0.459206;0.460618;0.459952;0.460469;0.460218;0.460642;0.459158;0.459445;0.460052;0.459321;0.459669;0.460564;0.459902;0.459631;0.459220;0.459422;0.459122;0.460085;0.458081;0.458448;0.459164;0.458973;0.458617;0.459175;0.458431;0.459537;0.458342;0.458893;0.458274;0.458534;0.458243;0.458211;0.458428;0.458814;0.457763;0.458614;0.457814;0.457909;0.457783;0.458357;0.458022;0.458262;0.457657;0.457276;0.458237;0.457665;0.457466;0.457513;0.456530;0.457752;0.457294;0.457159;0.457365;0.457605;0.456955;0.456824;0.457126;0.457430;0.456010;0.457274;0.457201
304.000000;0.301733;0.302572;0.305056;0.309018;0.313528;0.319382;0.325308;0.332620;0.339683;0.347339;0.355038;0.363316;0.371496;0.379202;0.386770;0.395400;0.403474;0.411219;0.419253;0.427113;0.434222;0.441754;0.449057;0.455462;0.462836;0.467748;0.471026;0.473834;0.474638;0.475133;0.473057;0.472528;0.472018;0.470174;0.469184;0.467302;0.466401;0.465971;0.464990;0.464341;0.462495;0.461907;0.461173;0.460750;0.459280;0.459412;0.458677;0.457230;0.457464;0.456885;0.456460;0.455977;0.454552;0.455253;0.454982;0.454163;0.453525;0.452789;0.452875;0.452390;0.451707;0.451169;0.450958;0.450780;0.451027;0.451024;0.449805;0.450443;0.450089;0.449575;0.449128;0.449159;0.449829;0.448402;0.448588;0.448138;0.447890;0.447612;0.446995;0.447409;0.447983;0.446638;0.446774;0.447088;0.446601;0.446399;0.446094;0.446433;0.446417;0.446197;0.446313;0.445227;0.446041;0.445150;0.445187;0.445330;0.445305;0.444186;0.444899;0.444709;0.444849;0.444194;0.444323;0.444154;0.444747;0.444570;0.443952;0.443795;0.444635;0.443931;0.444401;0.444136;0.444032;0.443718;0.442990;0.443650;0.443668;0.442930;0.444062;0.443480;0.443151;0.443297;0.443574;0.443446;0.442679;0.443602;0.443346;0.443110;0.443059;0.442434;0.443041;0.442912;0.442681;0.442682;0.442510;0.442260;0.442663;0.442951;0.441377;0.441357;0.442508;0.442319;0.441737;0.442085;0.441943;0.442384;0.441805;0.441826;0.442190;0.441731;0.442307;0.441560;0.441460;0.441537;0.442015;0.441890;0.442156;0.441824;0.441119;0.441093;0.441170;0.441331;0.440352;0.440761;0.441548;0.440690;0.440673;0.440817;0.440781;0.440484;0.440498;0.440377;0.440652;0.440306;0.440646;0.440439;0.440301;0.440159;0.439921;0.440540;0.440124
304.500000;0.302356;0.302397;0.304333;0.306973;0.310706;0.315199;0.321079;0.327786;0.333854;0.340517;0.347688;0.355171;0.362362;0.369518;0.376395;0.383825;0.391521;0.399125;0.406147;0.413687;0.420270;0.426994;0.434247;0.439293;0.447245;0.450941;0.454474;0.456073;0.457393;0.457051;0.456046;0.455339;0.454261;0.453571;0.451905;0.450061;0.449055;0.448358;0.447184;0.447057;0.445081;0.444206;0.444155;0.443621;0.442258;0.442058;0.441651;0.439683;0.440176;0.440078;0.438754;0.438354;0.437525;0.437909;0.437607;0.436714;0.436552;0.435525;0.435491;0.434505;0.435037;0.434310;0.434509;0.433665;0.433595;0.433559;0.432222;0.433188;0.432678;0.432327;0.431391;0.432314;0.432377;0.430958;0.431289;0.430530;0.430728;0.429948;0.429248;0.429540;0.429970;0.429414;0.429754;0.430241;0.429640;0.428627;0.428397;0.428745;0.429497;0.428663;0.429355;0.428246;0.429105;0.427723;0.427398;0.428041;0.427946;0.426881;0.428150;0.427286;0.427652;0.426605;0.427439;0.427303;0.426882;0.427577;0.426654;0.426853;0.427184;0.426404;0.427159;0.427330;0.426757;0.426610;0.426524;0.426396;0.426478;0.425511;0.426048;0.426033;0.426628;0.425654;0.426636;0.426426;0.425755;0.425960;0.426880;0.426528;0.425751;0.425745;0.425896;0.425081;0.425216;0.425692;0.425657;0.425220;0.425823;0.425416;0.424799;0.424444;0.425411;0.425236;0.424900;0.424773;0.425131;0.424926;0.425240;0.424558;0.425610;0.424860;0.426064;0.424991;0.424080;0.424427;0.425453;0.424791;0.425625;0.425130;0.424193;0.423770;0.424332;0.424467;0.423192;0.423730;0.424588;0.423794;0.424131;0.423654;0.424429;0.423640;0.423876;0.423790;0.423576;0.423049;0.424376;0.423853;0.423026;0.423006;0.423714;0.423444;0.423368
