;0;300;600;900;1200;1500;1800
300,000000;0,425528;0,421680;0,414629;0,406348;0,400053;0,390825;0,381553
300,500000;0,429209;0,428432;0,418534;0,411354;0,406995;0,393542;0,386653
301,000000;0,437508;0,435301;0,422022;0,418002;0,411245;0,397507;0,394634
301,500000;0,444641;0,438916;0,427729;0,422135;0,411074;0,402328;0,399413
302,000000;0,448022;0,440192;0,433946;0,424381;0,411605;0,407071;0,401446
302,500000;0,448527;0,442752;0,436692;0,428230;0,419713;0,410775;0,405155
303,000000;0,450719;0,448160;0,437033;0,433686;0,428104;0,414231;0,410078
303,500000;0,456818;0,455492;0,438222;0,438892;0,430406;0,418548;0,414602
304,000000;0,462550;0,460303;0,444360;0,440742;0,431146;0,424322;0,417913
304,500000;0,466279;0,461963;0,452630;0,441453;0,434113;0,429964;0,420712
305,000000;0,469399;0,463551;0,455567;0,446532;0,440483;0,432689;0,424580
305,500000;0,473330;0,467836;0,456921;0,452451;0,446123;0,434493;0,428938
306,000000;0,478309;0,474509;0,461108;0,454765;0,447423;0,437590;0,432298
306,500000;0,481735;0,476153;0,463364;0,455696;0,447274;0,440162;0,433121
307,000000;0,482884;0,473587;0,464121;0,457367;0,448315;0,442037;0,433025
307,500000;0,483503;0,476266;0,469656;0,460430;0,451485;0,445066;0,436363
308,000000;0,484748;0,481000;0,474600;0,463755;0,454829;0,447483;0,441785
308,500000;0,487135;0,481229;0,472329;0,465868;0,456086;0,447356;0,445807
309,000000;0,490269;0,480129;0,471165;0,466861;0,456435;0,447930;0,447390
309,500000;0,492903;0,480903;0,475128;0,467710;0,457463;0,450342;0,447118
310,000000;0,493112;0,483953;0,478852;0,469932;0,460185;0,451810;0,447038
310,500000;0,492250;0,486739;0,480249;0,472465;0,463202;0,453265;0,448666
311,000000;0,492737;0,486550;0,480009;0,473295;0,464323;0,456893;0,452082
311,500000;0,492944;0,487220;0,479965;0,473328;0,464317;0,459700;0,452956
312,000000;0,492530;0,490815;0,481333;0,474075;0,464549;0,460128;0,450690
312,500000;0,494908;0,493482;0,483718;0,476596;0,465963;0,461326;0,452581
313,000000;0,499131;0,493226;0,485711;0,479053;0,468025;0,463293;0,457494
313,500000;0,501324;0,490680;0,485871;0,478481;0,469361;0,463845;0,458661
314,000000;0,501967;0,489774;0,486165;0,477939;0,470114;0,464275;0,458086
314,500000;0,502585;0,493215;0,488474;0,480356;0,470999;0,465971;0,459282
315,000000;0,503668;0,498586;0,491915;0,483914;0,472823;0,467929;0,462333
315,500000;0,505528;0,501769;0,494764;0,486917;0,475330;0,469953;0,465410
316,000000;0,508165;0,499126;0,495363;0,488569;0,477474;0,472784;0,465896
316,500000;0,509571;0,497355;0,495800;0,489089;0,480088;0,475795;0,465976
317,000000;0,508766;0,502929;0,498470;0,489205;0,483358;0,477764;0,468372
317,500000;0,510050;0,509444;0,502032;0,489874;0,483486;0,477760;0,471445
318,000000;0,514151;0,511636;0,504575;0,491706;0,481938;0,477542;0,474341
318,500000;0,516611;0,509066;0,504571;0,494646;0,486172;0,481133;0,477764
319,000000;0,516510;0,505772;0,503627;0,496942;0,492000;0,483779;0,479614
319,500000;0,515251;0,506076;0,503868;0,496895;0,491244;0,479837;0,477890
320,000000;0,514688;0,507650;0,503256;0,496235;0,485901;0,478047;0,476568
320,500000;0,515062;0,507244;0,501646;0,495888;0,481399;0,482026;0,477789
321,000000;0,514214;0,503060;0,502660;0,494557;0,483847;0,483471;0,478981
321,500000;0,512434;0,499872;0,504286;0,492993;0,489569;0,481426;0,478378
322,000000;0,511284;0,503598;0,502044;0,492753;0,489826;0,479980;0,475726
322,500000;0,509996;0,506257;0,498696;0,492331;0,484467;0,480110;0,473828
323,000000;0,507379;0,501751;0,496872;0,490987;0,477922;0,480529;0,473547
323,500000;0,502868;0,495225;0,495293;0,490753;0,477459;0,477738;0,470973
324,000000;0,498648;0,491618;0,493623;0,489788;0,480578;0,473701;0,467729
324,500000;0,497970;0,493490;0,492435;0,484415;0,478266;0,473495;0,468774
325,000000;0,497797;0,496082;0,491153;0,479814;0,472344;0,473496;0,469963
325,500000;0,495426;0,494377;0,489365;0,479815;0,467832;0,470262;0,467000
326,000000;0,493878;0,489079;0,487927;0,478848;0,467990;0,467692;0,462758
326,500000;0,494257;0,484110;0,486560;0,476504;0,471331;0,467692;0,460110
327,000000;0,494941;0,484486;0,483978;0,477525;0,472269;0,469070;0,460473
327,500000;0,494041;0,486801;0,481003;0,477613;0,469273;0,469584;0,461862
328,000000;0,491398;0,486088;0,479336;0,472968;0,464621;0,467863;0,462037
328,500000;0,491695;0,483577;0,480550;0,472302;0,465561;0,466159;0,462163
329,000000;0,494051;0,482449;0,483393;0,477024;0,471386;0,465914;0,462611
329,500000;0,491019;0,485913;0,483658;0,478121;0,471806;0,466680;0,462393
330,000000;0,485940;0,489082;0,481345;0,475857;0,467701;0,466968;0,463432
330,500000;0,485535;0,485968;0,479229;0,474561;0,465047;0,465566;0,467201
331,000000;0,488058;0,482466;0,481342;0,474152;0,465481;0,463991;0,468063
331,500000;0,490038;0,482933;0,485685;0,474030;0,467885;0,463786;0,464210
332,000000;0,488421;0,485711;0,482145;0,474106;0,468703;0,465473;0,461442
332,500000;0,483447;0,486935;0,474668;0,472901;0,467250;0,467208;0,462327
333,000000;0,477416;0,482907;0,473011;0,468694;0,464554;0,466175;0,465190
333,500000;0,472360;0,475659;0,472734;0,462597;0,460369;0,461928;0,460448
334,000000;0,468910;0,468423;0,468397;0,456968;0,454773;0,455301;0,447642
334,500000;0,465380;0,463551;0,459703;0,454570;0,448941;0,448102;0,443594
335,000000;0,458720;0,458925;0,450444;0,451602;0,443546;0,441099;0,445029
335,500000;0,446969;0,450481;0,445313;0,441751;0,438326;0,434303;0,436558
336,000000;0,437462;0,440982;0,441078;0,431419;0,430750;0,428301;0,424747
336,500000;0,432723;0,432446;0,433063;0,425171;0,419678;0,421702;0,417068
337,000000;0,420924;0,421301;0,419066;0,416415;0,407939;0,409183;0,409020
337,500000;0,403739;0,407433;0,402514;0,403134;0,397200;0,394083;0,398818
338,000000;0,392898;0,394048;0,389952;0,388642;0,387523;0,385210;0,388229
338,500000;0,382383;0,382370;0,379997;0,376385;0,376794;0,377528;0,377875
339,000000;0,365386;0,371676;0,369022;0,366933;0,363751;0,365135;0,367392
339,500000;0,348627;0,358748;0,355186;0,354629;0,350910;0,352425;0,355389
340,000000;0,335027;0,342725;0,339490;0,338584;0,338610;0,340025;0,341807
340,500000;0,322184;0,325681;0,325041;0,323293;0,324971;0,324392;0,328115
341,000000;0,308313;0,310523;0,311154;0,310290;0,311054;0,309552;0,315406
341,500000;0,293163;0,298611;0,296748;0,299148;0,298570;0,299710;0,304084
342,000000;0,279694;0,286537;0,284486;0,288074;0,287481;0,290473;0,293370
342,500000;0,267774;0,272229;0,273853;0,275613;0,276607;0,278667;0,282396
343,000000;0,253538;0,256360;0,260334;0,261250;0,264042;0,264670;0,270502
343,500000;0,239175;0,242246;0,245452;0,247844;0,251262;0,251720;0,258494
344,000000;0,228249;0,232473;0,233010;0,238302;0,240578;0,242790;0,247631
344,500000;0,217185;0,222157;0,222755;0,229194;0,230421;0,234706;0,237597
345,000000;0,204466;0,209227;0,213231;0,217946;0,219845;0,224987;0,227705
345,500000;0,193547;0,197806;0,202800;0,205445;0,210021;0,214290;0,217433
346,000000;0,184649;0,189182;0,192428;0,194419;0,201151;0,204495;0,207872
346,500000;0,175996;0,182223;0,184061;0,187377;0,192817;0,197272;0,200489
