genotype,cdt,3days,7days
WT,0,92.3,92.3
WT,0,100,100
WT,0,96.2,98.1
WT,0,98.2,98.2
WT,0,96.1,96.1
WT,0,100,100
nqr,0,98.1,98.1
nqr,0,100,100
nqr,0,100,100
nqr,0,100,100
nqr,0,96.4,96.4
nqr,0,98.1,98.1
fqr1,0,100,100
fqr1,0,100,100
fqr1,0,100,100
fqr1,0,100,100
fqr1,0,96.1,96.1
fqr1,0,98.1,98.1
nqrfqr1,0,98.1,100
nqrfqr1,0,98,98
nqrfqr1,0,96.3,96.3
nqrfqr1,0,96.5,96.5
nqrfqr1,0,98.2,100
nqrfqr1,0,96.3,96.3
WT,3,81.1,83
WT,3,86,92
WT,3,88.2,88.2
WT,3,65.3,67.3
WT,3,80.8,88.5
WT,3,80.8,80.8
nqr,3,80.8,80.8
nqr,3,88.7,90.6
nqr,3,84.3,88.2
nqr,3,86.3,86.3
nqr,3,73.1,73.1
nqr,3,74.5,80.4
fqr1,3,84.3,86.3
fqr1,3,88.7,88.7
fqr1,3,66,70
fqr1,3,79.6,81.5
fqr1,3,80,82
fqr1,3,76.9,76.9
nqrfqr1,3,92.5,92.5
nqrfqr1,3,80.8,94.2
nqrfqr1,3,80.8,80.8
nqrfqr1,3,78.8,80.8
nqrfqr1,3,65.4,65.4
nqrfqr1,3,59.3,68.5
WT,5,50.9,58.5
WT,5,55.8,61.5
WT,5,44.2,46.1
WT,5,54.4,59.6
WT,5,40.4,55.8
WT,5,35.3,47.1
nqr,5,42.3,46.1
nqr,5,48.1,57.4
nqr,5,56.1,59.6
nqr,5,76.5,82.4
nqr,5,47.2,50.9
nqr,5,31.4,47.1
fqr1,5,36.5,44.2
fqr1,5,45.3,52.8
fqr1,5,45.3,49.1
fqr1,5,50.9,56.6
fqr1,5,22.4,32.7
fqr1,5,33.3,35.5
nqrfqr1,5,30.2,34
nqrfqr1,5,41.5,52.8
nqrfqr1,5,32.1,32.2
nqrfqr1,5,45.5,50.9
nqrfqr1,5,23.1,28.8
nqrfqr1,5,28.9,34.6
WT,7,5.8,9.6
WT,7,9.3,16.7
WT,7,3.8,11.3
WT,7,5.3,14
WT,7,5.6,11.1
WT,7,5.7,5.7
nqr,7,7.5,15.1
nqr,7,3.8,7.5
nqr,7,7.8,19.6
nqr,7,16.7,25.9
nqr,7,3.7,7.4
nqr,7,7.4,9.3
fqr1,7,3.6,9.1
fqr1,7,7.3,10.9
fqr1,7,5.6,18.5
fqr1,7,17.3,21.1
fqr1,7,3.7,7.4
fqr1,7,1.8,3.6
nqrfqr1,7,5.9,9.8
nqrfqr1,7,5.6,7.4
nqrfqr1,7,13.5,15.4
nqrfqr1,7,7.8,15.7
nqrfqr1,7,1.9,1.9
nqrfqr1,7,1.9,1.9
