genotype,temperature,3days,7days,total
WT,25,53,53,55
WT,25,47,47,49
WT,25,55,55,55
nqr,25,63,63,65
nqr,25,56,58,60
nqr,25,55,55,55
fqr1,25,55,55,55
fqr1,25,55,55,55
fqr1,25,55,55,55
nqrfqr1,25,75,75,80
nqrfqr1,25,55,55,55
nqrfqr1,25,55,55,55
WT,20,55,55,55
WT,20,55,55,55
WT,20,55,55,55
nqr,20,55,55,55
nqr,20,55,55,55
nqr,20,55,55,55
fqr1,20,55,55,55
fqr1,20,55,55,55
fqr1,20,55,55,55
nqrfqr1,20,55,55,55
nqrfqr1,20,55,55,55
nqrfqr1,20,55,55,55
WT,15,55,55,55
WT,15,55,55,55
WT,15,55,55,55
nqr,15,55,55,55
nqr,15,55,55,55
nqr,15,55,55,55
fqr1,15,55,55,55
fqr1,15,55,55,55
fqr1,15,55,55,55
nqrfqr1,15,55,55,55
nqrfqr1,15,55,55,55
nqrfqr1,15,55,55,55
WT,10,55,55,55
WT,10,55,55,55
WT,10,69,73,78
nqr,10,55,55,55
nqr,10,55,55,55
nqr,10,55,55,55
fqr1,10,55,55,55
fqr1,10,55,55,55
fqr1,10,55,55,55
nqrfqr1,10,55,55,55
nqrfqr1,10,55,55,55
nqrfqr1,10,65,68,74
WT,5,2,67,75
WT,5,7,75,83
WT,5,6,81,88
WT,5,4,70,75
WT,5,4,59,67
WT,5,2,56,61
nqr,5,11,63,61
nqr,5,20,60,66
nqr,5,2,74,76
nqr,5,9,75,79
nqr,5,4,72,73
nqr,5,3,70,72
fqr1,5,8,61,61
fqr1,5,7,54,54
fqr1,5,5,64,65
fqr1,5,5,63,64
fqr1,5,4,72,73
fqr1,5,3,67,70
nqrfqr1,5,13,68,75
nqrfqr1,5,11,62,68
nqrfqr1,5,7,74,75
nqrfqr1,5,9,67,69
nqrfqr1,5,1,87,90
nqrfqr1,5,4,115,121
