genotype,ecotype,weightg
WT,Ler,"0,0399"
WT,Ler,"0,0935"
WT,Ler,"0,1172"
WT,Ler,"0,135"
WT,Ler,"0,1684"
WT,Ler,"0,1714"
WT,Ler,"0,1993"
WT,Ler,"0,0925"
WT,Ler,"0,0752"
WT,Ler,"0,0862"
WT,Ler,"0,1372"
WT,Ler,"0,21"
WT,Ler,"0,209"
WT,Ler,"0,1174"
WT,Ler,"0,1692"
WT,Ler,"0,1246"
WT,Ler,"0,2204"
WT,Ler,"0,1371"
WT,Ler,"0,1142"
nqr,Ler,"0,2"
nqr,Ler,"0,143"
nqr,Ler,"0,1288"
nqr,Ler,"0,1513"
nqr,Ler,"0,0881"
nqr,Ler,"0,1365"
nqr,Ler,"0,0952"
nqr,Ler,"0,1065"
nqr,Ler,"0,1372"
nqr,Ler,"0,1215"
nqr,Ler,"0,1145"
nqr,Ler,"0,1453"
nqr,Ler,"0,1722"
nqr,Ler,"0,1378"
nqr,Ler,"0,1756"
nqr,Ler,"0,1266"
nqr,Ler,"0,1431"
nqr,Ler,"0,1725"
nqr,Ler,"0,1008"
nqr,Ler,"0,089"
air12,Ler,"0,1031"
air12,Ler,"0,1496"
air12,Ler,"0,1038"
air12,Ler,"0,144"
air12,Ler,"0,1826"
air12,Ler,"0,0775"
air12,Ler,"0,2427"
air12,Ler,"0,0806"
air12,Ler,"0,1344"
air12,Ler,"0,2432"
air12,Ler,"0,2377"
air12,Ler,"0,2021"
air12,Ler,"0,1792"
air12,Ler,"0,1564"
air12,Ler,"0,1504"
air12,Ler,"0,1906"
air12,Ler,"0,1802"
air12,Ler,"0,0668"
nqrair12,Ler,"0,1615"
nqrair12,Ler,"0,0455"
nqrair12,Ler,"0,0865"
nqrair12,Ler,"0,1556"
nqrair12,Ler,"0,1447"
nqrair12,Ler,"0,1688"
nqrair12,Ler,"0,1503"
nqrair12,Ler,"0,0773"
nqrair12,Ler,"0,2123"
nqrair12,Ler,"0,1358"
nqrair12,Ler,"0,1726"
nqrair12,Ler,"0,1178"
nqrair12,Ler,"0,1609"
nqrair12,Ler,"0,0834"
nqrair12,Ler,"0,1612"
nqrair12,Ler,"0,0897"
nqrair12,Ler,"0,1878"
nqrair12,Ler,"0,0945"
nqrair12,Ler,"0,1253"
nqrair12,Ler,"0,1582"
WT,Col,"0,1258"
WT,Col,"0,0764"
WT,Col,"0,1311"
WT,Col,"0,09"
WT,Col,"0,0804"
WT,Col,"0,1434"
WT,Col,"0,0805"
WT,Col,"0,0738"
WT,Col,"0,1425"
WT,Col,"0,0696"
WT,Col,"0,0148"
WT,Col,"0,0959"
WT,Col,"0,11"
WT,Col,"0,0528"
WT,Col,"0,0985"
WT,Col,"0,0882"
WT,Col,"0,0837"
WT,Col,"0,1728"
nqr,Col,"0,1368"
nqr,Col,"0,0487"
nqr,Col,"0,1002"
nqr,Col,"0,0697"
nqr,Col,"0,1373"
nqr,Col,"0,1483"
nqr,Col,"0,0738"
nqr,Col,"0,0588"
nqr,Col,"0,1014"
nqr,Col,"0,1134"
nqr,Col,"0,1108"
nqr,Col,"0,0814"
nqr,Col,"0,1114"
nqr,Col,"0,1422"
nqr,Col,"0,129"
nqr,Col,"0,0875"
nqr,Col,"0,1062"
nqr,Col,"0,0529"
