genotype,repbio,reptech,masse,DO470
WT,1,a,0.0212,0.0112
WT,1,b,0.0205,0.0123
WT,2,a,0.0209,0.0083
WT,2,b,0.0204,0.0091
WT,3,a,0.0199,0.0112
WT,3,b,0.0202,0.0086
nqr,1,a,0.0199,0.0107
nqr,1,b,0.0203,0.0118
nqr,2,a,0.02,0.0115
nqr,2,b,0.0199,0.0123
nqr,3,a,0.021,0.0137
nqr,3,b,0.0209,0.0161
fqr1,1,a,0.02,0.012
fqr1,1,b,0.02,0.0128
fqr1,2,a,0.0212,0.0108
fqr1,2,b,0.021,0.012
fqr1,3,a,0.0208,0.0188
fqr1,3,b,0.0198,0.0163
nqrfqr1,1,a,0.0204,0.0107
nqrfqr1,1,b,0.0207,0.0109
nqrfqr1,2,a,0.02,0.0126
nqrfqr1,2,b,0.0203,0.0125
nqrfqr1,3,a,0.0214,0.0127
nqrfqr1,3,b,0.0214,0.0124
blank,1,,0,0
blank,2,,0,-0.0004
blank,3,,0,0.0003
